date,BG_A01,BG_A0101,BG_A0103,BG_A0104,BG_A0105,BG_A0106,BG_A0107,BG_A0108,BG_A0109,BG_A0110,BG_A0111,EL_A01,EL_A0101,EL_A0103,EL_A0104,EL_A0105,EL_A0106,EL_A0107,EL_A0108,EL_A0109,EL_A0110,EL_A0111
1995,26.2,,,,,,,,,,,79.9,,,,,,,,,,
1996,20.3,,,,,,,,,,,82.6,,,,,,,,,,
1997,27.1,,,,,,,,,,,85.6,,,,,,,,,,
1998,31.7,,,,,,,,,,,83.4,,,,,,,,,,
1999,32.2,,,,,,,,,,,88.4,,,,,,,,,,
2000,33.7,,,,,,,,,,,85.5,,,,,,,,,,
2001,35.8,,,,,,,,,,,83.5,,,,,,,,,,
2002,36.3,,,,,,,,,,,83.1,,,,,,,,,,
2003,35.6,,,,,,,,,,,86.5,,,,,,,,,,
2004,37.0,,,,,,,,,,,87.8,,,,,,,,,,
2005,38.3,,,,,,,,,,,89.1,,,,,,,,,,
2006,41.0,,,,,,,,,,,89.7,,,,,,,,,,
2007,43.1,,,,,,,,,,,92.7,,,,,,,,,,
2008,45.9,,,,,,,,,,,92.7,,,,,,,,,,
2009,47.7,,,,,,,,,,,94.8,,,,,,,,,,
2010,46.7,,,,,,,,,,,97.3,,,,,,,,,,
2011,46.4,,,,,,,,,,,96.8,,,,,,,,,,
2012,46.5,,,,,,,,,,,95.0,,,,,,,,,,
2013,45.5,,,,,,,,,,,90.4,,,,,,,,,,
2014,44.4,,,,,,,,,,,87.2,,,,,,,,,,
2015,44.8,,,,,,,,,,,86.1,,,,,,,,,,
2016,45.1,,,,,,,,,,,85.6,,,,,,,,,,
2017,46.7,,,,,,,,,,,84.4,,,,,,,,,,
2018,47.6,,,,,,,,,,,84.1,,,,,,,,,,
2019,49.4,,,,,,,,,,,84.8,,,,,,,,,,
2020,51.3,,,,,,,,,,,85.1,,,,,,,,,,
2021,51.6,,,,,,,,,,,83.9,,,,,,,,,,
2022,55.0,86.9,79.4,37.8,73.9,41.9,69.4,84.9,60.9,44.9,51.6,84.4,107.0,96.3,71.2,93.3,83.6,91.0,134.1,82.5,60.7,86.3
2023,56.1,89.1,79.8,37.9,75.0,43.6,68.7,87.3,63.5,47.0,53.4,83.2,105.7,87.8,71.5,91.7,83.9,88.4,129.0,82.2,60.9,85.3
2024,57.7,89.9,78.3,38.5,77.0,44.4,68.9,98.7,64.2,54.5,55.0,83.6,106.2,91.0,73.5,91.9,84.4,89.7,123.2,83.1,56.1,86.6
2025,60.0,92.6,78.0,40.6,77.9,46.6,69.7,100.9,66.0,62.6,55.7,84.0,105.3,94.4,76.6,91.8,83.5,89.3,126.9,83.0,53.1,86.1
