date,EL_CP011,EL_FOOD_NP,EL_FOOD_P_X_ALC_TBC,EU27_2020_CP011,EU27_2020_FOOD_NP,EU27_2020_FOOD_P_X_ALC_TBC,SE_CP011,SE_FOOD_NP,SE_FOOD_P_X_ALC_TBC
2024-01-01,8.3,10.7,6.6,4.9,6.5,4.4,3.7,6.1,2.8
2024-02-01,6.5,7.8,5.9,2.7,2.5,3.3,0.9,-0.1,1.6
2024-03-01,5.4,6.8,4.6,1.2,0.0,2.4,-1.0,-2.6,-0.1
2024-04-01,5.3,6.6,4.6,1.6,1.3,2.2,0.2,-0.6,0.9
2024-05-01,2.5,2.1,3.1,1.4,1.3,1.8,1.2,0.6,1.7
2024-06-01,1.0,-1.4,3.4,1.3,1.1,1.8,0.8,-1.4,1.9
2024-07-01,1.2,-1.3,3.6,1.3,1.1,1.8,0.7,-1.7,2.0
2024-08-01,2.2,1.5,2.9,1.7,1.7,2.1,0.9,-1.3,2.2
2024-09-01,3.2,3.9,2.7,2.0,2.2,2.2,1.7,-1.2,3.3
2024-10-01,1.0,1.5,0.7,2.4,3.1,2.3,1.5,-3.1,3.4
2024-11-01,0.3,1.5,-0.4,2.2,2.7,2.4,1.4,-4.7,4.4
2024-12-01,-0.7,0.0,-0.9,2.1,2.2,2.5,1.2,-4.8,4.2
2025-01-01,-0.5,0.8,-0.8,2.0,2.0,2.5,1.8,-2.7,4.3
2025-02-01,-0.2,0.4,0.0,2.6,3.2,2.8,3.2,-0.9,5.8
2025-03-01,2.0,5.2,0.2,3.0,4.2,2.9,4.7,1.9,6.8
2025-04-01,1.9,6.3,-1.0,2.9,4.5,2.7,4.2,2.4,6.4
2025-05-01,2.9,8.3,-0.6,3.1,4.4,3.1,3.8,1.4,6.3
2025-06-01,2.5,7.1,-0.8,3.1,4.6,3.1,4.0,2.8,6.2
2025-07-01,3.5,9.5,-0.5,3.4,5.2,3.2,3.9,2.1,5.8
2025-08-01,2.4,6.7,-0.4,3.4,5.2,3.3,3.6,2.6,5.3
2025-09-01,1.0,3.4,-0.1,3.0,4.2,3.2,2.6,0.1,4.5
2025-10-01,2.3,6.1,0.0,2.5,3.0,3.0,2.6,0.3,4.8
2025-11-01,2.7,6.9,0.0,2.3,2.8,2.8,2.1,0.8,3.6
2025-12-01,3.6,8.5,0.4,2.4,3.5,2.5,2.8,2.5,3.9
2026-01-01,4.7,10.2,0.6,2.5,4.1,2.3,2.7,3.2,3.5
2026-02-01,5.3,12.5,-0.1,2.4,4.5,1.7,1.5,3.1,1.7
2026-03-01,4.4,9.9,0.0,2.1,4.1,1.5,-0.1,2.0,-0.3
2026-04-01,4.5,9.2,0.6,2.1,4.4,1.2,-5.1,-2.2,-6.4
2026-05-01,3.3,6.5,0.5,1.5,3.5,0.6,-5.6,-2.6,-6.9
2026-06-01,,6.0,,,,,,,
