date,EL_NETTUR_I21_SCA,EL_NETTUR_PCH_PRE_SCA,EL_NETTUR_PCH_SM_CA,EU27_2020_NETTUR_I21_SCA,EU27_2020_NETTUR_PCH_PRE_SCA,EU27_2020_NETTUR_PCH_SM_CA,SE_NETTUR_I21_SCA,SE_NETTUR_PCH_PRE_SCA,SE_NETTUR_PCH_SM_CA,EL_VOL_SLS_I21_SCA,EL_VOL_SLS_PCH_PRE_SCA,EL_VOL_SLS_PCH_SM_CA,EU27_2020_VOL_SLS_I21_SCA,EU27_2020_VOL_SLS_PCH_PRE_SCA,EU27_2020_VOL_SLS_PCH_SM_CA,SE_VOL_SLS_I21_SCA,SE_VOL_SLS_PCH_PRE_SCA,SE_VOL_SLS_PCH_SM_CA
2024-01-01,114.4,-7.1,-1.3,113.6,-0.2,3.9,110.4,0.4,4.1,92.0,-7.2,-7.8,92.9,-0.3,-2.1,96.2,-0.5,-0.4
2024-02-01,114.0,-0.3,-2.4,115.1,1.3,4.7,112.1,1.5,3.7,91.9,-0.1,-7.8,94.1,1.3,0.0,97.7,1.6,0.0
2024-03-01,126.0,10.5,19.7,115.1,0.0,4.0,112.1,0.0,3.6,102.2,11.2,14.3,94.3,0.2,1.2,97.8,0.1,0.8
2024-04-01,97.4,-22.7,-19.5,113.7,-1.2,2.6,110.1,-1.8,2.3,78.8,-22.9,-23.1,92.4,-2.0,-0.3,95.8,-2.0,-0.7
2024-05-01,129.9,33.4,16.5,115.4,1.5,3.5,117.4,6.6,6.1,106.1,34.6,13.8,94.0,1.7,1.0,101.5,5.9,2.8
2024-06-01,116.9,-10.0,-0.8,114.9,-0.4,1.4,112.9,-3.8,1.8,94.8,-10.7,-2.1,93.3,-0.7,-1.1,97.5,-3.9,-1.8
2024-07-01,110.2,-5.7,-16.6,116.0,1.0,2.4,111.7,-1.1,1.6,89.1,-6.0,-17.8,94.0,0.8,0.1,96.3,-1.2,-1.5
2024-08-01,99.8,-9.4,-24.6,116.8,0.7,3.5,113.8,1.9,4.4,80.1,-10.1,-26.1,94.4,0.4,1.3,98.0,1.8,1.2
2024-09-01,116.8,17.0,-9.0,117.3,0.4,3.0,113.1,-0.6,3.4,93.4,16.6,-11.5,94.6,0.2,0.7,97.3,-0.7,0.4
2024-10-01,117.8,0.9,-3.4,117.9,0.5,4.4,113.2,0.1,4.0,94.6,1.3,-4.4,94.7,0.1,1.6,97.3,0.0,1.3
2024-11-01,123.2,4.6,0.7,118.1,0.2,3.8,113.4,0.2,2.2,99.4,5.1,0.2,94.8,0.1,1.3,97.2,-0.1,-0.5
2024-12-01,116.2,-5.7,-5.9,118.4,0.3,3.9,115.7,2.0,5.7,93.6,-5.8,-5.8,94.8,0.0,1.6,98.7,1.5,2.5
2025-01-01,119.8,3.1,5.8,119.4,0.8,5.2,114.2,-1.3,3.2,96.5,3.1,5.6,95.4,0.6,2.9,98.0,-0.7,1.6
2025-02-01,119.0,-0.7,6.4,119.2,-0.2,3.6,112.4,-1.6,-0.3,95.7,-0.8,5.9,95.2,-0.2,1.3,96.0,-2.0,-2.2
2025-03-01,125.4,5.4,1.5,119.6,0.3,4.0,111.4,-0.9,-0.7,100.1,4.6,-0.5,95.2,0.0,1.0,95.0,-1.0,-3.0
2025-04-01,118.7,-5.3,21.3,121.1,1.3,6.9,119.3,7.1,8.8,94.4,-5.7,19.2,95.9,0.7,4.2,101.4,6.7,6.2
2025-05-01,120.6,1.6,-6.5,120.8,-0.2,4.7,112.2,-6.0,-4.5,95.9,1.6,-9.1,95.4,-0.5,1.5,94.7,-6.6,-6.8
2025-06-01,122.8,1.8,5.5,121.0,0.2,5.3,111.1,-1.0,-1.8,97.4,1.6,3.1,95.3,-0.1,2.2,93.8,-1.0,-3.9
2025-07-01,118.7,-3.3,6.7,120.6,-0.3,3.8,115.1,3.6,3.4,92.9,-4.6,3.3,94.6,-0.7,0.3,97.1,3.5,1.2
2025-08-01,110.9,-6.6,8.5,120.7,0.1,3.3,113.2,-1.7,-0.8,86.7,-6.7,6.0,94.6,0.0,0.2,95.3,-1.9,-3.1
2025-09-01,118.4,6.8,0.4,120.9,0.2,3.2,113.3,0.1,0.3,93.2,7.5,-1.0,94.7,0.1,0.3,95.7,0.4,-1.7
2025-10-01,121.1,2.3,2.2,122.7,1.5,4.3,118.0,4.1,4.2,94.8,1.7,-0.2,95.9,1.3,1.3,99.5,4.0,2.3
2025-11-01,124.0,2.4,0.7,122.8,0.1,3.9,113.4,-3.9,-0.3,97.0,2.3,-2.3,95.9,0.0,1.1,95.3,-4.2,-2.2
2025-12-01,125.5,1.2,7.9,123.7,0.7,4.3,113.7,0.3,-1.2,97.7,0.7,4.3,96.4,0.5,1.5,95.4,0.1,-3.0
2026-01-01,130.2,3.7,9.5,122.4,-1.1,2.6,113.5,-0.2,-0.7,100.7,3.1,5.1,95.4,-1.0,-0.1,95.3,-0.1,-2.9
2026-02-01,136.3,4.7,16.6,122.1,-0.2,2.2,110.7,-2.5,-2.0,105.8,5.1,12.2,94.8,-0.6,-0.7,92.9,-2.5,-3.7
2026-03-01,129.3,-5.1,3.6,122.8,0.6,2.8,114.9,3.8,3.0,99.8,-5.7,0.2,95.1,0.3,0.1,96.7,4.1,1.7
2026-04-01,127.2,-1.6,6.8,124.1,1.1,2.7,121.5,5.7,2.0,97.7,-2.1,3.3,96.0,0.9,0.3,103.1,6.6,2.1
2026-05-01,,,,123.7,-0.3,2.3,116.5,-4.1,3.7,,,,95.6,-0.4,0.1,98.4,-4.6,3.8
