date,SE_VAT_Income,SE_VAT_Income_3m_avg
2024-01-01,29836,
2024-02-01,66673,
2024-03-01,27098,41202.0
2024-04-01,30910,41560.0
2024-05-01,61512,39840.0
2024-06-01,26189,39537.0
2024-07-01,42358,43353.0
2024-08-01,61923,43490.0
2024-09-01,30729,45003.0
2024-10-01,31781,41478.0
2024-11-01,60998,41169.0
2024-12-01,35532,42770.0
2025-01-01,30006,42179.0
2025-02-01,66743,44094.0
2025-03-01,27110,41286.0
2025-04-01,33653,42502.0
2025-05-01,60216,40326.0
2025-06-01,31851,41907.0
2025-07-01,39674,43914.0
2025-08-01,59369,43631.0
2025-09-01,36718,45254.0
2025-10-01,31774,42620.0
2025-11-01,60998,43163.0
2025-12-01,35532,42768.0
2026-01-01,31617,42716.0
2026-02-01,66743,44631.0
2026-03-01,27110,41823.0
2026-04-01,34715,42856.0
2026-05-01,56841,39555.0
