date,SY,AF,PK,IQ,TR,AL,PS,BD,EG,GE,SO,Rest of World
2008,810.0,2285.0,6915.0,1760.0,55.0,200.0,0.0,1780.0,95.0,2240.0,150.0,3595.0
2009,965.0,1510.0,3715.0,885.0,70.0,515.0,75.0,1810.0,145.0,2170.0,140.0,3925.0
2010,165.0,525.0,2750.0,340.0,70.0,695.0,150.0,985.0,105.0,1160.0,140.0,3190.0
2011,350.0,635.0,2310.0,255.0,35.0,275.0,25.0,615.0,305.0,1120.0,70.0,3315.0
2012,275.0,585.0,2340.0,315.0,30.0,385.0,30.0,1005.0,250.0,895.0,60.0,3405.0
2013,485.0,1225.0,1360.0,145.0,30.0,580.0,40.0,730.0,310.0,535.0,120.0,2665.0
2014,785.0,1710.0,1620.0,175.0,40.0,570.0,75.0,635.0,280.0,350.0,115.0,3080.0
2015,3500.0,1725.0,1825.0,660.0,45.0,1005.0,60.0,740.0,340.0,385.0,110.0,2810.0
2016,26700.0,4370.0,4695.0,4810.0,190.0,1425.0,850.0,1215.0,335.0,690.0,125.0,5705.0
2017,16395.0,7565.0,8925.0,7925.0,1825.0,2450.0,1310.0,1385.0,970.0,1105.0,230.0,8575.0
2018,13390.0,11930.0,7745.0,9730.0,4835.0,3320.0,1520.0,1550.0,1045.0,1460.0,720.0,9730.0
2019,10855.0,23825.0,7140.0,5740.0,3805.0,3055.0,2155.0,2525.0,1880.0,1605.0,2275.0,12425.0
2020,7765.0,11515.0,4145.0,1675.0,1600.0,1335.0,1275.0,1745.0,770.0,875.0,1540.0,6320.0
2021,3875.0,4630.0,4275.0,1630.0,1925.0,1465.0,770.0,2735.0,900.0,685.0,1540.0,3925.0
2022,5050.0,5630.0,4570.0,2670.0,1440.0,1290.0,2905.0,1945.0,1595.0,535.0,2170.0,7580.0
2023,14015.0,9495.0,4080.0,6455.0,2715.0,945.0,6735.0,645.0,2500.0,1260.0,2935.0,12450.0
2024,22295.0,15530.0,2105.0,2405.0,4275.0,995.0,2580.0,1000.0,7545.0,575.0,1575.0,12805.0
