date,total_applicants,first_time_applicants,subsequent_applicants,total_applicants_12m_avg,first_time_applicants_12m_avg,subsequent_applicants_12m_avg
2008-01-01,1685.0,,,1685.0,,
2008-02-01,1725.0,,,1705.0,,
2008-03-01,1505.0,,,1638.3333333333333,,
2008-04-01,1715.0,,,1657.5,,
2008-05-01,1790.0,,,1684.0,,
2008-06-01,1745.0,,,1694.1666666666667,,
2008-07-01,1740.0,,,1700.7142857142858,,
2008-08-01,1420.0,,,1665.625,,
2008-09-01,1700.0,,,1669.4444444444443,,
2008-10-01,1650.0,,,1667.5,,
2008-11-01,1430.0,,,1645.909090909091,,
2008-12-01,1780.0,,,1657.0833333333333,,
2009-01-01,1555.0,,,1646.25,,
2009-02-01,1590.0,,,1635.0,,
2009-03-01,1570.0,,,1640.4166666666667,,
2009-04-01,1680.0,,,1637.5,,
2009-05-01,1715.0,,,1631.25,,
2009-06-01,1665.0,,,1624.5833333333333,,
2009-07-01,1085.0,,,1570.0,,
2009-08-01,495.0,,,1492.9166666666667,,
2009-09-01,1585.0,,,1483.3333333333333,,
2009-10-01,1135.0,,,1440.4166666666667,,
2009-11-01,960.0,,,1401.25,,
2009-12-01,890.0,,,1327.0833333333333,,
2010-01-01,650.0,,,1251.6666666666667,,
2010-02-01,745.0,,,1181.25,,
2010-03-01,800.0,,,1117.0833333333333,,
2010-04-01,660.0,,,1032.0833333333333,,
2010-05-01,840.0,,,959.1666666666666,,
2010-06-01,1010.0,,,904.5833333333334,,
2010-07-01,990.0,,,896.6666666666666,,
2010-08-01,885.0,,,929.1666666666666,,
2010-09-01,1310.0,,,906.25,,
2010-10-01,1080.0,,,901.6666666666666,,
2010-11-01,910.0,,,897.5,,
2010-12-01,395.0,,,856.25,,
2011-01-01,605.0,605.0,,852.5,605.0,
2011-02-01,920.0,920.0,,867.0833333333334,762.5,
2011-03-01,1005.0,1005.0,,884.1666666666666,843.3333333333334,
2011-04-01,455.0,455.0,,867.0833333333334,746.25,
2011-05-01,815.0,815.0,,865.0,760.0,
2011-06-01,685.0,685.0,,837.9166666666666,747.5,
2011-07-01,990.0,990.0,,837.9166666666666,782.1428571428571,
2011-08-01,650.0,650.0,,818.3333333333334,765.625,
2011-09-01,790.0,790.0,,775.0,768.3333333333334,
2011-10-01,740.0,740.0,,746.6666666666666,765.5,
2011-11-01,875.0,875.0,,743.75,775.4545454545455,
2011-12-01,785.0,785.0,,776.25,776.25,
2012-01-01,555.0,555.0,,772.0833333333334,772.0833333333334,
2012-02-01,680.0,680.0,,752.0833333333334,752.0833333333334,
2012-03-01,710.0,710.0,,727.5,727.5,
2012-04-01,885.0,885.0,,763.3333333333334,763.3333333333334,
2012-05-01,720.0,720.0,,755.4166666666666,755.4166666666666,
2012-06-01,805.0,805.0,,765.4166666666666,765.4166666666666,
2012-07-01,590.0,590.0,,732.0833333333334,732.0833333333334,
2012-08-01,750.0,750.0,,740.4166666666666,740.4166666666666,
2012-09-01,745.0,745.0,,736.6666666666666,736.6666666666666,
2012-10-01,1255.0,1255.0,,779.5833333333334,779.5833333333334,
2012-11-01,1030.0,1030.0,,792.5,792.5,
2012-12-01,850.0,850.0,,797.9166666666666,797.9166666666666,
2013-01-01,755.0,755.0,,814.5833333333334,814.5833333333334,
2013-02-01,705.0,705.0,,816.6666666666666,816.6666666666666,
2013-03-01,610.0,610.0,,808.3333333333334,808.3333333333334,
2013-04-01,745.0,745.0,,796.6666666666666,796.6666666666666,
2013-05-01,595.0,595.0,,786.25,786.25,
2013-06-01,535.0,530.0,,763.75,763.3333333333334,
2013-07-01,775.0,760.0,,779.1666666666666,777.5,
2013-08-01,610.0,575.0,,767.5,762.9166666666666,
2013-09-01,675.0,630.0,,761.6666666666666,753.3333333333334,
2013-10-01,835.0,750.0,,726.6666666666666,711.25,
2013-11-01,760.0,670.0,,704.1666666666666,681.25,
2013-12-01,630.0,540.0,,685.8333333333334,655.4166666666666,
2014-01-01,760.0,655.0,,686.25,647.0833333333334,
2014-02-01,890.0,760.0,,701.6666666666666,651.6666666666666,
2014-03-01,795.0,630.0,,717.0833333333334,653.3333333333334,
2014-04-01,840.0,655.0,,725.0,645.8333333333334,
2014-05-01,845.0,635.0,,745.8333333333334,649.1666666666666,
