country_of_birth,country_gr,people_ED0-2,people_ED3_4,people_ED5-8,people_NRP,people_TOTAL,people_ED0-2_per_1000,people_ED3_4_per_1000,people_ED5-8_per_1000,people_NRP_per_1000,people_TOTAL_per_1000
AT,Αυστρία,16.2,72.5,94.0,,183.2,1.779286730079567,7.962857279677075,10.324256335029586,,20.12131660188745
BE,Βέλγιο,42.3,77.1,131.7,,253.2,3.602208537046884,6.565727617170562,11.215386863571503,,21.562156065727446
BG,Βουλγαρία,260.5,191.2,143.1,,596.8,40.4019411543013,29.653939150489087,22.193926215664167,,92.55999416847222
CZ,Τσεχία,23.3,70.9,59.3,,154.5,2.1519221975761966,6.54812376859023,5.476780528595214,,14.26918367062328
DE,Γερμανία,154.2,449.9,624.6,,1235.1,1.8279055385360006,5.333169272291483,7.404084302007692,,14.641025490569483
DK,Δανία,,20.9,40.8,,71.8,,3.5228752595381425,6.877191894218001,,12.102509264824816
EE,Εσθονία,15.6,36.6,25.1,,77.6,11.42117485818708,26.795833321131223,18.37637749618562,,56.81302365354598
EL,Ελλάδα,102.5,81.4,104.8,,290.1,9.842536697297922,7.816414508878545,10.06339361831046,,27.856779472059774
ES,Ισπανία,60.5,110.1,213.3,,386.1,1.2581791784821996,2.2896781413370277,4.435861467276911,,8.029470757222764
FI,Φινλανδία,,30.3,50.9,,90.9,,5.445751864226443,9.148144220763232,,16.337255592679327
FR,Γαλλία,134.1,234.2,445.3,,818.2,1.9670550693422117,3.4353788011927366,6.5319136642661215,,12.001822951049943
HR,Κροατία,80.7,150.3,76.9,,310.5,20.956172774425887,39.0298979925181,19.969388926311655,,80.6306275893338
HU,Ουγγαρία,52.9,153.1,132.3,,339.6,5.510563615029734,15.948341955785487,13.781617509800261,,35.37594335848956
IE,Ιρλανδία,,,26.8,,43.0,,,5.084043218161416,,8.157233521676899
IT,Ιταλια,251.9,243.6,352.3,,851.1,4.2696940826057155,4.1290094423293064,5.971469731250471,,14.42610811316286
LT,Λιθουανία,31.3,80.9,81.4,,198.9,10.954478019122389,28.31365085453678,28.488642516184104,,69.61168300330489
LU,Λουξεμβούργο,15.8,21.7,19.1,,56.6,23.910085970378734,32.83853579476066,28.903964685711,,85.65258645085041
LV,Λετονία,18.0,43.7,45.4,,109.8,9.559173407654137,23.20754877302699,24.110359594860988,,58.31095778669023
NL,Ολλανδία,33.1,100.4,141.0,,275.2,1.8583717485722961,5.636873823464004,7.916326783948451,,15.450873269096553
PL,Πολωνία,393.7,904.9,585.4,20.0,1904.1,10.711836206256692,24.620626322178513,15.927632499727375,0.5441623676025752,51.806978207603166
PT,Πορτογαλία,428.3,214.9,125.9,,771.9,40.72600885778807,20.434320110993827,11.971525835151803,,73.39810001710626
RO,Ρουμανία,925.6,1283.6,502.8,,2718.4,48.57632938865829,67.36449481772016,26.38740105511818,,142.66410307922285
SE,Σουηδία,16.4,51.9,67.0,,136.9,1.5587048151433116,4.932730482069382,6.367879427719626,,13.011383487385325
SI,Σλοβενία,,23.0,25.7,,55.9,,10.864574496025455,12.139981067298008,,26.405639753383607
SK,Σλοβακία,33.4,130.1,117.8,,281.7,6.152381597968756,23.96481574538129,21.699118330560463,,51.889996890652654
