country_of_citizenship,country_gr,people_ED0-2,people_ED3_4,people_ED5-8,people_NRP,people_TOTAL,people_ED0-2_per_1000,people_ED3_4_per_1000,people_ED5-8_per_1000,people_NRP_per_1000,people_TOTAL_per_1000
AT,Αυστρία,18.0,77.3,92.5,,188.0,1.9653336972840179,8.44001637778081,10.099631499931759,,20.52681861607752
BE,Βέλγιο,26.3,54.8,105.0,,188.6,2.2255890956627584,4.6373491422935045,8.885431750744853,,15.959927887528373
BG,Βουλγαρία,234.8,180.0,119.3,,535.8,36.42862340297023,27.92654264282216,18.509091873826016,,83.12800860013395
CZ,Τσεχία,15.6,46.9,36.8,,99.6,1.4311197916069411,4.302533219638817,3.3759748930215023,,9.137149438721238
DE,Γερμανία,47.1,248.3,424.7,,725.0,0.5643689441549741,2.9752188712033982,5.088906381796549,,8.687207739115841
DK,Δανία,,15.8,31.3,,55.4,,2.650451272879224,5.250577521589855,,9.29335446313348
EE,Εσθονία,13.2,24.5,19.8,,57.8,9.602185806659987,17.82223880781589,14.403278709989983,,42.045934820071764
EL,Ελλάδα,135.6,114.8,117.4,,369.3,13.037558938227352,11.03769739018068,11.287680083686514,,35.50715719680945
ES,Ισπανία,109.8,137.2,222.5,,473.3,2.2583440722941597,2.821901700535143,4.5763347548766,,9.734738154980198
FI,Φινλανδία,,12.1,29.9,,44.4,,2.1592294299045425,5.335616525136018,,7.923122866757164
FR,Γαλλία,52.9,136.8,350.4,,543.5,0.7726309069714122,1.9980322887275839,5.117766914986443,,7.938088807919897
HR,Κροατία,109.6,221.7,107.6,,440.1,28.37932069331509,57.40597990609449,27.86144987774365,,113.9574729664961
HU,Ουγγαρία,55.3,140.3,111.9,,308.5,5.76965592922917,14.63802399404797,11.6749457229791,,32.186959388195284
IE,Ιρλανδία,,,41.7,,57.3,,,7.791944250787743,,10.706916200722727
IT,Ιταλια,359.8,430.6,484.5,,1282.1,6.101280234446526,7.301865672464353,8.215870688130465,,21.74111002941604
LT,Λιθουανία,27.2,56.8,70.5,,159.9,9.425165399524792,19.681963040184122,24.429197083327125,,55.407498065588754
LU,Λουξεμβούργο,,13.6,,,27.2,,20.23658953946879,,,40.47317907893758
LV,Λετονία,18.7,29.6,31.0,,82.1,9.989945947447543,15.812962569221778,16.560872961009295,,43.85960226125365
NL,Ολλανδία,46.5,94.4,147.3,,288.4,2.591548253346636,5.261121615396181,8.20935607995612,,16.073172392799354
PL,Πολωνία,279.0,481.4,343.0,19.6,1122.8,7.618585744724948,13.145473754518244,9.366218316991604,0.535212475256663,30.66002893970313
PT,Πορτογαλία,418.6,235.0,162.0,,819.7,39.3431184224105,22.08703494808043,15.225956006761828,,77.04145764655969
RO,Ρουμανία,868.7,1114.6,382.2,,2370.8,45.559015996579745,58.45525409207757,20.044498577060867,,124.33672743719495
SE,Σουηδία,,27.9,52.1,,92.9,,2.6441219415967483,4.93758971889572,,8.804262665746878
SI,Σλοβενία,,22.6,21.0,,51.8,,10.640556811863185,9.887243055271101,,24.388532869668715
SK,Σλοβακία,31.4,91.8,98.2,,222.4,5.7883523971060455,16.922635352048882,18.102426923433555,,40.99775710561734
