date,citizens_F,citizens_M,employment_rate_F,employment_rate_M,employment_rate_Total
1995,135.8,172.2,58.4,73.4,66.8
1996,132.8,168.9,56.0,76.8,67.6
1997,118.0,150.9,60.6,73.9,68.1
1998,133.7,159.9,59.6,73.9,67.4
1999,143.6,165.3,59.0,73.9,67.0
2000,132.7,153.5,60.0,73.2,67.0
2001,145.5,166.2,61.7,74.1,68.3
2002,129.4,158.3,62.0,76.9,70.2
2003,125.6,170.8,61.6,74.9,69.2
2004,123.9,143.5,63.4,74.0,69.1
2005,128.4,167.7,60.2,73.1,67.5
2006,128.9,166.3,63.8,73.1,69.0
2007,131.1,167.4,65.0,78.7,72.7
2008,128.8,161.4,64.6,77.8,71.9
2009,126.4,158.0,62.2,75.0,69.3
2010,122.6,144.2,60.1,75.1,68.2
2011,118.3,142.8,63.5,75.9,70.3
2012,125.5,159.5,64.0,76.9,71.3
2013,123.5,159.4,61.2,77.6,70.4
2014,129.8,166.8,64.7,79.1,72.8
2015,135.3,172.9,65.5,77.1,72.0
2016,139.2,183.1,66.7,79.8,74.1
2017,144.9,189.4,68.0,81.8,75.8
2018,164.5,206.0,69.3,84.1,77.6
2019,166.4,206.9,72.1,82.6,77.9
2020,169.6,205.1,73.9,79.0,76.7
2021,147.9,177.3,71.1,84.0,78.1
2022,152.5,178.1,73.5,85.0,79.7
2023,151.2,181.4,72.1,85.5,79.4
2024,161.4,194.4,74.5,83.0,79.1
