Country,Corruption_Perception_Index_2024,Corruption_Perception_Index_2025,Change
Αυστρία,67.0,69.0,2.0
Βέλγιο,69.0,69.0,0.0
Βουλγαρία,43.0,40.0,-3.0
Κύπρος,56.0,55.0,-1.0
Τσεχία,56.0,59.0,3.0
Γερμανία,75.0,77.0,2.0
Δανία,90.0,89.0,-1.0
Εσθονία,76.0,76.0,0.0
Ελλάδα,49.0,50.0,1.0
Ισπανία,56.0,55.0,-1.0
E.E.,62.0,62.0,0.0
Φινλανδία,88.0,88.0,0.0
Γαλλία,67.0,66.0,-1.0
Κροατία,47.0,47.0,0.0
Ουγγαρία,41.0,40.0,-1.0
Ιρλανδία,77.0,76.0,-1.0
Ιταλια,54.0,53.0,-1.0
Λιθουανία,63.0,65.0,2.0
Λουξεμβούργο,81.0,78.0,-3.0
Λετονία,59.0,60.0,1.0
Μάλτα,46.0,49.0,3.0
Ολλανδία,78.0,78.0,0.0
Πολωνία,53.0,53.0,0.0
Πορτογαλία,57.0,56.0,-1.0
Ρουμανία,46.0,45.0,-1.0
Σουηδία,80.0,80.0,0.0
Σλοβενία,60.0,58.0,-2.0
Σλοβακία,49.0,48.0,-1.0
