Corruption_Perception_Index_2025,Country_Code,eu_countries_gr,Country_En
69.0,AT,Αυστρία,Austria
69.0,BE,Βέλγιο,Belgium
40.0,BG,Βουλγαρία,Bulgaria
55.0,CY,Κύπρος,Cyprus
59.0,CZ,Τσεχία,Czech Republic
77.0,DE,Γερμανία,Germany
89.0,DK,Δανία,Denmark
76.0,EE,Εσθονία,Estonia
50.0,EL,Ελλάδα,Greece
55.0,ES,Ισπανία,Spain
62.0,EU27_2020,E.E.,E.U.
88.0,FI,Φινλανδία,Finland
66.0,FR,Γαλλία,France
47.0,HR,Κροατία,Croatia
40.0,HU,Ουγγαρία,Hungary
76.0,IE,Ιρλανδία,Ireland
53.0,IT,Ιταλια,Italy
65.0,LT,Λιθουανία,Lithuania
78.0,LU,Λουξεμβούργο,Luxembourg
60.0,LV,Λετονία,Latvia
49.0,MT,Μάλτα,Malta
78.0,NL,Ολλανδία,Netherlands
53.0,PL,Πολωνία,Poland
56.0,PT,Πορτογαλία,Portugal
45.0,RO,Ρουμανία,Romania
80.0,SE,Σουηδία,Sweden
58.0,SI,Σλοβενία,Slovenia
48.0,SK,Σλοβακία,Slovakia
