country_en,country_gr
Australia,Αυστραλία
Βέλγιο,Belgium
Canada,Καναδάς
Chile,Χιλή
Colombia,Κολομβία
Costa Rica,Κόστα Ρίκα
Czech Republic,Τσεχία
Estonia,Εσθονία
Denmark,Δανία
France,Γαλλία
Germany,Γερμανία
Greece,Ελλάδα
Hungary,Ουγγαρία
Ireland,Ιρλανδία
Israel,Ισραήλ
Japan,Ιαπωνία
Korea,Κορέα
Latvia,Λετονία
Lithuania,Λιθουανία
Luxembourg,Λουξεμβούργο
Mexico,Μεξικό
Netherlands,Ολλανδία
New Zealand,Νέα Ζηλανδία
Poland,Πολωνία
Portugal,Πορτογαλία
Romania,Ρουμανία
Slovak Republic,Σλοβακία
Slovenia,Σλοβενία
Spain,Ισπανία
Türkiye,Τουρκία
United Kingdom,Ηνωμένο Βασίλειο
United States,Ηνωμένες Πολιτείες
