date,cases,deaths,stringencyIndex,cases_7d_avg,deaths_7d_avg
2020-01-22,,,,,
2020-01-23,,,,,
2020-01-24,,,,,
2020-01-25,,,,,
2020-01-26,,,,,
2020-01-27,,,,,
2020-01-28,,,,,
2020-01-29,,,,,
2020-01-30,,,,,
2020-01-31,,,,,
2020-02-01,,,,,
2020-02-02,,,,,
2020-02-03,,,,,
2020-02-04,,,,,
2020-02-05,,,,,
2020-02-06,,,,,
2020-02-07,,,,,
2020-02-08,,,,,
2020-02-09,,,,,
2020-02-10,,,,,
2020-02-11,,,,,
2020-02-12,,,,,
2020-02-13,,,,,
2020-02-14,,,,,
2020-02-15,,,,,
2020-02-16,,,,,
2020-02-17,,,,,
2020-02-18,,,,,
2020-02-19,,,,,
2020-02-20,,,,,
2020-02-21,,,,,
2020-02-22,,,,,
2020-02-23,,,,,
2020-02-24,,,,,
2020-02-25,,,,,
2020-02-26,1.0,,,1.0,
2020-02-27,2.0,,,1.5,
2020-02-28,1.0,,,1.3333333333333333,
2020-02-29,0.0,,,1.0,
2020-03-01,3.0,,,1.4,
2020-03-02,0.0,,,1.1666666666666667,
2020-03-03,0.0,,,1.0,
2020-03-04,2.0,,,1.1428571428571428,
2020-03-05,22.0,,,4.0,
2020-03-06,14.0,,,5.857142857142857,
2020-03-07,1.0,,,6.0,
2020-03-08,27.0,,,9.428571428571429,
2020-03-09,0.0,,,9.428571428571429,
2020-03-10,16.0,,,11.714285714285714,
2020-03-11,10.0,1.0,,12.857142857142858,1.0
2020-03-12,0.0,0.0,,9.714285714285714,0.5
2020-03-13,91.0,0.0,,20.714285714285715,0.3333333333333333
2020-03-14,38.0,2.0,,26.0,0.75
2020-03-15,103.0,1.0,,36.857142857142854,0.8
2020-03-16,0.0,0.0,,36.857142857142854,0.6666666666666666
2020-03-17,56.0,1.0,,42.57142857142857,0.7142857142857143
2020-03-18,31.0,0.0,,45.57142857142857,0.5714285714285714
2020-03-19,0.0,1.0,,45.57142857142857,0.7142857142857143
2020-03-20,77.0,2.0,,43.57142857142857,1.0
2020-03-21,35.0,5.0,,43.142857142857146,1.4285714285714286
2020-03-22,94.0,2.0,,41.857142857142854,1.5714285714285714
2020-03-23,71.0,2.0,,52.0,1.8571428571428572
2020-03-24,48.0,3.0,,50.857142857142854,2.142857142857143
2020-03-25,92.0,2.0,,59.57142857142857,2.4285714285714284
2020-03-26,0.0,0.0,,59.57142857142857,2.2857142857142856
2020-03-27,0.0,0.0,,48.57142857142857,2.0
2020-03-28,0.0,0.0,,43.57142857142857,1.2857142857142858
2020-03-29,321.0,16.0,,76.0,3.2857142857142856
2020-03-30,0.0,0.0,,65.85714285714286,3.0
2020-03-31,0.0,0.0,,59.0,2.5714285714285716
2020-04-01,0.0,0.0,,45.857142857142854,2.2857142857142856
2020-04-02,0.0,0.0,,45.857142857142854,2.2857142857142856
2020-04-03,457.0,21.0,,111.14285714285714,5.285714285714286
2020-04-04,60.0,9.0,,119.71428571428571,6.571428571428571
2020-04-05,62.0,5.0,,82.71428571428571,5.0
2020-04-06,20.0,6.0,,85.57142857142857,5.857142857142857
2020-04-07,77.0,2.0,,96.57142857142857,6.142857142857143
2020-04-08,52.0,2.0,,104.0,6.428571428571429
2020-04-09,71.0,3.0,,114.14285714285714,6.857142857142857
2020-04-10,54.0,4.0,,56.57142857142857,4.428571428571429
2020-04-11,72.0,3.0,,58.285714285714285,3.5714285714285716
2020-04-12,0.0,0.0,,49.42857142857143,2.857142857142857
2020-04-13,64.0,6.0,,55.714285714285715,2.857142857142857
2020-04-14,25.0,2.0,,48.285714285714285,2.857142857142857
2020-04-15,22.0,1.0,,44.0,2.7142857142857144
2020-04-16,15.0,3.0,,36.0,2.7142857142857144
2020-04-17,17.0,3.0,,30.714285714285715,2.5714285714285716
2020-04-18,11.0,2.0,,22.0,2.4285714285714284
2020-04-19,10.0,6.0,,23.428571428571427,3.2857142857142856
2020-04-20,0.0,0.0,,14.285714285714286,2.4285714285714284
2020-04-21,156.0,5.0,,33.0,2.857142857142857
2020-04-22,7.0,0.0,,30.857142857142858,2.7142857142857144
2020-04-23,55.0,4.0,,36.57142857142857,2.857142857142857
2020-04-24,27.0,5.0,,38.0,3.142857142857143
2020-04-25,16.0,0.0,,38.714285714285715,2.857142857142857
2020-04-26,11.0,4.0,,38.857142857142854,2.5714285714285716
2020-04-27,17.0,2.0,,41.285714285714285,2.857142857142857
2020-04-28,32.0,2.0,,23.571428571428573,2.4285714285714284
2020-04-29,10.0,1.0,,24.0,2.5714285714285716
2020-04-30,15.0,1.0,,18.285714285714285,2.142857142857143
2020-05-01,21.0,0.0,,17.428571428571427,1.4285714285714286
2020-05-02,8.0,3.0,,16.285714285714285,1.8571428571428572
2020-05-03,6.0,1.0,,15.571428571428571,1.4285714285714286
2020-05-04,6.0,2.0,,14.0,1.4285714285714286
2020-05-05,10.0,0.0,,10.857142857142858,1.1428571428571428
2020-05-06,21.0,1.0,,12.428571428571429,1.1428571428571428
2020-05-07,15.0,1.0,,12.428571428571429,1.1428571428571428
2020-05-08,13.0,2.0,,11.285714285714286,1.4285714285714286
2020-05-09,19.0,1.0,,12.857142857142858,1.1428571428571428
2020-05-10,6.0,0.0,,12.857142857142858,1.0
2020-05-11,10.0,0.0,,13.428571428571429,0.7142857142857143
2020-05-12,18.0,1.0,,14.571428571428571,0.8571428571428571
2020-05-13,16.0,3.0,,13.857142857142858,1.1428571428571428
2020-05-14,10.0,1.0,,13.142857142857142,1.1428571428571428
2020-05-15,40.0,4.0,,17.0,1.4285714285714286
2020-05-16,9.0,2.0,,15.571428571428571,1.5714285714285714
2020-05-17,15.0,1.0,,16.857142857142858,1.7142857142857142
2020-05-18,2.0,2.0,,15.714285714285714,2.0
2020-05-19,4.0,0.0,,13.714285714285714,1.8571428571428572
2020-05-20,10.0,1.0,,12.857142857142858,1.5714285714285714
2020-05-21,3.0,2.0,,11.857142857142858,1.7142857142857142
2020-05-22,20.0,1.0,,9.0,1.2857142857142858
2020-05-23,3.0,2.0,,8.142857142857142,1.2857142857142858
2020-05-24,2.0,0.0,,6.285714285714286,1.1428571428571428
2020-05-25,4.0,1.0,,6.571428571428571,1.0
2020-05-26,7.0,1.0,,7.0,1.1428571428571428
2020-05-27,14.0,0.0,,7.571428571428571,1.0
2020-05-28,3.0,2.0,,7.571428571428571,1.0
2020-05-29,3.0,0.0,,5.142857142857143,0.8571428571428571
2020-05-30,6.0,0.0,,5.571428571428571,0.5714285714285714
2020-05-31,2.0,0.0,,5.571428571428571,0.5714285714285714
2020-06-01,1.0,4.0,,5.142857142857143,1.0
2020-06-02,19.0,0.0,,6.857142857142857,0.8571428571428571
2020-06-03,15.0,1.0,,7.0,1.0
2020-06-04,0.0,0.0,,6.571428571428571,0.7142857142857143
2020-06-05,97.0,2.0,,20.0,1.0
2020-06-06,0.0,0.0,,19.142857142857142,1.0
2020-06-07,0.0,0.0,,18.857142857142858,1.0
2020-06-08,0.0,0.0,,18.714285714285715,0.42857142857142855
2020-06-09,9.0,1.0,,17.285714285714285,0.5714285714285714
2020-06-10,10.0,0.0,,16.571428571428573,0.42857142857142855
2020-06-11,20.0,0.0,,19.428571428571427,0.42857142857142855
2020-06-12,20.0,0.0,,8.428571428571429,0.14285714285714285
2020-06-13,4.0,0.0,,9.0,0.14285714285714285
2020-06-14,9.0,0.0,,10.285714285714286,0.14285714285714285
2020-06-15,13.0,1.0,,12.142857142857142,0.2857142857142857
2020-06-16,14.0,1.0,,12.857142857142858,0.2857142857142857
2020-06-17,55.0,2.0,,19.285714285714285,0.5714285714285714
2020-06-18,24.0,1.0,,19.857142857142858,0.7142857142857143
2020-06-19,10.0,1.0,,18.428571428571427,0.8571428571428571
2020-06-20,19.0,1.0,,20.571428571428573,1.0
2020-06-21,10.0,0.0,,20.714285714285715,1.0
2020-06-22,21.0,0.0,,21.857142857142858,0.8571428571428571
2020-06-23,15.0,0.0,,22.0,0.7142857142857143
2020-06-24,8.0,0.0,,15.285714285714286,0.42857142857142855
2020-06-25,11.0,1.0,,13.428571428571429,0.42857142857142855
2020-06-26,22.0,0.0,,15.142857142857142,0.2857142857142857
2020-06-27,23.0,0.0,,15.714285714285714,0.14285714285714285
2020-06-28,10.0,0.0,,15.714285714285714,0.14285714285714285
2020-06-29,14.0,0.0,,14.714285714285714,0.14285714285714285
2020-06-30,19.0,1.0,,15.285714285714286,0.2857142857142857
2020-07-01,23.0,0.0,,17.428571428571427,0.2857142857142857
2020-07-02,26.0,0.0,,19.571428571428573,0.14285714285714285
2020-07-03,28.0,0.0,,20.428571428571427,0.14285714285714285
2020-07-04,25.0,0.0,,20.714285714285715,0.14285714285714285
2020-07-05,8.0,0.0,,20.428571428571427,0.14285714285714285
2020-07-06,43.0,0.0,,24.571428571428573,0.14285714285714285
2020-07-07,27.0,1.0,,25.714285714285715,0.14285714285714285
2020-07-08,33.0,0.0,,27.142857142857142,0.14285714285714285
2020-07-09,50.0,0.0,,30.571428571428573,0.14285714285714285
2020-07-10,60.0,0.0,,35.142857142857146,0.14285714285714285
2020-07-11,40.0,0.0,,37.285714285714285,0.14285714285714285
2020-07-12,31.0,0.0,,40.57142857142857,0.14285714285714285
2020-07-13,23.0,0.0,,37.714285714285715,0.14285714285714285
2020-07-14,57.0,0.0,,42.0,0.0
2020-07-15,27.0,0.0,,41.142857142857146,0.0
2020-07-16,29.0,0.0,,38.142857142857146,0.0
2020-07-17,25.0,1.0,,33.142857142857146,0.14285714285714285
2020-07-18,19.0,0.0,,30.142857142857142,0.14285714285714285
2020-07-19,24.0,0.0,,29.142857142857142,0.14285714285714285
2020-07-20,5.0,1.0,,26.571428571428573,0.2857142857142857
2020-07-21,36.0,2.0,,23.571428571428573,0.5714285714285714
2020-07-22,29.0,3.0,,23.857142857142858,1.0
2020-07-23,33.0,1.0,,24.428571428571427,1.1428571428571428
2020-07-24,25.0,0.0,,24.428571428571427,1.0
2020-07-25,31.0,0.0,,26.142857142857142,1.0
2020-07-26,27.0,1.0,,26.571428571428573,1.1428571428571428
2020-07-27,34.0,0.0,,30.714285714285715,1.0
2020-07-28,52.0,1.0,,33.0,0.8571428571428571
2020-07-29,57.0,0.0,,37.0,0.42857142857142855
2020-07-30,65.0,0.0,,41.57142857142857,0.2857142857142857
2020-07-31,76.0,3.0,,48.857142857142854,0.7142857142857143
2020-08-01,110.0,0.0,,60.142857142857146,0.7142857142857143
2020-08-02,75.0,2.0,,67.0,0.8571428571428571
2020-08-03,75.0,1.0,,72.85714285714286,1.0
2020-08-04,118.0,0.0,,82.28571428571429,0.8571428571428571
2020-08-05,118.0,1.0,,91.0,1.0
2020-08-06,150.0,0.0,,103.14285714285714,1.0
2020-08-07,147.0,0.0,,113.28571428571429,0.5714285714285714
2020-08-08,151.0,1.0,,119.14285714285714,0.7142857142857143
2020-08-09,202.0,1.0,,137.28571428571428,0.5714285714285714
2020-08-10,126.0,1.0,,144.57142857142858,0.5714285714285714
2020-08-11,193.0,1.0,,155.28571428571428,0.7142857142857143
2020-08-12,235.0,2.0,,172.0,0.8571428571428571
2020-08-13,204.0,5.0,,179.71428571428572,1.5714285714285714
2020-08-14,251.0,2.0,,194.57142857142858,1.8571428571428572
2020-08-15,226.0,3.0,,205.28571428571428,2.142857142857143
2020-08-16,217.0,2.0,,207.42857142857142,2.2857142857142856
2020-08-17,147.0,2.0,,210.42857142857142,2.4285714285714284
2020-08-18,250.0,2.0,,218.57142857142858,2.5714285714285716
2020-08-19,212.0,3.0,,215.28571428571428,2.7142857142857144
2020-08-20,250.0,0.0,,221.85714285714286,2.0
2020-08-21,204.0,3.0,,215.14285714285714,2.142857142857143
2020-08-22,243.0,2.0,,217.57142857142858,2.0
2020-08-23,283.0,2.0,,227.0,2.0
2020-08-24,155.0,0.0,,228.14285714285714,1.7142857142857142
2020-08-25,168.0,1.0,,216.42857142857142,1.5714285714285714
2020-08-26,0.0,0.0,,186.14285714285714,1.1428571428571428
2020-08-27,544.0,11.0,,228.14285714285714,2.7142857142857144
2020-08-28,269.0,5.0,,237.42857142857142,3.0
2020-08-29,177.0,1.0,,228.0,2.857142857142857
2020-08-30,157.0,2.0,,210.0,2.857142857142857
2020-08-31,183.0,4.0,,214.0,3.4285714285714284
2020-09-01,207.0,5.0,,219.57142857142858,4.0
2020-09-02,233.0,2.0,,252.85714285714286,4.285714285714286
2020-09-03,241.0,5.0,,209.57142857142858,3.4285714285714284
2020-09-04,202.0,1.0,,200.0,2.857142857142857
2020-09-05,186.0,1.0,,201.28571428571428,2.857142857142857
2020-09-06,138.0,4.0,,198.57142857142858,3.142857142857143
2020-09-07,139.0,5.0,,192.28571428571428,3.2857142857142856
2020-09-08,169.0,1.0,,186.85714285714286,2.7142857142857144
2020-09-09,248.0,3.0,,189.0,2.857142857142857
2020-09-10,372.0,4.0,,207.71428571428572,2.7142857142857144
2020-09-11,282.0,3.0,,219.14285714285714,3.0
2020-09-12,302.0,2.0,,235.71428571428572,3.142857142857143
2020-09-13,204.0,3.0,,245.14285714285714,3.0
2020-09-14,180.0,5.0,,251.0,3.0
2020-09-15,310.0,3.0,,271.14285714285717,3.2857142857142856
2020-09-16,311.0,3.0,,280.14285714285717,3.2857142857142856
2020-09-17,359.0,9.0,,278.2857142857143,4.0
2020-09-18,338.0,2.0,,286.2857142857143,3.857142857142857
