TIME,GEO,UNIT,Value,Year,Week,Week num
2016W01,Greece,Number,"2,637",2016,W01,1
2016W02,Greece,Number,"2,638",2016,W02,2
2016W03,Greece,Number,"2,601",2016,W03,3
2016W04,Greece,Number,"2,652",2016,W04,4
2016W05,Greece,Number,"2,649",2016,W05,5
2016W06,Greece,Number,"2,594",2016,W06,6
2016W07,Greece,Number,"2,436",2016,W07,7
2016W08,Greece,Number,"2,215",2016,W08,8
2016W09,Greece,Number,"2,139",2016,W09,9
2016W10,Greece,Number,"2,248",2016,W10,10
2016W11,Greece,Number,"2,255",2016,W11,11
2016W12,Greece,Number,"2,185",2016,W12,12
2016W13,Greece,Number,"2,259",2016,W13,13
2016W14,Greece,Number,"2,275",2016,W14,14
2016W15,Greece,Number,"2,227",2016,W15,15
2016W16,Greece,Number,"2,100",2016,W16,16
2016W17,Greece,Number,"2,081",2016,W17,17
2016W18,Greece,Number,"2,246",2016,W18,18
2016W19,Greece,Number,"2,209",2016,W19,19
2016W20,Greece,Number,"2,121",2016,W20,20
2016W21,Greece,Number,"2,027",2016,W21,21
2016W22,Greece,Number,"2,199",2016,W22,22
2016W23,Greece,Number,"1,999",2016,W23,23
2016W24,Greece,Number,"2,175",2016,W24,24
2016W25,Greece,Number,"2,914",2016,W25,25
2016W26,Greece,Number,"2,318",2016,W26,26
2016W27,Greece,Number,"2,155",2016,W27,27
2016W28,Greece,Number,"2,186",2016,W28,28
2016W29,Greece,Number,"1,993",2016,W29,29
2016W30,Greece,Number,"2,285",2016,W30,30
2016W31,Greece,Number,"2,324",2016,W31,31
2016W32,Greece,Number,"2,212",2016,W32,32
2016W33,Greece,Number,"2,122",2016,W33,33
2016W34,Greece,Number,"2,049",2016,W34,34
2016W35,Greece,Number,"2,013",2016,W35,35
2016W36,Greece,Number,"2,041",2016,W36,36
2016W37,Greece,Number,"1,971",2016,W37,37
2016W38,Greece,Number,"1,882",2016,W38,38
2016W39,Greece,Number,"1,972",2016,W39,39
2016W40,Greece,Number,"2,081",2016,W40,40
2016W41,Greece,Number,"2,047",2016,W41,41
2016W42,Greece,Number,"2,142",2016,W42,42
2016W43,Greece,Number,"2,177",2016,W43,43
2016W44,Greece,Number,"2,148",2016,W44,44
2016W45,Greece,Number,"2,349",2016,W45,45
2016W46,Greece,Number,"2,244",2016,W46,46
2016W47,Greece,Number,"2,431",2016,W47,47
2016W48,Greece,Number,"2,413",2016,W48,48
2016W49,Greece,Number,"2,475",2016,W49,49
2016W50,Greece,Number,"2,414",2016,W50,50
2016W51,Greece,Number,"2,716",2016,W51,51
2016W52,Greece,Number,"2,875",2016,W52,52
2016W99,Greece,Number,:,2016,W99,99
2017W01,Greece,Number,"3,425",2017,W01,1
2017W02,Greece,Number,"3,680",2017,W02,2
2017W03,Greece,Number,"3,364",2017,W03,3
2017W04,Greece,Number,"3,082",2017,W04,4
2017W05,Greece,Number,"3,002",2017,W05,5
2017W06,Greece,Number,"2,790",2017,W06,6
2017W07,Greece,Number,"2,675",2017,W07,7
