Country,TIME,Week,Θάνατοι
Austria,2000-W01,W01,1867
Austria,2000-W02,W02,1902
Austria,2000-W03,W03,2027
Austria,2000-W04,W04,1940
Austria,2000-W05,W05,1928
Austria,2000-W06,W06,1760
Austria,2000-W07,W07,1666
Austria,2000-W08,W08,1628
Austria,2000-W09,W09,1566
Austria,2000-W10,W10,1524
Austria,2000-W11,W11,1528
Austria,2000-W12,W12,1501
Austria,2000-W13,W13,1428
Austria,2000-W14,W14,1475
Austria,2000-W15,W15,1543
Austria,2000-W16,W16,1391
Austria,2000-W17,W17,1392
Austria,2000-W18,W18,1290
Austria,2000-W19,W19,1279
Austria,2000-W20,W20,1320
Austria,2000-W21,W21,1336
Austria,2000-W22,W22,1265
Austria,2000-W23,W23,1383
Austria,2000-W24,W24,1428
Austria,2000-W25,W25,1392
Austria,2000-W26,W26,1317
Austria,2000-W27,W27,1339
Austria,2000-W28,W28,1304
Austria,2000-W29,W29,1329
Austria,2000-W30,W30,1299
Austria,2000-W31,W31,1375
Austria,2000-W32,W32,1326
Austria,2000-W33,W33,1519
Austria,2000-W34,W34,1441
Austria,2000-W35,W35,1279
Austria,2000-W36,W36,1217
Austria,2000-W37,W37,1382
Austria,2000-W38,W38,1303
Austria,2000-W39,W39,1351
Austria,2000-W40,W40,1353
Austria,2000-W41,W41,1422
Austria,2000-W42,W42,1415
Austria,2000-W43,W43,1409
Austria,2000-W44,W44,1466
Austria,2000-W45,W45,1578
Austria,2000-W46,W46,1372
Austria,2000-W47,W47,1441
Austria,2000-W48,W48,1406
Austria,2000-W49,W49,1388
Austria,2000-W50,W50,1471
Austria,2000-W51,W51,1459
Austria,2000-W52,W52,1513
Austria,2001-W01,W01,1580
Austria,2001-W02,W02,1600
Austria,2001-W03,W03,1460
Austria,2001-W04,W04,1566
Austria,2001-W05,W05,1529
Austria,2001-W06,W06,1473
Austria,2001-W07,W07,1432
Austria,2001-W08,W08,1514
Austria,2001-W09,W09,1438
Austria,2001-W10,W10,1488
Austria,2001-W11,W11,1511
Austria,2001-W12,W12,1518
Austria,2001-W13,W13,1360
Austria,2001-W14,W14,1445
Austria,2001-W15,W15,1506
Austria,2001-W16,W16,1441
Austria,2001-W17,W17,1509
Austria,2001-W18,W18,1508
Austria,2001-W19,W19,1402
Austria,2001-W20,W20,1361
Austria,2001-W21,W21,1312
Austria,2001-W22,W22,1354
Austria,2001-W23,W23,1291
Austria,2001-W24,W24,1335
Austria,2001-W25,W25,1351
Austria,2001-W26,W26,1413
Austria,2001-W27,W27,1349
Austria,2001-W28,W28,1365
Austria,2001-W29,W29,1338
Austria,2001-W30,W30,1293
Austria,2001-W31,W31,1472
Austria,2001-W32,W32,1327
Austria,2001-W33,W33,1448
Austria,2001-W34,W34,1409
Austria,2001-W35,W35,1294
Austria,2001-W36,W36,1253
Austria,2001-W37,W37,1306
Austria,2001-W38,W38,1304
Austria,2001-W39,W39,1399
Austria,2001-W40,W40,1406
Austria,2001-W41,W41,1399
Austria,2001-W42,W42,1454
Austria,2001-W43,W43,1362
Austria,2001-W44,W44,1406
Austria,2001-W45,W45,1439
Austria,2001-W46,W46,1513
Austria,2001-W47,W47,1500
Austria,2001-W48,W48,1484
Austria,2001-W49,W49,1495
Austria,2001-W50,W50,1570
Austria,2001-W51,W51,1638
Austria,2001-W52,W52,1617
Austria,2002-W01,W01,1632
Austria,2002-W02,W02,1551
Austria,2002-W03,W03,1523
Austria,2002-W04,W04,1639
Austria,2002-W05,W05,1572
Austria,2002-W06,W06,1543
Austria,2002-W07,W07,1555
Austria,2002-W08,W08,1605
Austria,2002-W09,W09,1465
Austria,2002-W10,W10,1565
Austria,2002-W11,W11,1581
Austria,2002-W12,W12,1482
Austria,2002-W13,W13,1399
Austria,2002-W14,W14,1527
Austria,2002-W15,W15,1531
Austria,2002-W16,W16,1447
Austria,2002-W17,W17,1390
Austria,2002-W18,W18,1433
Austria,2002-W19,W19,1439
Austria,2002-W20,W20,1415
Austria,2002-W21,W21,1379
Austria,2002-W22,W22,1352
Austria,2002-W23,W23,1357
Austria,2002-W24,W24,1418
Austria,2002-W25,W25,1664
Austria,2002-W26,W26,1469
Austria,2002-W27,W27,1395
Austria,2002-W28,W28,1364
Austria,2002-W29,W29,1320
Austria,2002-W30,W30,1346
Austria,2002-W31,W31,1360
Austria,2002-W32,W32,1339
Austria,2002-W33,W33,1346
Austria,2002-W34,W34,1300
Austria,2002-W35,W35,1396
Austria,2002-W36,W36,1311
Austria,2002-W37,W37,1291
