TIME,GEO,UNIT,SEX,AGE,Value
2016W01,Greece,Number,Total,Total,"2,637"
2016W02,Greece,Number,Total,Total,"2,638"
2016W03,Greece,Number,Total,Total,"2,601"
2016W04,Greece,Number,Total,Total,"2,652"
2016W05,Greece,Number,Total,Total,"2,649"
2016W06,Greece,Number,Total,Total,"2,594"
2016W07,Greece,Number,Total,Total,"2,436"
2016W08,Greece,Number,Total,Total,"2,215"
2016W09,Greece,Number,Total,Total,"2,139"
2016W10,Greece,Number,Total,Total,"2,248"
2016W11,Greece,Number,Total,Total,"2,255"
2016W12,Greece,Number,Total,Total,"2,185"
2016W13,Greece,Number,Total,Total,"2,259"
2016W14,Greece,Number,Total,Total,"2,275"
2016W15,Greece,Number,Total,Total,"2,227"
2016W16,Greece,Number,Total,Total,"2,100"
2016W17,Greece,Number,Total,Total,"2,081"
2016W18,Greece,Number,Total,Total,"2,246"
2016W19,Greece,Number,Total,Total,"2,209"
2016W20,Greece,Number,Total,Total,"2,121"
2016W21,Greece,Number,Total,Total,"2,027"
2016W22,Greece,Number,Total,Total,"2,199"
2016W23,Greece,Number,Total,Total,"1,999"
2016W24,Greece,Number,Total,Total,"2,175"
2016W25,Greece,Number,Total,Total,"2,914"
2016W26,Greece,Number,Total,Total,"2,318"
2016W27,Greece,Number,Total,Total,"2,155"
2016W28,Greece,Number,Total,Total,"2,186"
2016W29,Greece,Number,Total,Total,"1,993"
2016W30,Greece,Number,Total,Total,"2,285"
2016W31,Greece,Number,Total,Total,"2,324"
2016W32,Greece,Number,Total,Total,"2,212"
2016W33,Greece,Number,Total,Total,"2,122"
2016W34,Greece,Number,Total,Total,"2,049"
2016W35,Greece,Number,Total,Total,"2,013"
2016W36,Greece,Number,Total,Total,"2,041"
2016W37,Greece,Number,Total,Total,"1,971"
2016W38,Greece,Number,Total,Total,"1,882"
2016W39,Greece,Number,Total,Total,"1,972"
2016W40,Greece,Number,Total,Total,"2,081"
2016W41,Greece,Number,Total,Total,"2,047"
2016W42,Greece,Number,Total,Total,"2,142"
2016W43,Greece,Number,Total,Total,"2,177"
2016W44,Greece,Number,Total,Total,"2,148"
2016W45,Greece,Number,Total,Total,"2,349"
2016W46,Greece,Number,Total,Total,"2,244"
2016W47,Greece,Number,Total,Total,"2,431"
2016W48,Greece,Number,Total,Total,"2,413"
2016W49,Greece,Number,Total,Total,"2,475"
2016W50,Greece,Number,Total,Total,"2,414"
2016W51,Greece,Number,Total,Total,"2,716"
2016W52,Greece,Number,Total,Total,"2,875"
2016W99,Greece,Number,Total,Total,0
2017W01,Greece,Number,Total,Total,"3,425"
2017W02,Greece,Number,Total,Total,"3,680"
2017W03,Greece,Number,Total,Total,"3,364"
2017W04,Greece,Number,Total,Total,"3,082"
2017W05,Greece,Number,Total,Total,"3,002"
2017W06,Greece,Number,Total,Total,"2,790"
2017W07,Greece,Number,Total,Total,"2,675"
2017W08,Greece,Number,Total,Total,"2,523"
2017W09,Greece,Number,Total,Total,"2,399"
2017W10,Greece,Number,Total,Total,"2,405"
2017W11,Greece,Number,Total,Total,"2,444"
2017W12,Greece,Number,Total,Total,"2,458"
2017W13,Greece,Number,Total,Total,"2,253"
2017W14,Greece,Number,Total,Total,"2,363"
2017W15,Greece,Number,Total,Total,"2,363"
2017W16,Greece,Number,Total,Total,"2,367"
2017W17,Greece,Number,Total,Total,"2,325"
2017W18,Greece,Number,Total,Total,"2,265"
2017W19,Greece,Number,Total,Total,"2,159"
2017W20,Greece,Number,Total,Total,"2,030"
2017W21,Greece,Number,Total,Total,"2,013"
2017W22,Greece,Number,Total,Total,"2,212"
2017W23,Greece,Number,Total,Total,"2,121"
2017W24,Greece,Number,Total,Total,"2,136"
2017W25,Greece,Number,Total,Total,"2,170"
2017W26,Greece,Number,Total,Total,"2,732"
2017W27,Greece,Number,Total,Total,"2,542"
2017W28,Greece,Number,Total,Total,"2,418"
2017W29,Greece,Number,Total,Total,"2,090"
2017W30,Greece,Number,Total,Total,"2,143"
2017W31,Greece,Number,Total,Total,"2,307"
2017W32,Greece,Number,Total,Total,"2,726"
2017W33,Greece,Number,Total,Total,"2,288"
2017W34,Greece,Number,Total,Total,"2,052"
2017W35,Greece,Number,Total,Total,"2,076"
2017W36,Greece,Number,Total,Total,"1,976"
2017W37,Greece,Number,Total,Total,"2,100"
2017W38,Greece,Number,Total,Total,"1,980"
2017W39,Greece,Number,Total,Total,"1,926"
2017W40,Greece,Number,Total,Total,"2,076"
2017W41,Greece,Number,Total,Total,"2,185"
2017W42,Greece,Number,Total,Total,"2,230"
2017W43,Greece,Number,Total,Total,"2,157"
2017W44,Greece,Number,Total,Total,"2,214"
2017W45,Greece,Number,Total,Total,"2,310"
2017W46,Greece,Number,Total,Total,"2,266"
2017W47,Greece,Number,Total,Total,"2,319"
2017W48,Greece,Number,Total,Total,"2,336"
2017W49,Greece,Number,Total,Total,"2,278"
2017W50,Greece,Number,Total,Total,"2,455"
2017W51,Greece,Number,Total,Total,"2,367"
2017W52,Greece,Number,Total,Total,"2,496"
2017W99,Greece,Number,Total,Total,0
2018W01,Greece,Number,Total,Total,"2,533"
2018W02,Greece,Number,Total,Total,"2,453"
2018W03,Greece,Number,Total,Total,"2,345"
2018W04,Greece,Number,Total,Total,"2,548"
2018W05,Greece,Number,Total,Total,"2,605"
2018W06,Greece,Number,Total,Total,"2,557"
2018W07,Greece,Number,Total,Total,"2,469"
2018W08,Greece,Number,Total,Total,"2,493"
2018W09,Greece,Number,Total,Total,"2,610"
2018W10,Greece,Number,Total,Total,"2,532"
2018W11,Greece,Number,Total,Total,"2,415"
2018W12,Greece,Number,Total,Total,"2,330"
2018W13,Greece,Number,Total,Total,"2,365"
2018W14,Greece,Number,Total,Total,"2,341"
2018W15,Greece,Number,Total,Total,"2,349"
2018W16,Greece,Number,Total,Total,"2,319"
2018W17,Greece,Number,Total,Total,"2,175"
2018W18,Greece,Number,Total,Total,"2,226"
2018W19,Greece,Number,Total,Total,"1,980"
2018W20,Greece,Number,Total,Total,"2,112"
2018W21,Greece,Number,Total,Total,"2,021"
2018W22,Greece,Number,Total,Total,"2,223"
2018W23,Greece,Number,Total,Total,"2,302"
2018W24,Greece,Number,Total,Total,"2,188"
2018W25,Greece,Number,Total,Total,"2,080"
2018W26,Greece,Number,Total,Total,"2,045"
2018W27,Greece,Number,Total,Total,"2,361"
2018W28,Greece,Number,Total,Total,"2,160"
2018W29,Greece,Number,Total,Total,"2,356"
2018W30,Greece,Number,Total,Total,"2,195"
2018W31,Greece,Number,Total,Total,"2,231"
2018W32,Greece,Number,Total,Total,"2,288"
2018W33,Greece,Number,Total,Total,"2,285"
2018W34,Greece,Number,Total,Total,"2,260"
2018W35,Greece,Number,Total,Total,"2,178"
2018W36,Greece,Number,Total,Total,"2,196"
2018W37,Greece,Number,Total,Total,"2,063"
2018W38,Greece,Number,Total,Total,"2,100"
2018W39,Greece,Number,Total,Total,"2,022"
2018W40,Greece,Number,Total,Total,"2,176"
2018W41,Greece,Number,Total,Total,"2,244"
2018W42,Greece,Number,Total,Total,"2,164"
2018W43,Greece,Number,Total,Total,"2,261"
2018W44,Greece,Number,Total,Total,"2,301"
2018W45,Greece,Number,Total,Total,"2,232"
2018W46,Greece,Number,Total,Total,"2,392"
2018W47,Greece,Number,Total,Total,"2,438"
2018W48,Greece,Number,Total,Total,"2,312"
2018W49,Greece,Number,Total,Total,"2,451"
2018W50,Greece,Number,Total,Total,"2,503"
2018W51,Greece,Number,Total,Total,"2,535"
