new_cases_0_17,new_cases_18_39,new_cases_40_64,new_cases_65,new_deaths_0_17,new_deaths_18_39,new_deaths_40_64,new_deaths_65,date,icu_0_17,icu_18_39,icu_40_64,icu_65,DisplayDate,new_cases_0_64,new_cases_0_64_7day,new_cases_65_7day,max_new_cases_0_64,max_new_cases_65,new_cases_%_of_max_0_64,new_cases_%_of_max_65,icu_0_64,icu_0_64_7day,icu_65_7day,max_icu_0_64,max_icu_65,icu_%_of_max_0_64,icu_%_of_max_65,new_deaths_0_64,new_deaths_0_64_7day,new_deaths_65_7day,max_new_deaths_0_64,max_new_deaths_65,new_deaths_%_of_max_0_64,new_deaths_%_of_max_65,new_cases_65_7day_share,new_cases_0_64_7day_share
26.0,220.0,223.0,125.0,0.0,1.0,4.0,38.0,2021-01-01,0,10,165,254,01/01/21,469.0,469.0,125.0,6029.285714285715,786.0,0.07778699206255182,0.15903307888040713,175,175.0,254.0,315.7142857142857,521.7142857142857,0.5542986425339367,0.48685651697699894,5.0,5.0,38.0,16.857142857142858,68.28571428571429,0.2966101694915254,0.5564853556485355,0.21043771043771045,0.7895622895622896
16.0,78.0,111.0,53.0,0.0,0.0,10.0,30.0,2021-01-02,0,10,164,257,02/01/21,205.0,337.0,89.0,6029.285714285715,786.0,0.05589385143940291,0.11323155216284987,174,174.5,255.5,315.7142857142857,521.7142857142857,0.5527149321266969,0.48973165388828044,10.0,7.5,34.0,16.857142857142858,68.28571428571429,0.4449152542372881,0.49790794979079495,0.20892018779342722,0.7910798122065728
19.0,127.0,167.0,77.0,0.0,0.0,3.0,33.0,2021-01-03,0,10,163,248,03/01/21,313.0,329.0,85.0,6029.285714285715,786.0,0.05456699443193934,0.10814249363867684,173,174.0,253.0,315.7142857142857,521.7142857142857,0.551131221719457,0.4849397590361446,3.0,6.0,33.666666666666664,16.857142857142858,68.28571428571429,0.3559322033898305,0.49302649930264986,0.20531400966183574,0.7946859903381642
23.0,147.0,167.0,90.0,0.0,2.0,14.0,38.0,2021-01-04,0,7,151,249,04/01/21,337.0,331.0,86.25,6029.285714285715,786.0,0.05489870868380523,0.10973282442748092,158,170.0,252.0,315.7142857142857,521.7142857142857,0.5384615384615384,0.4830230010952903,16.0,8.5,34.75,16.857142857142858,68.28571428571429,0.5042372881355932,0.5088912133891212,0.2067106051527861,0.793289394847214
47.0,325.0,390.0,161.0,0.0,0.0,6.0,34.0,2021-01-05,0,7,151,247,05/01/21,762.0,417.2,101.2,6029.285714285715,786.0,0.0691955929392252,0.12875318066157762,158,167.6,251.0,315.7142857142857,521.7142857142857,0.5308597285067873,0.48110624315443595,6.0,8.0,34.6,16.857142857142858,68.28571428571429,0.4745762711864407,0.5066945606694561,0.19521604938271606,0.8047839506172839
47.0,267.0,336.0,156.0,0.0,0.0,8.0,40.0,2021-01-06,0,7,144,248,06/01/21,650.0,456.0,110.33333333333333,6029.285714285715,786.0,0.07563084942542353,0.14037319762510603,151,164.83333333333334,250.5,315.7142857142857,521.7142857142857,0.5220965309200604,0.4801478641840088,8.0,8.0,35.5,16.857142857142858,68.28571428571429,0.4745762711864407,0.5198744769874476,0.19482048263684518,0.8051795173631547
45.0,158.0,206.0,101.0,0.0,0.0,9.0,38.0,2021-01-07,0,8,139,244,07/01/21,409.0,449.2857142857143,109.0,6029.285714285715,786.0,0.07451723729415945,0.138676844783715,147,162.28571428571428,249.57142857142858,315.7142857142857,521.7142857142857,0.5140271493212669,0.4783680175246441,9.0,8.142857142857142,35.857142857142854,16.857142857142858,68.28571428571429,0.48305084745762705,0.5251046025104602,0.1952405322415558,0.8047594677584443
51.0,235.0,281.0,145.0,0.0,0.0,10.0,39.0,2021-01-08,0,8,135,243,08/01/21,567.0,463.2857142857143,111.85714285714286,6029.285714285715,786.0,0.0768392370572207,0.14231188658669575,143,157.71428571428572,248.0,315.7142857142857,521.7142857142857,0.4995475113122172,0.475355969331873,10.0,8.857142857142858,36.0,16.857142857142858,68.28571428571429,0.5254237288135594,0.5271966527196652,0.19448584202682564,0.8055141579731744
60.0,277.0,313.0,155.0,0.0,0.0,6.0,26.0,2021-01-09,0,8,128,226,09/01/21,650.0,526.8571428571429,126.42857142857143,6029.285714285715,786.0,0.08738301149152944,0.1608505997818975,136,152.28571428571428,243.57142857142858,315.7142857142857,521.7142857142857,0.48235294117647054,0.46686746987951816,6.0,8.285714285714286,35.42857142857143,16.857142857142858,68.28571428571429,0.4915254237288136,0.5188284518828452,0.1935272250164006,0.8064727749835994
29.0,163.0,180.0,73.0,0.0,0.0,2.0,34.0,2021-01-10,0,9,126,218,10/01/21,372.0,535.2857142857143,125.85714285714286,6029.285714285715,786.0,0.08878095012439284,0.16012359142130134,135,146.85714285714286,239.28571428571428,315.7142857142857,521.7142857142857,0.465158371040724,0.4586527929901424,2.0,8.142857142857142,35.57142857142857,16.857142857142858,68.28571428571429,0.48305084745762705,0.5209205020920501,0.1903630077787381,0.8096369922212618
