date,cases_0_17,cases_18_39,cases_40_64,cases_65,deaths_0_17,deaths_18_39,deaths_40_64,deaths_65,icu_0_17,icu_18_39,icu_40_64,icu_65
2020-12-31,8110,47636,55850,22592,0,38,691,4109,0,11,163,264
2021-01-01,8136,47856,56073,22717,0,39,695,4147,0,10,165,254
2021-01-02,8152,47934,56184,22770,0,39,705,4177,0,10,164,257
2021-01-03,8171,48061,56351,22847,0,39,708,4210,0,10,163,248
2021-01-04,8194,48208,56518,22937,0,41,722,4248,0,7,151,249
2021-01-05,8241,48533,56908,23098,0,41,728,4282,0,7,151,247
2021-01-06,8288,48800,57244,23254,0,41,736,4322,0,7,144,248
2021-01-07,8333,48958,57450,23355,0,41,745,4360,0,8,139,244
2021-01-08,8384,49193,57731,23500,0,41,755,4399,0,8,135,243
2021-01-09,8444,49470,58044,23655,0,41,761,4425,0,8,128,226
2021-01-10,8473,49633,58224,23728,0,41,763,4459,0,9,126,218
2021-01-11,8498,49752,58418,23827,0,41,769,4492,0,10,121,219
2021-01-12,8557,50016,58791,23964,0,41,774,4514,0,10,113,214
2021-01-13,8594,50228,59079,24097,0,41,780,4533,0,10,112,218
2021-01-14,8635,50416,59326,24209,0,42,788,4557,0,9,105,214
2021-01-15,8673,50603,59587,24301,0,43,792,4586,0,9,104,206
2021-01-16,8706,50773,59790,24405,0,43,796,4602,0,9,105,209
2021-01-17,8721,50852,59878,24459,0,43,802,4624,0,9,105,206
2021-01-18,8750,50939,60016,24525,0,43,808,4637,0,9,106,207
2021-01-19,8791,51114,60267,24594,0,43,810,4665,0,8,108,204
2021-01-20,8832,51279,60481,24686,0,43,815,4687,0,9,103,188
2021-01-21,8879,51431,60696,24770,0,43,816,4711,0,9,99,185
2021-01-22,8927,51604,60923,24881,0,44,822,4732,0,8,93,187
2021-01-23,8965,51818,61166,24992,0,44,823,4755,0,8,103,181
2021-01-24,8984,51916,61305,25068,0,44,827,4775,0,8,99,181
2021-01-25,9029,52029,61482,25164,0,44,827,4800,0,9,99,178
2021-01-26,9100,52270,61843,25304,0,44,832,4816,0,9,98,176
2021-01-27,9200,52505,62211,25456,0,44,840,4840,0,8,91,175
2021-01-28,9266,52735,62522,25563,0,45,841,4856,0,6,93,169
2021-01-29,9386,53007,62899,25719,0,45,845,4874,0,6,91,163
2021-01-30,9453,53291,63216,25912,0,45,850,4884,0,6,86,165
2021-01-31,9506,53440,63412,25997,0,45,852,4899,0,6,86,163
2021-02-01,9562,53607,63631,26094,0,45,861,4923,0,6,83,159
2021-02-02,9709,53977,64130,26302,0,45,862,4944,0,6,80,158
2021-02-03,9832,54347,64604,26485,1,45,867,4965,0,6,80,160
2021-02-04,9977,54665,65034,26658,1,45,870,4987,0,5,76,168
2021-02-05,10127,55008,65501,26877,1,46,873,5002,0,5,74,167
2021-02-06,10262,55345,65938,27062,1,46,874,5030,0,5,79,165
2021-02-07,10367,55566,66245,27161,1,46,875,5050,0,5,83,174
2021-02-08,10457,55741,66514,27256,1,46,878,5072,0,6,88,182
2021-02-09,10669,56194,67112,27486,1,46,880,5090,0,6,90,181
2021-02-10,10882,56645,67682,27727,1,46,885,5102,0,5,87,192
2021-02-11,11081,57042,68231,27906,1,46,886,5123,0,5,85,191
2021-02-12,11248,57493,68799,28097,1,46,890,5140,0,5,88,200
2021-02-13,11384,57861,69321,28290,1,46,893,5163,0,6,91,203
2021-02-14,11460,58071,69586,28400,1,46,898,5181,0,6,88,207
2021-02-15,11519,58262,69888,28535,1,46,901,5204,0,5,88,206
2021-02-16,11602,58596,70415,28689,1,46,906,5228,0,5,90,214
2021-02-17,11677,58834,70745,28799,1,46,908,5239,0,4,93,216
2021-02-18,11806,59237,71353,29060,1,46,914,5260,0,3,100,217
2021-02-19,11928,59714,71955,29291,1,46,919,5283,0,3,102,220
2021-02-20,12071,60153,72585,29500,1,46,922,5303,0,3,101,221
2021-02-21,12148,60441,72929,29676,1,46,922,5328,1,3,109,213
2021-02-22,12204,60744,73303,29813,1,46,925,5349,1,4,125,216
2021-02-23,12345,61390,74270,30168,1,46,928,5368,1,4,124,228
2021-02-24,12530,61998,75074,30472,1,46,931,5393,1,5,125,226
2021-02-25,12714,62576,75834,30728,1,46,937,5426,1,5,129,232
2021-02-26,12872,63109,76602,30992,1,46,939,5453,1,7,129,234
2021-02-27,13014,63603,77345,31238,1,46,941,5480,1,9,133,236
2021-02-28,13153,63986,77875,31455,1,46,946,5511,1,9,138,243
2021-03-01,13242,64348,78379,31665,1,46,949,5538,1,10,136,259
2021-03-02,13471,65042,79449,31993,1,46,950,5560,1,11,142,268
2021-03-03,13723,65870,80608,32448,1,46,957,5593,1,10,145,275
2021-03-04,13981,66554,81543,32778,1,46,959,5626,1,10,153,285
2021-03-05,14221,67243,82454,33112,1,47,962,5654,1,8,157,285
2021-03-06,14465,67961,83413,33494,1,48,964,5692,1,8,160,283
2021-03-07,14554,68332,83912,33674,1,49,969,5739,1,7,174,284
2021-03-08,14660,68684,84386,33905,2,49,978,5768,0,8,176,293
2021-03-09,14883,69721,85791,34412,2,49,981,5811,0,8,183,293
2021-03-10,15094,70561,86922,34854,2,49,991,5844,0,7,182,290
2021-03-11,15301,71370,88023,35296,2,49,998,5888,0,6,193,307
2021-03-12,15494,72146,89009,35702,2,49,1006,5929,0,8,197,316
2021-03-13,15738,72971,90043,36102,2,49,1016,5971,0,7,194,344
2021-03-14,15883,73497,90704,36391,2,49,1032,6008,0,9,200,355
2021-03-15,15970,73808,91190,36637,2,49,1042,6044,0,9,199,356
2021-03-16,16086,74236,91891,36895,2,49,1045,6100,0,13,208,384
2021-03-17,16315,75346,93469,37431,2,49,1053,6148,0,16,219,395
2021-03-18,16534,76374,94779,37938,2,49,1064,6182,0,17,227,401
2021-03-19,16750,77282,95923,38404,2,49,1070,6240,0,16,224,409
2021-03-20,16957,78146,97003,38783,2,50,1075,6294,0,16,226,430
2021-03-21,17079,78654,97628,39042,2,50,1080,6330,0,16,232,426
2021-03-22,17192,79232,98367,39312,2,50,1091,6388,0,14,240,427
2021-03-23,17432,80476,99834,39884,2,50,1098,6432,0,12,245,442
2021-03-24,17649,81526,101139,40352,2,51,1108,6488,0,13,247,439
2021-03-25,17834,82403,102256,40750,2,51,1117,6531,0,14,251,441
2021-03-26,17946,82884,102883,40998,2,53,1125,6574,0,15,248,444
2021-03-27,18186,83934,104222,41482,2,54,1132,6638,0,17,253,458
2021-03-28,18332,84381,104830,41712,2,55,1141,6682,0,15,262,458
2021-03-29,18430,84916,105596,42036,2,55,1155,6733,0,17,253,468
2021-03-30,18734,86413,107445,42700,2,56,1166,6793,0,16,261,464
2021-03-31,18971,87609,108945,43353,2,57,1177,6857,0,14,263,462
2021-04-01,19233,88844,110334,43945,2,57,1185,6916,0,15,263,477
2021-04-02,19487,89945,111532,44441,2,58,1192,6980,0,18,268,467
2021-04-03,19732,91002,112886,44999,2,58,1201,7041,0,19,266,470
2021-04-04,19898,91636,113691,45345,3,58,1213,7106,0,19,270,460
2021-04-05,19998,92263,114498,45677,3,58,1219,7173,0,18,270,471
2021-04-06,20287,93703,116410,46340,3,58,1228,7243,0,19,265,467
2021-04-07,20527,94791,117952,46907,3,58,1240,7306,0,19,259,471
2021-04-08,20762,95873,119236,47438,3,59,1251,7367,0,18,275,483
2021-04-09,20987,96817,120385,47860,3,59,1258,7438,0,18,286,486
2021-04-10,21227,97746,121533,48322,3,59,1270,7501,0,19,274,488
2021-04-11,21378,98355,122235,48607,3,60,1275,7547,0,18,280,482
2021-04-12,21533,98840,122908,48895,3,60,1288,7610,0,21,282,478
2021-04-13,21976,100106,124612,49496,3,60,1304,7687,0,23,288,491
2021-04-14,22230,101138,125928,49974,3,63,1320,7749,0,22,293,494
2021-04-15,22634,102420,127479,50561,3,64,1342,7830,0,20,292,507
2021-04-16,22948,103378,128707,51089,3,65,1359,7903,0,20,290,514
2021-04-17,23168,104178,129701,51484,3,65,1366,7963,0,18,299,520
2021-04-18,23353,104793,130425,51789,3,65,1373,8021,0,17,303,521
2021-04-19,23510,105320,131082,52062,3,65,1386,8086,0,17,300,530
2021-04-20,23853,106596,132666,52608,3,66,1406,8152,0,17,302,528
2021-04-21,24063,107605,133974,53081,3,66,1417,8227,0,16,296,519
2021-04-22,24283,108542,135093,53556,3,67,1433,8285,0,15,287,520
2021-04-23,24548,109414,136243,54003,3,67,1449,8345,0,18,290,511
2021-04-24,24773,110303,137340,54383,3,68,1467,8412,0,17,280,500
2021-04-25,24885,110788,137933,54594,3,69,1477,8458,0,17,289,509
2021-04-26,24972,111218,138450,54865,3,69,1493,8522,0,18,287,506
2021-04-27,25194,112338,139930,55331,3,69,1508,8599,0,18,291,504
2021-04-28,25394,113320,141084,55765,3,69,1522,8648,0,18,285,502
2021-04-29,25579,114172,142097,56137,3,70,1538,8704,0,19,291,507
2021-04-30,25773,114904,142981,56455,3,73,1545,8760,0,16,292,494
2021-05-01,25930,115409,143524,56659,3,73,1559,8818,0,18,297,496
2021-05-02,25930,115409,143524,56659,3,73,1559,8818,0,18,297,496
2021-05-03,26113,116108,144431,57002,3,74,1584,8926,0,18,297,482
2021-05-04,26242,116592,145001,57191,3,75,1603,8987,0,18,287,478
2021-05-05,26419,117294,145915,57486,3,76,1616,9069,0,20,293,452
2021-05-06,26692,118475,147426,57919,3,77,1637,9130,0,19,288,447
2021-05-07,26937,119428,148553,58268,3,77,1650,9180,0,20,288,441
2021-05-08,27203,120304,149501,58638,3,79,1660,9236,0,16,286,435
2021-05-09,27365,120832,150054,58822,3,80,1670,9276,0,16,285,427
2021-05-10,27755,121380,150743,59094,3,80,1677,9329,0,15,289,428
2021-05-11,28303,122438,151963,59439,3,80,1688,9370,0,16,291,425
2021-05-12,28645,123332,152918,59725,3,80,1709,9419,0,17,280,410
2021-05-13,29014,124110,153664,59972,3,80,1719,9464,0,16,272,395
2021-05-14,29383,124855,154472,60234,3,81,1729,9509,0,14,272,391
2021-05-15,29614,125593,155206,60469,3,81,1736,9545,0,14,268,379
2021-05-16,29787,126058,155680,60617,3,81,1743,9588,0,15,266,375
2021-05-17,30043,126509,156200,60782,3,82,1756,9630,0,15,255,377
2021-05-18,30538,127462,157270,61028,3,84,1767,9680,0,14,250,375
2021-05-19,30887,128242,158172,61289,3,84,1776,9724,0,15,244,383
2021-05-20,31237,128893,158850,61492,3,84,1782,9772,0,15,247,364
2021-05-21,31628,129623,159564,61639,3,84,1790,9820,0,14,246,357
2021-05-22,31894,130171,160101,61788,3,86,1797,9848,0,12,233,341
2021-05-23,32040,130466,160447,61883,3,86,1805,9878,0,11,221,337
2021-05-24,32362,130897,160959,61996,3,86,1814,9919,0,10,223,330
2021-05-25,32856,131755,161814,62185,3,86,1827,9956,1,9,217,329
2021-05-26,33097,132303,162397,62332,3,86,1837,9990,1,8,213,325
2021-05-27,33436,133012,163076,62479,3,86,1847,10019,1,10,208,321
2021-05-28,33739,133747,163789,62639,3,86,1852,10054,1,8,207,305
2021-05-29,34017,134311,164322,62762,3,86,1856,10079,0,11,199,300
2021-05-30,34175,134653,164646,62845,3,86,1864,10101,0,10,194,293
2021-05-31,34432,134986,164986,62920,3,86,1871,10135,0,11,184,286
2021-06-01,34784,135653,165691,63051,3,86,1876,10157,0,9,183,290
2021-06-02,35032,136137,166198,63179,3,86,1880,10176,0,8,189,289
2021-06-03,35237,136606,166644,63270,3,86,1884,10211,0,8,185,283
2021-06-04,35432,137047,167025,63363,3,86,1894,10235,0,6,169,270
2021-06-05,35609,137402,167344,63444,3,86,1901,10263,0,6,161,249
2021-06-06,35699,137625,167537,63521,3,86,1908,10280,0,6,151,241
2021-06-07,35868,137897,167821,63591,3,86,1911,10301,0,6,150,236
2021-06-08,36110,138409,168332,63694,3,86,1915,10327,0,7,149,225
2021-06-09,36265,138757,168634,63771,3,86,1917,10340,0,7,151,223
2021-06-10,36376,139084,168886,63831,3,86,1920,10361,0,7,148,221
2021-06-11,36485,139423,169144,63911,3,86,1923,10369,0,8,145,222
2021-06-12,36573,139710,169374,63979,3,87,1930,10385,0,6,137,217
2021-06-13,36615,139849,169456,64013,3,87,1932,10400,0,7,134,217
2021-06-14,36706,140032,169599,64060,3,87,1934,10419,0,6,136,211
2021-06-15,36843,140342,169913,64091,3,87,1938,10437,0,5,136,202
2021-06-16,36918,140569,170108,64140,3,87,1939,10449,0,6,135,189
2021-06-17,36989,140802,170275,64182,3,87,1943,10461,0,6,130,185
2021-06-18,37047,141009,170427,64213,3,88,1946,10477,0,6,127,174
2021-06-19,37106,141182,170550,64248,3,88,1949,10494,0,5,125,171
2021-06-20,37138,141307,170632,64268,3,88,1951,10506,0,5,125,166
2021-06-21,37163,141417,170691,64285,3,88,1955,10519,0,6,119,158
2021-06-22,37221,141590,170823,64313,3,88,1958,10532,0,6,114,157
2021-06-23,37283,141811,171013,64359,3,89,1962,10541,0,5,111,155
2021-06-24,37345,142069,171138,64371,3,89,1964,10557,0,5,102,149
2021-06-25,37389,142278,171261,64390,3,89,1970,10572,0,5,97,137
2021-06-26,37437,142493,171353,64410,3,89,1972,10582,0,4,96,138
2021-06-27,37463,142625,171416,64425,3,89,1977,10595,0,4,91,136
2021-06-28,37505,142844,171504,64440,3,89,1979,10611,0,3,87,125
2021-06-29,37566,143194,171636,64470,3,89,1982,10621,0,4,83,117
2021-06-30,37644,143573,171782,64501,3,89,1984,10630,0,4,80,112
2021-07-01,37746,144026,171940,64525,3,89,1987,10631,0,4,75,110
2021-07-02,37875,144666,172125,64555,3,89,1989,10641,0,4,75,107
2021-07-03,38050,145453,172313,64587,3,89,1991,10648,0,3,72,102
2021-07-04,38151,145829,172432,64608,3,89,1992,10653,0,3,72,102
2021-07-05,38291,146419,172678,64633,3,89,1993,10658,0,3,70,100
2021-07-06,38590,147712,173196,64698,3,89,1995,10667,0,3,68,97
2021-07-07,38877,148925,173472,64739,3,89,1998,10673,0,3,63,93
2021-07-08,39225,150317,173767,64776,3,89,1999,10682,0,3,61,89
2021-07-09,39592,151611,174057,64828,3,89,2002,10691,0,2,58,81
2021-07-10,40028,153111,174382,64892,3,89,2002,10693,0,3,56,83
2021-07-11,40321,154011,174617,64930,3,89,2003,10697,0,3,56,83
2021-07-12,40818,155170,174994,64975,3,89,2004,10706,0,3,56,80
2021-07-13,41522,157389,175881,65081,3,89,2004,10710,0,3,56,74
2021-07-14,42117,159084,176445,65163,3,89,2004,10717,0,3,56,76
2021-07-15,42655,160755,176958,65244,3,89,2005,10722,0,3,54,75
2021-07-16,43196,162241,177542,65328,3,89,2007,10734,0,3,51,69
2021-07-17,43664,163658,178104,65435,3,89,2011,10737,0,3,52,69
2021-07-18,43956,164517,178459,65487,3,89,2011,10747,0,3,54,66
2021-07-19,44315,165417,178958,65576,3,89,2013,10753,0,3,51,69
2021-07-20,45003,167638,180176,65791,3,89,2016,10759,0,3,52,66
2021-07-21,45544,169176,180907,65949,3,89,2016,10762,0,3,56,66
2021-07-22,46051,170523,181536,66066,3,89,2017,10766,0,3,56,67
2021-07-23,46644,171977,182214,66192,3,89,2019,10771,0,4,58,68
2021-07-24,47186,173277,182745,66291,3,89,2020,10778,0,5,59,69
2021-07-25,47575,174033,183081,66371,3,90,2023,10782,0,5,61,68
2021-07-26,48074,175024,183558,66465,3,90,2023,10787,0,5,65,77
2021-07-27,48956,177057,184606,66676,3,90,2024,10794,0,6,64,72
2021-07-28,49574,178489,185273,66840,3,90,2027,10806,0,6,65,73
2021-07-29,50185,179827,185895,66966,3,90,2030,10812,0,9,67,81
2021-07-30,50762,181294,186546,67114,3,91,2031,10823,0,7,70,88
2021-07-31,51363,182690,187171,67244,3,91,2031,10840,0,10,73,89
2021-08-01,51694,183466,187562,67349,3,91,2031,10850,0,10,77,89
2021-08-02,52115,184497,188139,67477,3,91,2031,10858,0,11,83,94
2021-08-03,52821,186463,189184,67728,3,91,2035,10868,0,11,84,96
2021-08-04,53373,187899,189877,67903,3,91,2040,10879,0,11,85,96
2021-08-05,53868,189314,190550,68108,3,91,2041,10891,0,12,87,93
2021-08-06,54401,190713,191342,68308,3,91,2050,10904,1,12,84,94
2021-08-07,54980,191962,192064,68503,3,91,2051,10913,1,12,89,96
2021-08-08,55407,192765,192561,68629,3,91,2055,10926,1,12,89,102
2021-08-09,55975,193861,193271,68847,3,91,2059,10944,1,12,88,106
2021-08-10,56944,195833,194616,69174,3,92,2060,10963,1,12,95,111
2021-08-11,57726,197268,195577,69468,3,92,2063,10980,1,13,94,118
2021-08-12,58561,198838,196494,69749,3,92,2065,10998,1,14,105,120
2021-08-13,59339,200326,197452,70017,3,92,2070,11017,1,14,102,118
2021-08-14,60090,201681,198366,70266,3,94,2072,11037,1,14,101,120
2021-08-15,60500,202485,198896,70409,3,94,2073,11053,1,14,105,121
2021-08-16,60949,203435,199676,70666,3,94,2075,11065,1,13,111,125
2021-08-17,61870,205271,200953,71050,3,95,2076,11079,0,13,116,129
2021-08-18,62514,206661,201983,71423,3,95,2080,11100,0,13,128,141
2021-08-19,63180,208057,202899,71718,3,95,2083,11117,0,12,130,144
2021-08-20,63859,209596,203913,72082,3,95,2085,11145,1,13,140,142
2021-08-21,64493,210946,204822,72373,3,95,2090,11163,1,15,147,154
2021-08-22,64868,211767,205383,72563,3,96,2095,11190,1,14,147,156
