area,areaid,dailydose1,dailydose2,dailydose3,daydiff,daytotal,totaldistinctpersons,totaldose1,totaldose2,totaldose3,totalvaccinations,date
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,701,0,0,0,0,0,0,0,0,0,0,2020-12-28
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,901,55,0,0,20,55,90,90,0,0,90,2020-12-28
ΑΝΔΡΟΥ,1201,0,0,0,0,0,0,0,0,0,0,2020-12-28
ΑΡΓΟΛΙΔΑΣ,1001,0,0,0,0,0,0,0,0,0,0,2020-12-28
ΑΡΚΑΔΙΑΣ,1002,0,0,0,0,0,0,0,0,0,0,2020-12-28
ΑΡΤΑΣ,401,0,0,0,0,0,0,0,0,0,0,2020-12-28
ΑΧΑΪΑΣ,702,0,0,0,0,0,0,0,0,0,0,2020-12-28
ΒΟΙΩΤΙΑΣ,801,0,0,0,0,0,0,0,0,0,0,2020-12-28
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,902,0,0,0,0,0,0,0,0,0,0,2020-12-28
ΓΡΕΒΕΝΩΝ,301,0,0,0,0,0,0,0,0,0,0,2020-12-28
ΔΡΑΜΑΣ,101,0,0,0,0,0,0,0,0,0,0,2020-12-28
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,903,56,0,0,7,56,105,105,0,0,105,2020-12-28
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,904,55,0,0,5,55,105,105,0,0,105,2020-12-28
ΕΒΡΟΥ,102,0,0,0,0,0,0,0,0,0,0,2020-12-28
ΕΥΒΟΙΑΣ,802,0,0,0,0,0,0,0,0,0,0,2020-12-28
ΕΥΡΥΤΑΝΙΑΣ,803,0,0,0,0,0,0,0,0,0,0,2020-12-28
ΖΑΚΥΝΘΟΥ,601,0,0,0,0,0,0,0,0,0,0,2020-12-28
ΗΛΕΙΑΣ,703,0,0,0,0,0,0,0,0,0,0,2020-12-28
ΗΜΑΘΙΑΣ,201,0,0,0,0,0,0,0,0,0,0,2020-12-28
ΗΡΑΚΛΕΙΟΥ,1301,0,0,0,0,0,0,0,0,0,0,2020-12-28
ΘΑΣΟΥ,103,0,0,0,0,0,0,0,0,0,0,2020-12-28
ΘΕΣΠΡΩΤΙΑΣ,402,0,0,0,0,0,0,0,0,0,0,2020-12-28
ΘΕΣΣΑΛΟΝΙΚΗΣ,202,0,0,0,0,0,0,0,0,0,0,2020-12-28
ΘΗΡΑΣ,1202,0,0,0,0,0,0,0,0,0,0,2020-12-28
