date,EL,EU_median
2002-01-01,-848.0,-848.0
2002-02-01,-1261.0,-1105.0
2002-03-01,-988.0,-988.0
2002-04-01,-1600.0,-1346.0
2002-05-01,-864.0,-864.0
2002-06-01,-544.0,-544.0
2002-07-01,-174.0,-174.0
2002-08-01,493.0,-386.0
2002-09-01,-463.0,-463.0
2002-10-01,-1259.0,-1066.0
2002-11-01,-1760.0,-930.0
2002-12-01,-1899.0,-837.0
2003-01-01,-1301.0,-1301.0
2003-02-01,-1464.0,-684.0
2003-03-01,-1403.0,-797.0
2003-04-01,-1548.0,-778.0
2003-05-01,-1276.0,-845.0
2003-06-01,-1036.0,-901.0
2003-07-01,-383.0,-29.0
2003-08-01,433.0,-734.0
2003-09-01,-1403.0,-1013.0
2003-10-01,-1404.0,-938.0
2003-11-01,-2215.0,-1085.0
2003-12-01,-2118.0,-1090.0
2004-01-01,-1469.0,-708.7
2004-02-01,-1235.0,-821.5
2004-03-01,-1643.0,-964.0
2004-04-01,-1682.0,-1238.0
2004-05-01,-1580.0,-742.0
2004-06-01,-1500.0,-825.6
2004-07-01,-431.0,-431.0
2004-08-01,1056.0,-570.6
2004-09-01,-979.0,-934.7
2004-10-01,-1151.0,-941.4
2004-11-01,-2246.0,-690.3
2004-12-01,-2076.0,-1121.8
2005-01-01,-2069.0,-226.79999999999998
2005-02-01,-1412.0,-292.95
2005-03-01,-2151.0,-237.8
2005-04-01,-1887.0,-401.85
2005-05-01,-978.0,-553.7
2005-06-01,-1153.0,-503.8
2005-07-01,-475.0,-382.45
2005-08-01,86.0,-71.9
2005-09-01,-1086.0,-565.95
2005-10-01,-1531.0,-336.54999999999995
2005-11-01,-2642.0,-579.45
2005-12-01,-2375.0,-715.45
2006-01-01,-2304.0,223.0
2006-02-01,-2507.0,246.9
2006-03-01,-2969.0,-315.0
2006-04-01,-2278.0,-886.0
2006-05-01,-2526.0,-131.4
2006-06-01,-2229.0,-671.8
2006-07-01,-704.0,-549.0
2006-08-01,-88.0,-88.0
2006-09-01,-1629.0,-300.1
2006-10-01,-2285.0,-839.8
2006-11-01,-3045.0,-570.7
