date,EL,EU_median
2002-Q1,-3097.0,-169.0
2002-Q2,-3008.0,-254.15
2002-Q3,-143.0,78.9
2002-Q4,-4919.0,-284.7
2003-Q1,-4168.0,-216.8
2003-Q2,-3860.0,-362.4
2003-Q3,-1353.0,86.9
2003-Q4,-5737.0,-293.65
2004-Q1,-4348.0,-223.95
2004-Q2,-4761.0,-399.35
2004-Q3,-354.0,8.850000000000001
2004-Q4,-5473.0,-484.05
2005-Q1,-5632.0,-211.4
2005-Q2,-4018.0,-601.8
2005-Q3,-1474.0,-245.3
2005-Q4,-6548.0,-782.1
2006-Q1,-7780.0,-515.6
2006-Q2,-7034.0,-737.0
2006-Q3,-2420.0,-432.1
2006-Q4,-7791.0,-1073.5
2007-Q1,-11120.0,-751.7
2007-Q2,-8239.0,-1185.0
2007-Q3,-4127.0,-577.0
2007-Q4,-11855.0,-1459.3
2008-Q1,-10019.0,-757.0
2008-Q2,-9832.0,-1392.3
2008-Q3,-5963.0,-667.8
2008-Q4,-10756.0,-1308.1
2009-Q1,-7622.0,-407.6
2009-Q2,-7553.0,-443.4
2009-Q3,-4493.0,69.1
2009-Q4,-9655.0,-353.7
2010-Q1,-9475.0,-237.0
2010-Q2,-3858.0,-321.1
2010-Q3,-2329.0,210.3
2010-Q4,-6986.0,-581.1
2011-Q1,-5956.0,-401.8
2011-Q2,-5272.0,-276.4
2011-Q3,-1404.0,142.1
2011-Q4,-5199.0,-281.9
2012-Q1,-4940.0,-415.7
2012-Q2,-1724.0,-172.3
2012-Q3,3083.0,385.0
2012-Q4,-3085.0,-86.0
2013-Q1,-3620.0,-172.0
2013-Q2,-1243.0,181.5
2013-Q3,4557.0,961.3
2013-Q4,-2282.0,320.6
2014-Q1,-1589.0,-119.1
2014-Q2,-654.0,113.3
2014-Q3,4194.0,872.7
2014-Q4,-3270.0,217.2
2015-Q1,-3706.0,-17.0
2015-Q2,-1309.0,11.1
2015-Q3,5591.0,519.0
2015-Q4,-2014.0,200.0
2016-Q1,-2749.0,89.9
2016-Q2,-821.0,270.0
2016-Q3,3565.0,532.7
2016-Q4,-3044.0,217.0
2017-Q1,-3121.0,277.9
2017-Q2,-852.0,70.0
2017-Q3,4015.0,975.8
2017-Q4,-3449.0,581.0
2018-Q1,-3091.0,434.8
2018-Q2,-1475.0,115.3
2018-Q3,3210.0,856.6
2018-Q4,-3875.0,148.0
2019-Q1,-3777.0,162.0
2019-Q2,-363.0,51.2
2019-Q3,4050.0,1656.0
2019-Q4,-2635.0,407.0
2020-Q1,-3518.0,156.0
2020-Q2,-3453.0,459.3
2020-Q3,-1379.0,818.9
2020-Q4,-2614.0,894.6
2021-Q1,-2791.0,231.9
2021-Q2,-4832.0,-45.6
2021-Q3,1520.0,1071.0
2021-Q4,-6168.0,-72.1
2022-Q1,-7204.0,-495.5
2022-Q2,-5141.0,-1103.0
2022-Q3,447.0,-230.0
2022-Q4,-9328.0,-214.0
2023-Q1,-3791.0,59.4
2023-Q2,-4060.0,90.0
2023-Q3,1230.0,980.0
2023-Q4,-7310.0,345.2
2024-Q1,-3763.0,677.5
2024-Q2,-4548.0,307.6
2024-Q3,322.0,1052.3
2024-Q4,-7275.0,557.8
