year,week,region,region_name,deaths
2015,1,EL301,Βόρειος Τομέας Αθηνών,118.0
2015,1,EL302,Δυτικός Τομέας Αθηνών,99.0
2015,1,EL303,Κεντρικός Τομέας Αθηνών,267.0
2015,1,EL304,Νότιος Τομέας Αθηνών,121.0
2015,1,EL305,Ανατολική Αττική,82.0
2015,1,EL306,Δυτική Αττική,45.0
2015,1,EL307,"Πειραιάς, Νήσοι",139.0
2015,1,EL411,"Λέσβος, Λήμνος",31.0
2015,1,EL412,"Ικαρία, Σάμος",15.0
2015,1,EL413,Χίος,19.0
2015,1,EL421,"Κάλυμνος, Κάρπαθος – Ηρωική Νήσος Κάσος, Κως, Ρόδος",43.0
2015,1,EL422,"Άνδρος, Θήρα, Κέα, Μήλος, Μύκονος, Νάξος, Πάρος, Σύρος, Τήνος",25.0
2015,1,EL431,Ηράκλειο,71.0
2015,1,EL432,Λασίθι,14.0
2015,1,EL433,Ρέθυμνο,12.0
2015,1,EL434,Χανιά,33.0
2015,1,EL511,Έβρος,39.0
2015,1,EL512,Ξάνθη,20.0
2015,1,EL513,Ροδόπη,19.0
2015,1,EL514,Δράμα,34.0
2015,1,EL515,"Θάσος, Καβάλα",42.0
2015,1,EL521,Ημαθία,29.0
2015,1,EL522,Θεσσαλονίκη,233.0
2015,1,EL523,Κιλκίς,34.0
2015,1,EL524,Πέλλα,35.0
2015,1,EL525,Πιερία,28.0
2015,1,EL526,Σέρρες,63.0
2015,1,EL527,Χαλκιδική,24.0
2015,1,EL531,"Γρεβενά, Κοζάνη",47.0
2015,1,EL532,Καστοριά,8.0
2015,1,EL533,Φλώρινα,17.0
2015,1,EL541,"Άρτα, Πρέβεζα",34.0
2015,1,EL542,Θεσπρωτία,4.0
2015,1,EL543,Ιωάννινα,51.0
2015,1,EL611,"Καρδίτσα, Τρίκαλα",64.0
2015,1,EL612,Λάρισα,67.0
2015,1,EL613,"Μαγνησία, Σποράδες",59.0
2015,1,EL621,Ζάκυνθος,11.0
2015,1,EL622,Κέρκυρα,39.0
2015,1,EL623,"Ιθάκη, Κεφαλληνία",9.0
2015,1,EL624,Λευκάδα,5.0
2015,1,EL631,Αιτωλοακαρνανία,67.0
2015,1,EL632,Αχαΐα,70.0
2015,1,EL633,Ηλεία,39.0
2015,1,EL641,Βοιωτία,28.0
2015,1,EL642,Εύβοια,61.0
2015,1,EL643,Ευρυτανία,1.0
2015,1,EL644,Φθιώτιδα,49.0
2015,1,EL645,Φωκίδα,6.0
2015,1,EL651,"Αργολίδα, Αρκαδία",45.0
2015,1,EL652,Κορινθία,40.0
2015,1,EL653,"Λακωνία, Μεσσηνία",90.0
2015,2,EL301,Βόρειος Τομέας Αθηνών,155.0
2015,2,EL302,Δυτικός Τομέας Αθηνών,144.0
2015,2,EL303,Κεντρικός Τομέας Αθηνών,303.0
2015,2,EL304,Νότιος Τομέας Αθηνών,142.0
2015,2,EL305,Ανατολική Αττική,114.0
2015,2,EL306,Δυτική Αττική,40.0
2015,2,EL307,"Πειραιάς, Νήσοι",169.0
2015,2,EL411,"Λέσβος, Λήμνος",24.0
2015,2,EL412,"Ικαρία, Σάμος",10.0
2015,2,EL413,Χίος,11.0
2015,2,EL421,"Κάλυμνος, Κάρπαθος – Ηρωική Νήσος Κάσος, Κως, Ρόδος",51.0
2015,2,EL422,"Άνδρος, Θήρα, Κέα, Μήλος, Μύκονος, Νάξος, Πάρος, Σύρος, Τήνος",35.0
2015,2,EL431,Ηράκλειο,79.0
2015,2,EL432,Λασίθι,25.0
2015,2,EL433,Ρέθυμνο,21.0
2015,2,EL434,Χανιά,47.0
2015,2,EL511,Έβρος,56.0
2015,2,EL512,Ξάνθη,24.0
2015,2,EL513,Ροδόπη,41.0
2015,2,EL514,Δράμα,25.0
2015,2,EL515,"Θάσος, Καβάλα",29.0
2015,2,EL521,Ημαθία,39.0
2015,2,EL522,Θεσσαλονίκη,261.0
2015,2,EL523,Κιλκίς,26.0
2015,2,EL524,Πέλλα,26.0
2015,2,EL525,Πιερία,31.0
