date,EL,EU_median
2000Q1,102.6,55.4
2000Q2,105.5,53.150000000000006
2000Q3,105.7,51.2
2000Q4,104.9,52.1
2001Q1,107.1,50.9
2001Q2,106.0,51.5
2001Q3,103.8,51.6
2001Q4,107.1,51.1
2002Q1,104.6,50.0
2002Q2,103.3,50.1
2002Q3,102.7,49.4
2002Q4,104.9,49.1
2003Q1,102.1,49.9
2003Q2,102.2,49.2
2003Q3,99.9,48.5
2003Q4,101.5,46.6
2004Q1,102.7,48.6
2004Q2,106.0,48.1
2004Q3,104.5,47.2
2004Q4,102.9,45.1
2005Q1,103.3,45.1
2005Q2,106.6,44.1
2005Q3,107.8,42.9
2005Q4,107.4,42.4
2006Q1,105.5,41.6
2006Q2,105.3,40.4
2006Q3,104.3,40.1
2006Q4,103.6,39.1
2007Q1,105.0,39.0
2007Q2,103.7,38.4
2007Q3,102.3,37.5
2007Q4,103.1,37.2
2008Q1,103.7,36.5
2008Q2,104.9,35.5
2008Q3,106.2,36.8
2008Q4,109.4,39.7
2009Q1,117.6,43.1
2009Q2,122.0,47.0
2009Q3,124.9,49.5
2009Q4,126.7,49.8
2010Q1,130.7,50.8
2010Q2,134.6,53.0
2010Q3,143.0,54.9
2010Q4,147.5,56.4
2011Q1,156.6,58.5
2011Q2,159.9,60.4
2011Q3,166.2,61.1
2011Q4,175.2,61.7
2012Q1,141.2,62.5
2012Q2,154.8,63.9
2012Q3,157.5,64.9
2012Q4,162.0,66.2
2013Q1,165.0,66.6
2013Q2,172.9,68.3
2013Q3,174.8,67.8
2013Q4,178.2,67.7
2014Q1,179.2,68.0
2014Q2,181.8,69.6
2014Q3,180.0,68.1
2014Q4,180.3,67.9
2015Q1,171.2,68.9
2015Q2,170.3,66.7
2015Q3,172.6,65.8
2015Q4,176.7,64.6
2016Q1,176.1,64.3
2016Q2,179.9,63.2
2016Q3,177.3,61.7
2016Q4,180.5,63.2
2017Q1,177.5,63.1
2017Q2,176.1,62.4
2017Q3,177.0,60.7
2017Q4,179.5,61.2
2018Q1,181.7,60.1
2018Q2,181.5,59.9
2018Q3,187.3,59.5
2018Q4,186.4,59.8
2019Q1,187.5,59.7
2019Q2,185.3,60.5
2019Q3,182.8,60.3
2019Q4,180.7,57.2
2020Q1,180.7,58.8
2020Q2,191.6,62.1
2020Q3,200.0,61.2
2020Q4,206.3,59.7
2021Q1,209.8,60.4
2021Q2,207.3,61.0
2021Q3,200.7,61.1
