date,EL_D1,EL_P2,EL_P5,EU27_2020_D1,EU27_2020_P2,EU27_2020_P5
1995,1135900000.0,33700000.0,265400000.0,,,
1996,1287000000.0,705900000.0,324500000.0,,,
1997,1478200000.0,684000000.0,224700000.0,,,
1998,1456800000.0,795400000.0,1159100000.0,,,
1999,1689300000.0,1425700000.0,1571100000.0,,,
2000,1807900000.0,1359400000.0,256100000.00000003,,,
2001,2252000000.0,1153000000.0,526000000.0,,,
2002,2456000000.0,1121000000.0,1145000000.0,,,
2003,2886000000.0,1189000000.0,2447000000.0,,,
2004,3198000000.0,1076000000.0,1431000000.0,,,
2005,3225000000.0,1314000000.0,809000000.0,,,
2006,3285000000.0,1349000000.0,983000000.0,,,
2007,3509000000.0,1429000000.0,1498000000.0,,,
2008,3662000000.0,1674000000.0,1905000000.0,,,
2009,3838000000.0,1498000000.0,2547000000.0,,,
2010,3469000000.0,1146000000.0,1454000000.0,76292100000.0,33097600000.0,36073500000.0
2011,3454000000.0,1114000000.0,387000000.0,75847900000.0,33391400000.0,31196200000.0
2012,3307000000.0,1033000000.0,270000000.0,75280000000.0,37340900000.0,25745900000.0
2013,2898000000.0,771000000.0,210000000.0,74931800000.0,37419700000.0,24863000000.0
2014,3186000000.0,607000000.0,964000000.0,73672100000.0,37163000000.0,21084800000.0
2015,2936000000.0,731000000.0,776000000.0,73097900000.0,39251200000.0,25548400000.0
2016,2946000000.0,644000000.0,116000000.0,75019900000.0,40888400000.0,30794600000.0
2017,2955000000.0,662000000.0,869000000.0,77125400000.0,44105400000.0,30227800000.0
2018,2993000000.0,640000000.0,118000000.0,80407200000.0,45720400000.0,30468700000.0
2019,2935000000.0,848000000.0,-153000000.0,82844300000.0,48283800000.0,31473500000.0
2020,2993000000.0,1014000000.0,237000000.0,84418500000.0,49668000000.0,36399000000.0
2021,2973000000.0,974000000.0,1089000000.0,87481400000.0,52864000000.0,39492900000.0
2022,3013000000.0,1218000000.0,1044000000.0,90284900000.0,61465700000.0,42361500000.0
2023,3119000000.0,1125000000.0,566000000.0,95236200000.0,68976800000.0,47597800000.0
2024,3238000000.0,1109000000.0,673000000.0,103905900000.0,75355300000.0,62257100000.0
