date,million_AT,million_BE,million_BG,million_CY,million_CZ,million_DE,million_DK,million_EE,million_EL,million_ES,million_EU27_2020,million_FI,million_FR,million_HR,million_HU,million_IE,million_IT,million_LT,million_LU,million_LV,million_MT,million_NL,million_PL,million_PT,million_RO,million_SE,million_SI,million_SK,pct_gdp_AT,pct_gdp_BE,pct_gdp_BG,pct_gdp_CY,pct_gdp_CZ,pct_gdp_DE,pct_gdp_DK,pct_gdp_EE,pct_gdp_EL,pct_gdp_ES,pct_gdp_EU27_2020,pct_gdp_FI,pct_gdp_FR,pct_gdp_HR,pct_gdp_HU,pct_gdp_IE,pct_gdp_IT,pct_gdp_LT,pct_gdp_LU,pct_gdp_LV,pct_gdp_MT,pct_gdp_NL,pct_gdp_PL,pct_gdp_PT,pct_gdp_RO,pct_gdp_SE,pct_gdp_SI,pct_gdp_SK,pct_total_exp_AT,pct_total_exp_BE,pct_total_exp_BG,pct_total_exp_CY,pct_total_exp_CZ,pct_total_exp_DE,pct_total_exp_DK,pct_total_exp_EE,pct_total_exp_EL,pct_total_exp_ES,pct_total_exp_EU27_2020,pct_total_exp_FI,pct_total_exp_FR,pct_total_exp_HR,pct_total_exp_HU,pct_total_exp_IE,pct_total_exp_IT,pct_total_exp_LT,pct_total_exp_LU,pct_total_exp_LV,pct_total_exp_MT,pct_total_exp_NL,pct_total_exp_PL,pct_total_exp_PT,pct_total_exp_RO,pct_total_exp_SE,pct_total_exp_SI,pct_total_exp_SK
1990,,,,,,,,,,,,1693.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,1863.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,1800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,1487.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,1722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,
1995,1719.2,3248.2,191.9,164.4,772.5,24676.6,2411.1,36.9,1435.0,6401.3,102563.3,1894.6,30602.0,463.0,351.3,444.4,11251.4,61.4,96.8,41.4,25.6,6394.1,2584.5,1513.5,686.7,4676.1,181.1,238.4,0.9,1.5,1.3,2.2,1.7,1.2,1.7,1.2,1.4,1.4,1.6,1.8,2.5,2.6,1.0,0.8,1.2,1.2,0.6,1.0,0.9,1.8,2.4,1.7,2.4,2.3,1.1,1.5,1.7,2.8,4.2,6.7,3.2,2.3,2.9,3.1,3.0,3.1,3.0,3.0,4.6,4.6,1.8,2.1,2.4,3.5,1.5,2.8,2.3,3.4,5.0,3.9,7.0,3.6,2.1,3.2
1996,1687.3,3052.5,112.3,253.6,880.8,23893.5,2414.0,41.8,2317.4,6476.5,107166.5,1975.1,32465.5,448.9,389.7,467.7,12481.8,80.1,98.5,44.6,27.8,6368.9,2984.8,1648.1,686.6,5407.9,184.9,275.7,0.9,1.4,1.1,3.2,1.6,1.2,1.6,1.1,2.1,1.3,1.6,1.9,2.6,2.3,1.1,0.8,1.2,1.2,0.6,1.0,0.9,1.8,2.4,1.7,2.4,2.4,1.1,1.6,1.6,2.6,3.1,9.3,4.0,2.4,2.8,2.8,4.5,3.0,3.2,3.2,4.7,4.1,2.1,2.0,2.3,3.3,1.4,2.7,2.2,3.7,4.6,4.0,7.1,3.9,2.4,3.0
1997,1679.7,3036.1,193.4,251.0,956.4,22757.6,2482.3,54.7,2386.9,6488.5,105624.0,2021.1,31132.3,479.9,587.3,491.3,12917.5,129.7,102.1,44.7,29.9,6080.4,3193.4,1584.3,792.8,5271.3,189.8,289.5,0.9,1.4,1.9,3.0,1.7,1.2,1.6,1.2,1.9,1.2,1.5,1.8,2.4,2.3,1.4,0.7,1.2,1.4,0.6,0.8,0.9,1.7,2.3,1.5,2.5,2.2,1.0,1.5,1.7,2.6,6.1,8.3,4.2,2.4,2.9,3.3,4.3,3.0,3.1,3.2,4.5,4.2,2.8,1.9,2.4,2.9,1.4,2.2,2.2,3.6,4.8,3.6,7.3,3.8,2.3,3.1
1998,1728.1,3017.8,391.0,168.2,905.2,22466.3,2552.0,62.1,3411.3,6550.6,103463.5,1971.8,28923.5,509.9,511.0,496.6,12264.3,152.9,102.4,47.6,28.4,6157.4,3417.1,1591.9,294.9,5249.5,194.5,297.2,0.9,1.3,2.9,1.8,1.5,1.1,1.6,1.2,2.7,1.2,1.5,1.6,2.2,2.2,1.2,0.6,1.1,1.5,0.6,0.8,0.8,1.6,2.2,1.4,0.8,2.2,1.0,1.5,1.7,2.6,8.6,5.1,3.6,2.3,2.9,3.1,5.9,2.9,3.0,3.1,4.1,4.1,2.3,1.8,2.2,3.7,1.4,2.0,1.9,3.5,4.9,3.4,2.2,3.8,2.1,3.2
1999,1742.1,3096.7,376.8,193.1,1063.3,22902.0,2631.7,61.4,4686.1,6635.0,106307.3,1918.0,28822.0,508.3,589.7,513.9,12623.0,116.8,51.2,63.8,28.7,6809.0,2243.9,1735.8,622.5,5780.9,230.9,260.8,0.9,1.3,2.9,2.0,1.7,1.1,1.6,1.1,3.5,1.1,1.4,1.5,2.1,2.3,1.3,0.6,1.1,1.1,0.2,0.9,0.7,1.6,1.4,1.5,1.8,2.2,1.1,1.3,1.6,2.5,7.1,5.5,4.2,2.3,2.9,2.8,7.3,2.8,3.0,3.0,3.9,4.1,2.6,1.7,2.3,2.8,0.6,2.2,1.8,3.7,3.2,3.4,4.7,4.0,2.3,2.8
