country,military_expenditure_pct_of_expenditure
E.E.,
Αλβανία,6.61228291050825
Αυστρία,1.85221171835408
Βέλγιο,2.36178085461924
Βουλγαρία,5.48931295722579
Βόρεια Μακεδονία,5.54774622809484
Γαλλία,3.58617212063631
Γερμανία,3.92762166038211
Δανία,5.0581387640375
Ελλάδα,6.58006814310051
Εσθονία,7.50520804008783
Ιρλανδία,0.998392831052452
Ισπανία,3.19551986878653
Ιταλια,3.17969251118882
Κροατία,3.75589196199217
Κύπρος,4.2126913994058
Λετονία,7.49161598362985
Λιθουανία,7.92314968848876
Λουξεμβούργο,1.9929782390105
Μάλτα,1.27850632911392
Ολλανδία,4.33989128145304
Ουγγαρία,4.43338668073029
Πολωνία,8.47444236251815
Πορτογαλία,3.5678947674757
Σλοβακία,4.29830287206266
Σλοβενία,2.74331317413804
Σουηδία,4.11521755784782
Τσεχία,4.32263435727683
Φινλανδία,4.0510964926033
