year,E.E.,Αλβανία,Αυστρία,Βέλγιο,Βουλγαρία,Βόρεια Μακεδονία,Γαλλία,Γερμανία,Δανία,Ελλάδα,Εσθονία,Ιρλανδία,Ισπανία,Ιταλια,Κροατία,Κύπρος,Λετονία,Λιθουανία,Λουξεμβούργο,Μάλτα,Ολλανδία,Ουγγαρία,Πολωνία,Πορτογαλία,Σλοβακία,Σλοβενία,Σουηδία,Τουρκία,Τσεχία,Φινλανδία
1980,83638689660.2669,0.0,1152895906.47504,3958575326.74283,,,22198183002.4185,25009350127.5413,1617653843.01465,2275580288.96511,,362511166.638615,5508356432.6108,7915696625.50473,,,,,47360892.6137643,,5269306825.3363,740802218.103239,1506218238.81022,655377981.586798,,,3791756608.82785,2671976285.57263,,873508619.521642
1981,75485167237.9735,0.0,969372327.098363,3385176171.48879,,,20047753849.35,21638004993.8195,1446085209.66902,2578400683.8574,,327043451.145032,4977748533.42705,7387713297.7908,,,,,41726636.1092725,,4527100426.5767,757701599.624646,1567860808.36714,637048883.404744,,,3490216137.64555,2814869761.46162,,790880895.266151
1982,74306260873.4879,0.0,995369996.934841,2891774968.21585,,,18918492343.8024,20940094018.3628,1400430126.10952,2638652976.07206,,342048872.747759,4956242441.31541,8062597403.3411,,,,,37433657.0500499,,4829535607.29229,750740503.132635,2122035928.42609,606436537.693007,,,2980130869.17698,2754732302.69512,,844911290.481735
1983,71781120679.8921,0.0,991995097.475966,2671831608.17975,,,18188520274.9614,20731705900.1517,1374960497.49644,2195463585.6401,,310258091.668053,4770965313.3124,8409527115.57584,,,,,37178028.8418864,,4256634366.67567,700708442.013447,2195521572.91098,523320264.536747,,,2629021886.99523,2469375535.02442,,905188931.503457
1984,67544513441.0327,0.0,949715291.722829,2407447484.34478,,,16977866454.841,18855835234.1935,1259583260.91574,1994286405.27223,,284275226.22503,4851949869.22903,8296144788.10221,,,,,34928757.8493494,,3977294579.81924,641103030.25257,2313670081.24338,474622276.255586,,,2668524384.05184,2190052307.47413,,826070181.339718
1985,69783550203.0044,0.0,1036872489.29208,2428223976.52078,,,17455151457.8314,18665574264.4916,1259295609.82975,1927083076.34616,,301495819.03588,5077574144.5611,8253390532.61038,,30737332.9129284,,,34433118.0761158,12948712.0830855,3884181821.80083,1025550984.24961,2140789169.64565,493594816.168755,,,2795295632.68836,2365977436.04677,,911349660.881995
1986,93213291592.2837,0.0,1475426088.99424,3404311037.66514,,,23901440137.0803,25944594045.7651,1647882397.58052,1998816951.19072,,409081178.238577,6270618789.41391,11941809156.3098,,48729244.323958,,,48297506.2446815,16531995.1017929,5351016847.00972,765838789.843799,2173578188.91304,706690056.391344,,,3577484916.29209,2769409587.96878,,1223271000.85383
1987,113905588722.32,0.0,1737112605.38592,4162992929.13576,,,29280470206.4717,31982616436.1345,2141274092.44012,2399225050.00692,,435378990.388892,7921508650.89204,15653065895.3873,,199500731.141773,,,66087827.3632354,23148953.5132234,6542917224.65604,823921397.472882,1765484772.69384,853845582.968332,,,4182359583.87746,2889593497.07308,,1462231546.5973
1988,120631867198.528,0.0,1713954576.8605,4097149308.30983,,,30327270741.0937,32883592699.4186,2320423440.13917,2749556829.15464,,453486446.993673,8900414226.53907,17403664789.8428,,243815864.399297,,,77710663.5179005,22383605.5108486,6728811707.4389,1027508668.36463,1783781523.92543,1017899063.98386,,,4651754894.2004,2663901290.11847,,1704330620.23989
1989,120242458334.587,0.0,1623488055.24644,3880733005.73301,2071428571.42857,,29665454335.4031,31485040895.2417,2183667160.04257,2560254613.5061,,434222056.024692,9302930295.84069,17675486539.4629,,244995663.322357,,,68628080.5510496,21308781.4648833,6399237698.5896,812646128.164453,1493906252.17138,1099988585.9135,,,4880345221.25431,3373741563.28947,,1766586165.75982
