year,E.E.,Αλβανία,Αυστρία,Βέλγιο,Βουλγαρία,Βόρεια Μακεδονία,Γαλλία,Γερμανία,Δανία,Ελλάδα,Εσθονία,Ιρλανδία,Ισπανία,Ιταλια,Κροατία,Κύπρος,Λετονία,Λιθουανία,Λουξεμβούργο,Μάλτα,Ολλανδία,Ουγγαρία,Πολωνία,Πορτογαλία,Σλοβακία,Σλοβενία,Σουηδία,Τουρκία,Τσεχία,Φινλανδία
1980,,940000000.0,1084000000.0,2869500000.0,,,14299736517.4129,23242639615.8316,9117000000.0,284600000.0,,224000000.0,2373754596.0,3501255100.0,,,,,34331058.5596507,,4753800000.0,24100000000.0,6660000.0,163653780.404058,,,16037500000.0,203172.0,,548000000.0
1981,,940000000.0,1122000000.0,3115750000.0,,,16609584111.9403,25003147530.4584,10301000000.0,419266000.0,,258000000.0,2761978440.0,4337252600.0,,,,,38405613.1413355,,5125900000.0,26000000000.0,8020000.0,195568910.814189,,,17672500000.0,313067.0,,574000000.0
1982,,935000000.0,1234000000.0,3275340000.0,,,18954626664.1791,25980374648.5828,11669000000.0,517300000.0,,306000000.0,3272443328.0,5631829100.0,,,,,42398857.3211686,,5851900000.0,27500000000.0,18000000.0,240398114.343423,,,18723000000.0,447790.0,,685000000.0
1983,,910000000.0,1295000000.0,3386600000.0,,,21132514166.6667,27064412784.4121,12574000000.0,567400000.0,,317000000.0,4112720000.0,6596601260.0,,,,,47123895.1176678,,5512980000.0,29900000000.0,20100000.0,289169508.614277,,,20157000000.0,556738.0,,848000000.0
1984,,1010000000.0,1381000000.0,3448500000.0,,,22619102141.791,27437314407.6273,13045000000.0,659690000.0,,333000000.0,4687920000.0,7527880300.0,,,,,50033000.6061435,,5791100000.0,30800000000.0,26200000.0,346565389.143618,,,22073500000.0,803044.0,,835000000.0
1985,,953000000.0,1559000000.0,3574200000.0,,,23909891915.4229,28095982350.1407,13344000000.0,781120000.0,,362000000.0,5189230000.0,8139023300.0,,32170000.0,,,50683483.820958,14151000.0,5854200000.0,51400000000.0,31500000.0,419518574.132229,,,24050500000.0,1235000.0,,950000000.0
1986,,978000000.0,1637000000.0,3769900000.0,,,25237052611.9403,28805244985.2511,13333000000.0,821120000.0,,386000000.0,5278030000.0,9194464600.0,,43140000.0,,,53484175.4402979,15134000.0,5949100000.0,35100000000.0,38100000.0,527286891.915612,,,25484500000.0,1868000.0,,1043000000.0
1987,,1011000000.0,1596000000.0,3852800000.0,,,26830485422.8856,29391768643.8762,14647000000.0,953560000.0,,372000000.0,5878710000.0,10477598800.0,,163990000.0,,,61163491.1707461,18630000.0,6014400000.0,38700000000.0,46800000.0,600013514.217923,,,26518000000.0,2477000.0,,1081000000.0
1988,,955000000.0,1538000000.0,3734400000.0,,,27541104378.1095,29527624762.8867,15620000000.0,1144690000.0,,378000000.0,6231180000.0,11699352600.0,,194390000.0,,,70830394.5020161,17251000.0,6035300000.0,51800000000.0,76800000.0,730891226.003909,,,28502000000.0,3789000.0,,1199000000.0
1989,,965000000.0,1561000000.0,3790700000.0,1740000.0,,28853985497.5124,30264995560.5511,15963000000.0,1220330000.0,,389000000.0,6618700000.0,12525327000.0,,207050000.0,,,67035909.0822653,17298000.0,6158300000.0,48000000000.0,215000000.0,863928835.399289,,,31463000000.0,7158000.0,,1275000000.0
1990,,990000000.0,1630000000.0,3847400000.0,1740000.0,,29697320522.3881,32755378762.8279,16399000000.0,1485530000.0,,456000000.0,7164790000.0,12829922800.0,,322000000.0,,,72366257.6481057,15658000.0,6131900000.0,53560000000.0,1463700000.0,1006920098.81278,,,34998500000.0,13866000.0,,1377000000.0
1991,,950000000.0,1692000000.0,3914700000.0,4130000.0,,30852286318.408,31415556347.758,17091000000.0,1683270000.0,,493000000.0,7294570000.0,13830458800.0,,332000000.0,,,82394540.5431616,16373000.0,6147800000.0,54000000000.0,1821200000.0,1151316050.88134,,,35552000000.0,23657000.0,,1497000000.0
1992,,2368000000.0,1709000000.0,3292500000.0,5970000.0,,30588534129.3532,31394943695.2184,17129000000.0,2026830000.0,4346000.0,503000000.0,7537680000.0,14115363200.0,27327626.2525715,484000000.0,,,88718682.909413,19830000.0,6307500000.0,64140000000.0,2564400000.0,1287933350.72026,,95460000.0,35769000000.0,42320000.0,,1564000000.0
1993,,4010000000.0,1788000000.0,3212700000.0,7800000.0,,30886725298.5075,29475156192.7861,17390000000.0,2263510000.0,11110000.0,514000000.0,7680260000.0,14825850200.0,555285685.845112,228000000.0,17000000.0,26130995.1343837,83749713.9073583,21940000.0,5945900000.0,67650000000.0,3846500000.0,1327883904.4045,272600000.0,108830000.0,36992000000.0,77717000.0,23776600000.0,1552000000.0
1994,,4698000000.0,1849000000.0,3271100000.0,13100000.0,,31561225323.3831,28243081734.1729,17293000000.0,2554000000.0,20870000.0,538000000.0,8125650000.0,15041657300.0,1293795208.70662,251000000.0,27000000.0,24264495.4819277,94410411.0390393,24535000.0,5894600000.0,79620000000.0,5117000000.0,1359149555.1139,319100000.0,127900000.0,37182000000.0,156724000.0,27007700000.0,1543000000.0
1995,,4719000000.0,1874000000.0,3251300000.0,20900000.0,,30532255796.0199,28257135815.4498,17468000000.0,2841760000.0,26630000.0,556000000.0,8573020000.0,14458011300.0,1430406795.40779,231000000.0,32700000.0,35279903.2669138,93922548.6279285,25614000.0,5837400000.0,76940000000.0,6594400000.0,1519858020.59606,621000000.0,165510000.0,33194166666.6667,302864000.0,28275200000.0,1402000000.0
1996,,4777000000.0,1891000000.0,3255700000.0,38000000.0,5223000000.0,30397019800.995,28106288676.4105,17896000000.0,3258820000.0,31880000.0,596000000.0,8597810000.0,16569337400.0,1398261331.20977,357000000.0,29900000.0,48957367.9332716,98114551.5678437,27957000.0,5989400000.0,89340000000.0,8313200000.0,1511173117.62123,652800000.0,186390000.0,28847333333.3333,611521000.0,30508800000.0,1562000000.0
1997,,4442000000.0,1920000000.0,3267100000.0,411000000.0,4163000000.0,30874125671.6418,27593783179.1774,18521000000.0,3664960000.0,47050000.0,641000000.0,8681630000.0,17728823800.0,1469467117.92422,469000000.0,31400000.0,87593836.8860056,107420075.335328,27999000.0,6055700000.0,130000000000.0,10468400000.0,1577480463.8117,557400000.0,193770000.0,38825000000.0,1183330000.0,31328300000.0,1700000000.0
1998,,5067000000.0,1943000000.0,3297200000.0,564000000.0,4302000000.0,30249184179.1045,27941387456.0942,19071000000.0,4184030000.0,53900000.0,662000000.0,9278210000.0,18673390100.0,1205401818.30248,428000000.0,35400000.0,160072984.244671,116364219.539026,26315000.0,6153700000.0,132600000000.0,12132700000.0,1584579427.98244,465000000.0,208770000.0,40034000000.0,2289430000.0,37643100000.0,1761400000.0
1999,,5891000000.0,1994000000.0,3377600000.0,656000000.0,3769000000.0,30667491791.0448,28673136621.2478,19428000000.0,4495930000.0,69230000.0,696000000.0,10431640000.0,19726613900.0,977822018.713916,269000000.0,47100000.0,123320203.892493,119255256.049313,26005000.0,6595200000.0,166700000000.0,12800100000.0,1705865986.04839,449200000.0,208470000.0,41980000000.0,4167640000.0,41688100000.0,1552400000.0
2000,,6519000000.0,2090000000.0,3463300000.0,746000000.0,4602000000.0,30828767014.9254,28627226622.4097,19339000000.0,4894720000.0,84930000.0,754000000.0,11151160000.0,21576363700.0,724852345.875639,299000000.0,60400000.0,162650602.409639,125579398.415564,25877000.0,6481800000.0,202000000000.0,13673200000.0,1806837423.24277,523100000.0,206630000.0,43652000000.0,6248270000.0,44669700000.0,1691200000.0
