year, E.E.,Αυστρία,Βέλγιο,Βουλγαρία,Γαλλία,Γερμανία,Δανία,Ελλάδα,Εσθονία,Ιρλανδία,Ισπανία,Ιταλια,Κροατία,Κύπρος,Λετονία,Λιθουανία,Λουξεμβούργο,Μάλτα,Ολλανδία,Ουγγαρία,Πολωνία,Πορτογαλία,Σλοβακία,Σλοβενία,Σουηδία,Τσεχία,Φινλανδία
1980,2.72302812519368,1.42024610611492,3.25019538550409,,3.15520508491915,2.96134975965833,2.36309252270559,4.6608059951787,,1.66526701222097,2.48989578488601,1.76364323708972,,,,,1.04184420341133,,2.78429856620748,3.34257975034674,2.65232974910394,2.02672491054328,,,2.92345159602684,,1.67093547993658
1981,2.80165848057108,1.38005173349012,3.36604943606586,,3.24613261046416,3.0418796886871,2.43866639204741,5.7357013089349,,1.58060661844101,2.58210874483481,1.82111250603573,,,,,1.09342002947633,,2.86311944233433,3.33376073855623,2.91318561569197,2.00267383908056,,,2.94823714687051,,1.54558673057246
1982,2.83261931274722,1.41299673018358,3.26994459142415,,3.2238391338373,3.03429562949999,2.41989502520681,5.62659345822855,,1.59123694788544,2.66030674579303,2.0053729031431,,,,,1.07715200754963,,3.1414705898142,3.24330699374926,3.24558240173098,2.03513354054572,,,2.85375478407458,,1.6437501499772
1983,2.80726004347932,1.39117588416479,3.19141317049267,,3.23713177475225,3.0269739405214,2.36474287605693,5.17247666277713,,1.4926312327501,2.93627289991861,2.01650141992046,,,,,1.08824129427353,,2.84858474479936,3.33593662836104,2.90294627383016,1.90927673971989,,,2.73782261810655,,1.8232638142335
1984,2.7370584320043,1.41415833617155,3.00790244923592,,3.18736925092314,2.92622466159061,2.23547072552978,4.83544433693963,,1.41243942527662,2.96600550441302,2.00860777360645,,,,,1.04216962842296,,2.86172441738649,3.14767501277466,3.05503731343284,1.86132340712926,,,2.67196132262297,,1.60404180113724
1985,2.6980068011912,1.51262356650052,2.9312338541026,,3.14393280229726,2.86737948445472,2.10467210710106,4.69256693840525,,1.41604420408081,2.95472170818505,1.93636892016635,,1.2702916956171,,,0.867554425044341,1.27625103445688,2.76821812094818,4.97242913804779,3.01579703207276,1.84354337576399,,,2.6730084000738,,1.67657907276353
1986,2.61033345558035,1.5087585414904,2.95377262399122,,3.08576501575346,2.79032856698511,1.94481923668799,4.12801512211307,,1.4232052652489,2.6250366796807,1.97714264210667,,1.57715789858516,,,0.833086844864453,1.26918382590508,2.72511978598847,3.22373254959589,2.94140353586042,1.91582545286477,,,2.58656825639449,,1.72390995338997
1987,2.6261882978858,1.41667790274506,2.90179479261597,,3.12045160513517,2.77229902629809,2.0316474834314,4.25552044841929,,1.28230024699033,2.6147006889558,2.06035364400414,,5.39147769754872,,,0.915915918607726,1.45625776866228,2.71346717798331,3.15557729941292,2.76269185360094,1.85930207777881,,,2.48279607141854,,1.64553300960529
1988,2.53182365801054,1.29918114420184,2.62874841616219,,2.96318060884889,2.64090993011822,2.0874706324154,4.19823223061689,,1.1994341526595,2.48937521722977,2.07285745924484,,5.70025602914459,,,0.951494528594597,1.22106673142782,2.6109094684565,3.59622327131352,2.59205508117047,1.88542646646333,,,2.44551601057075,,1.60769117311844
1989,2.4457768112461,1.23415492526247,2.46085432355232,4.39627074963996,2.8799353124635,2.53243053363675,2.02422013695156,3.7658694645888,,1.10547611947077,2.35967514225005,2.02642731989536,,5.36935509753425,,,0.78845832033386,1.10818483744066,2.51740390550589,2.78616206175993,1.81712151049282,1.88750264446765,,,2.43275007538796,,1.5343144923525
