year,E.E.,Αλβανία,Αυστρία,Βέλγιο,Βουλγαρία,Βόρεια Μακεδονία,Γαλλία,Γερμανία,Δανία,Ελλάδα,Εσθονία,Ιρλανδία,Ισπανία,Ιταλια,Κροατία,Κύπρος,Λετονία,Λιθουανία,Λουξεμβούργο,Μάλτα,Ολλανδία,Ουγγαρία,Πολωνία,Πορτογαλία,Σλοβακία,Σλοβενία,Σουηδία,Τσεχία,Φινλανδία
1988,4.88401186059877,,2.70275019769792,4.63837239631852,,,5.76777055038941,,3.63579653505332,10.8101803758617,,2.49389720921027,6.14896829391042,4.02665053622809,,,,,,,4.92540845806062,,,4.36248791932619,,,4.00002245469064,,3.15285703016119
1989,4.7439250420857,,2.6357112705783,4.47021780917228,,,5.73409886675525,,3.51347901112833,9.42776576019777,,2.6145987363893,5.62054704948242,3.83412728051916,,,,,,,4.91884854390645,,,4.44088020663765,,,3.98511992217978,,3.17037994827929
1990,4.49573116796275,,2.54508548676712,4.27959644497837,,,5.51175213852785,,3.48211062745514,8.59184499710816,,2.77304792021406,5.32856611631712,3.29358319877395,,,,,,,4.73341309969509,,,4.23787920375751,,,3.96808390022676,,3.2151112563917
1991,4.27189190188126,,2.41118378863666,4.06261999398084,,,5.40414894349413,4.24132192808417,3.45982865841809,8.62375121676316,,2.78562549440615,4.7650144363299,3.1826789766059,,,,,,,4.42310044390725,,,3.87844382981755,,,3.5379736065099,,3.08882698854844
1992,3.9809487881447,,2.23902106697411,3.23730396735657,,,5.05011294854767,3.87746038489602,3.28768437922861,8.56575944552447,,2.62690620430332,4.44202958335789,3.00706278346936,17.187186322372,,,,,,4.30190763942409,,,3.67686807902324,,,3.27305269881125,,3.033359193173
1993,3.77242321522086,,2.05751372251182,3.00544454422991,,,4.81401578842074,3.47104664223339,3.15144134495325,8.11759431932291,,2.61697469578942,4.11626997100486,3.01404580680312,25.0241408672876,,,2.19588194406586,,,3.89346167698,,,3.76043244337477,,,3.29442400569257,,2.84775867447109
1994,3.68679127243385,,2.02627916406396,3.03095725656255,,,4.81483223850238,3.1804699165525,2.92923954617368,8.44884051738397,,2.56900009550186,4.24008161178048,3.03328936489435,20.6116808779133,,,1.35480153444599,,,3.7767013928933,,,3.85869901801068,,,3.23168304439805,,2.73639781513797
1995,3.42020830374266,,1.9012255498742,2.93406851243548,,,4.48805759165367,2.69236607460209,2.8713120291668,6.63823027867972,2.35455349248453,2.5162925416365,4.22068836494863,2.83717391560307,18.2706194329773,9.89293361884368,,1.37382800883621,1.48965184183867,,3.33487582909147,2.38686214490617,4.09831888381343,4.00806440030607,6.49513649199874,2.95395323933607,2.80785616061955,3.32883213268613,2.37208987547374
1996,3.48977760342867,,1.86221022984657,2.8638154885472,,,4.35175659284109,2.94081276722036,2.82823557672553,7.01545681563765,2.24191279887482,2.56974087009011,4.10163677910876,3.07974524637089,15.6949301965402,13.7891077636153,,1.57116071672887,1.4685608676522,,3.74187824870052,2.45550192944074,3.85818841689524,3.72100147153853,5.56189827042686,3.40189815659792,2.45645736169406,3.9998951149802,2.61878415987661
1997,3.55045881214064,4.42469942524728,1.94611688864562,2.8252334832238,,6.46348279716805,4.30841831867734,2.87716964310653,2.88144400467976,7.31003670017552,2.87416004886988,2.55898439059444,4.03149829343612,3.28220379524206,14.5780468048037,16.369982547993,,2.29183246692846,1.49049639704909,,3.64779230166857,2.96665276903946,4.38254083879665,3.63508264312771,4.67892218584739,3.08944515306122,3.2773586641714,3.82091114100574,2.79494936209391
