date,EL,EU_median
1995,-10184.6,-4638.049999999999
1996,-9374.5,-2527.3500000000004
1997,-7652.0,-1741.7
1998,-8089.9,-1077.1
1999,-8107.7,-1399.9
2000,-5809.2,-797.0
2001,-8319.0,-1182.5
2002,-9847.0,-1320.1
2003,-14009.0,-1425.3
2004,-17101.0,-708.9
2005,-12329.0,-640.5
2006,-12954.0,-191.0
2007,-15607.0,-127.5
2008,-24625.0,-1667.9
2009,-36141.0,-6471.5
2010,-25544.0,-6556.9
2011,-21364.0,-5095.8
2012,-17140.0,-4835.7
2013,-24057.0,-3258.0
2014,-6539.0,-2948.7
2015,-10326.0,-2135.4
2016,322.0,-490.5
2017,1013.0,-113.3
2018,1675.0,-27.8
2019,2103.0,232.0
2020,-16430.0,-12444.4
2021,-13538.0,-6760.0
