date,Αυστρία,Βέλγιο,Βουλγαρία,Γαλλία,Γερμανία,Δανία,Ελλάδα,Εσθονία,Ιρλανδία,Ισπανία,Ιταλια,Κροατία,Κύπρος,Λετονία,Λιθουανία,Λουξεμβούργο,Μάλτα,Ολλανδία,Ουγγαρία,Πολωνία,Πορτογαλία,Ρουμανία,Σλοβακία,Σλοβενία,Σουηδία,Τσεχία,Φινλανδία
2007,25.5,10.1,12.1,17.3,22.8,17.7,21.5,30.9,17.3,18.1,5.1,,22.0,13.6,22.6,10.2,7.8,19.3,16.3,14.9,8.5,12.5,23.6,5.0,17.8,23.6,20.2
2008,25.1,10.2,12.3,16.9,22.8,17.1,22.0,27.6,12.6,16.1,4.9,,19.5,11.8,21.6,9.7,9.2,18.9,17.5,11.4,9.2,8.5,20.9,4.1,16.9,26.2,20.5
2009,24.3,10.1,13.3,15.2,22.6,16.8,,26.6,12.6,16.7,5.5,,17.8,13.1,15.3,9.2,7.7,18.5,17.1,8.0,10.0,7.4,21.9,-0.9,15.7,25.9,20.8
2010,24.0,10.2,13.0,15.6,22.3,17.1,15.0,27.7,13.9,16.2,5.3,5.7,16.8,15.5,11.9,8.7,7.2,17.8,17.6,4.5,12.8,8.8,19.6,0.9,15.4,21.6,20.3
2011,23.5,9.4,13.2,15.7,22.4,16.4,,27.3,12.7,17.6,5.7,,16.1,14.1,11.5,7.9,7.7,18.8,18.0,5.5,12.9,9.6,20.1,3.3,15.6,22.6,19.1
2012,22.9,8.3,15.1,15.6,22.7,16.8,,29.9,12.2,18.7,6.5,,15.6,14.9,11.9,7.0,9.5,18.0,20.1,6.4,15.0,6.9,20.8,4.5,15.5,22.5,19.2
2013,22.3,7.5,14.1,15.5,22.1,16.5,,29.8,12.9,17.8,7.0,7.7,14.9,16.0,12.2,6.2,9.7,17.2,18.4,7.1,13.3,4.9,18.8,6.3,14.6,22.3,18.8
2014,22.2,6.6,14.2,15.5,22.3,16.0,12.5,28.1,13.9,14.9,6.1,8.7,14.2,17.3,13.3,5.4,10.6,17.0,15.1,7.7,14.9,4.5,19.7,7.0,13.8,22.5,18.4
2015,21.8,6.4,15.5,15.6,21.8,15.1,,26.7,13.9,14.1,5.5,,13.2,18.4,14.2,4.7,10.7,16.1,14.0,7.3,16.0,5.6,19.7,8.2,14.0,22.5,17.5
2016,20.8,6.0,14.6,15.9,21.1,15.1,,24.8,14.2,14.8,5.3,11.6,12.3,19.7,14.4,3.9,11.6,15.6,14.0,7.1,13.9,4.8,19.2,8.1,13.3,21.5,17.5
2017,20.7,5.8,14.3,16.3,20.4,14.8,,24.9,14.4,13.5,5.0,12.3,11.2,19.8,15.2,2.6,13.2,15.1,15.9,7.0,10.8,2.9,20.1,8.4,12.5,21.1,17.1
2018,20.4,5.8,13.9,16.7,20.1,14.6,10.4,21.8,11.3,11.9,5.5,11.4,10.4,19.6,14.0,1.4,13.0,14.7,14.2,8.5,8.9,2.2,19.8,9.3,12.1,20.1,16.9
2019,20.0,4.7,14.0,16.0,19.2,17.7,,21.6,10.3,9.6,4.6,10.2,10.5,21.6,12.9,0.9,10.5,14.9,18.2,6.5,9.4,2.6,18.2,7.5,11.1,19.3,16.7
2020,19.2,3.2,12.5,15.0,18.3,13.8,,21.0,9.0,9.3,4.0,8.7,9.9,23.2,12.3,0.3,7.9,14.7,17.1,4.5,8.3,0.9,15.4,2.4,10.5,16.7,16.9
2021,19.1,1.8,11.9,13.7,17.6,14.2,,20.3,9.9,9.3,4.7,7.3,11.0,15.9,10.9,-0.2,7.2,14.3,17.2,6.2,7.1,1.4,16.0,2.7,10.3,15.4,16.9
2022,18.7,0.7,12.6,12.8,17.7,13.8,13.5,21.1,9.3,9.2,3.8,7.7,11.9,18.9,10.5,-0.7,5.8,14.0,17.5,7.8,6.3,1.5,16.8,6.8,10.4,18.4,16.0
2023,18.3,0.7,13.5,12.2,17.6,14.0,13.6,16.9,8.6,9.2,2.2,7.4,12.2,19.0,11.5,-0.9,5.1,12.5,17.8,7.8,8.6,3.8,15.7,5.4,11.2,18.0,16.8
