Όνομα,Εκλογική Περιφέρεια,Κοινοβουλευτική Ομάδα,Ψήφοι
Όλγα Κεφαλογιάννη,Α' Αθηνών,ΝΔ,37942.0
Βασίλης Κικίλιας,Α' Αθηνών,ΝΔ,44531.0
Θάνος Πλεύρης,Α' Αθηνών,ΝΔ,33014.0
Νικήτας Κακλαμάνης,Α' Αθηνών,ΝΔ,29624.0
Άγγελος Συρίγος,Α' Αθηνών,ΝΔ,29131.0
Κυριάκος Πιερρακάκης,Α' Αθηνών,ΝΔ,55099.0
Φωτεινή Πιπιλή,Α' Αθηνών,ΝΔ,19410.0
Κωστής Χατζηδάκης,Β1' Αθηνών,ΝΔ,71634.0
Άδωνις Γεωργιάδης,Β1' Αθηνών,ΝΔ,64004.0
Νίκη Κεραμέως,Β1' Αθηνών,ΝΔ,58344.0
Γιώργος Κουμουτσάκος,Β1' Αθηνών,ΝΔ,24959.0
Θεόδωρος Ρουσόπουλος,Β1' Αθηνών,ΝΔ,32464.0
Δημήτρης Καιρίδης,Β1' Αθηνών,ΝΔ,47559.0
Ζωή Ράπτη,Β1' Αθηνών,ΝΔ,42617.0
Νίκος Παπαθανάσης,Β1' Αθηνών,ΝΔ,25982.0
Άρια Αγάτσα,Β1' Αθηνών,ΝΔ,13321.0
Μιλτιάδης Βαρβιτσιώτης,Β2' Αθηνών,ΝΔ,22927.0
Γιάννης Λοβέρδος,Β2' Αθηνών,ΝΔ,13128.0
Μαρία Συρεγγέλα,Β2' Αθηνών,ΝΔ,12910.0
Μιχάλης Χρυσοχοΐδης,Β2' Αθηνών,ΝΔ,26915.0
Δημήτρης Καλογερόπουλος,Β2' Αθηνών,ΝΔ,12476.0
Νίκος Δένδιας,Β3' Αθηνών,ΝΔ,93988.0
Τάκης Θεοδωρικάκος,Β3' Αθηνών,ΝΔ,44523.0
Κωνσταντίνος Κυρανάκης,Β3' Αθηνών,ΝΔ,39633.0
Διονύσης Χατζηδάκης,Β3' Αθηνών,ΝΔ,30279.0
Χάρης Θεοχάρης,Β3' Αθηνών,ΝΔ,29342.0
Άννα Καραμανλή,Β3' Αθηνών,ΝΔ,25077.0
Σοφία Βούλτεψη,Β3' Αθηνών,ΝΔ,24790.0
Τάσος Γαϊτάνης,Β3' Αθηνών,ΝΔ,18321.0
Ιωάννα Γκελεστάθη,Β3' Αθηνών,ΝΔ,13524.0
Γιάννης Καλλιάνος,Β3' Αθηνών,ΝΔ,27856.0
Βασίλης Σπανάκης,Β3' Αθηνών,ΝΔ,31671.0
Κώστας Κατσαφάδος,Α' Πειραιώς,ΝΔ,23810.0
Δόμνα-Μαρία Μιχαηλίδου,Α' Πειραιώς,ΝΔ,15979.0
Νικόλαος Βλαχάκος,Α' Πειραιώς,ΝΔ,10243.0
Δημήτρης Μαρκόπουλος,Β' Πειραιώς,ΝΔ,19287.0
 Μιχάλης Λιβανός,Β' Πειραιώς,ΝΔ,20496.0
Γιώργος Βρεττάκος,Β' Πειραιώς,ΝΔ,22550.0
Σοφία Ζαχαράκη,Α' Αττικής,ΝΔ,52689.0
Μάκης Βορίδης,Α' Αττικής,ΝΔ,42787.0
Στέλιος Πέτσας,Α' Αττικής,ΝΔ,34559.0
Γιώργος Βλάχος,Α' Αττικής,ΝΔ,21852.0
Βασίλης Οικονόμου,Α' Αττικής,ΝΔ,18752.0
Βάσω Κόλλια,Α' Αττικής,ΝΔ,17201.0
Κατερίνα Κατσανδρή,Α' Αττικής,ΝΔ,9512.0
