District,NUTS_3_Code,Winner_Percentage,Winner_Party,Second_Percentage,Second_Party,Difference
Α' Αθηνών,EL303,31.35,ΝΔ,16.95,ΣΥΡΙΖΑ,14.4
Β1' Βόρειου Τομέα Αθηνών,EL301,34.69,ΝΔ,14.91,ΣΥΡΙΖΑ,19.77
Β2' Δυτικού Τομέα Αθηνών,EL302,22.82,ΝΔ,18.87,ΣΥΡΙΖΑ,3.95
Β3' Νότιου Τομέα Αθηνών,EL304,29.81,ΝΔ,16.95,ΣΥΡΙΖΑ,12.86
Α' Πειραιώς,EL307,32.05,ΝΔ,15.59,ΣΥΡΙΖΑ,16.45
Β' Πειραιώς,EL307,24.02,ΝΔ,18.33,ΣΥΡΙΖΑ,5.69
Α' Ανατολικής Αττικής,EL305,32.95,ΝΔ,14.68,ΣΥΡΙΖΑ,18.28
Β' Δυτικής Αττικής,EL306,26.06,ΝΔ,14.25,ΣΥΡΙΖΑ,11.81
Αιτωλοακαρνανίας,EL631,26.08,ΝΔ,16.77,ΣΥΡΙΖΑ,9.31
Αργολίδος,EL651,29.4,ΝΔ,16.44,ΠΑΣΟΚ,12.97
Αρκαδίας,EL651,31.43,ΝΔ,16.68,ΠΑΣΟΚ,14.74
Άρτας,EL541,28.56,ΝΔ,22.66,ΣΥΡΙΖΑ,5.9
Αχαΐας,EL632,23.13,ΝΔ,18.35,ΣΥΡΙΖΑ,4.78
Βοιωτίας,EL641,24.98,ΝΔ,16.78,ΣΥΡΙΖΑ,8.2
Γρεβενών,EL531,29.25,ΝΔ,18.04,ΠΑΣΟΚ,11.21
Δράμας,EL514,26.37,ΝΔ,15.52,ΕΛ,10.85
Δωδεκανήσου,EL421,30.52,ΝΔ,16.35,ΠΑΣΟΚ,14.17
Έβρου,EL511,29.4,ΝΔ,16.23,ΠΑΣΟΚ,13.17
Ευβοίας,EL642,26.46,ΝΔ,16.61,ΣΥΡΙΖΑ,9.86
Ευρυτανίας,EL643,27.16,ΝΔ,19.43,ΠΑΣΟΚ,7.74
Ζακύνθου,EL621,25.26,ΝΔ,17.72,ΚΚΕ,7.55
Ηλείας,EL633,26.08,ΝΔ,22.66,ΠΑΣΟΚ,3.43
Ημαθίας,EL521,25.39,ΝΔ,18.42,ΕΛ,6.97
Ηρακλείου,EL431,26.41,ΠΑΣΟΚ,24.54,ΝΔ,1.88
Θεσπρωτίας,EL542,29.58,ΝΔ,19.51,ΠΑΣΟΚ,10.07
Α' Θεσσαλονίκης,EL522,24.33,ΝΔ,14.43,ΣΥΡΙΖΑ,9.9
Β' Θεσσαλονίκης,EL522,27.15,ΝΔ,15.82,ΕΛ,11.33
Ιωαννίνων,EL543,27.91,ΝΔ,17.61,ΣΥΡΙΖΑ,10.3
Καβάλας,EL515,27.23,ΝΔ,14.18,ΠΑΣΟΚ,13.06
Καρδίτσας,EL611,32.3,ΝΔ,16.07,ΠΑΣΟΚ,16.23
Καστοριάς,EL532,30.71,ΝΔ,17.98,ΣΥΡΙΖΑ,12.74
Κέρκυρας,EL622,24.47,ΝΔ,19.33,ΣΥΡΙΖΑ,5.14
Κεφαλληνίας,EL623,24.95,ΝΔ,20.59,ΣΥΡΙΖΑ,4.36
Κιλκίς,EL523,28.18,ΝΔ,16.54,ΕΛ,11.64
Κοζάνης,EL531,26.35,ΝΔ,17.77,ΠΑΣΟΚ,8.58
Κορινθίας,EL652,28.96,ΝΔ,15.96,ΣΥΡΙΖΑ,13
Κυκλάδων,EL422,32.11,ΝΔ,13.36,ΣΥΡΙΖΑ,18.75
Λακωνίας,EL653,35.62,ΝΔ,13.14,ΠΑΣΟΚ,22.48
Λάρισας,EL612,27.61,ΝΔ,13.81,ΣΥΡΙΖΑ,13.79
Λασιθίου,EL432,29.37,ΠΑΣΟΚ,26.51,ΝΔ,2.85
Λέσβου,EL411,28.15,ΝΔ,15.23,ΚΚΕ,12.93
Λευκάδας,EL624,27.34,ΝΔ,17.44,ΠΑΣΟΚ,9.9
Μαγνησίας,EL613,29.47,ΝΔ,15.16,ΣΥΡΙΖΑ,14.31
Μεσσηνίας,EL653,30,ΝΔ,13.7,ΣΥΡΙΖΑ,16.3
Ξάνθης,EL512,27.16,ΚΙΕΦ,20.39,ΝΔ,6.77
Πέλλας,EL524,27.61,ΝΔ,17.28,ΕΛ,10.33
Πιερίας,EL525,25.94,ΝΔ,15.71,ΠΑΣΟΚ,10.23
Πρέβεζας,EL541,31.06,ΝΔ,16.98,ΣΥΡΙΖΑ,14.07
Ρεθύμνης,EL433,28.53,ΝΔ,25.04,ΠΑΣΟΚ,3.49
Ροδόπης,EL513,36.1,ΚΙΕΦ,19.61,ΝΔ,16.48
Σάμου,EL412,26.21,ΝΔ,20.95,ΚΚΕ,5.25
Σερρών,EL526,30.95,ΝΔ,15.64,ΕΛ,15.31
Τρικάλων,EL611,29.88,ΝΔ,15.57,ΣΥΡΙΖΑ,14.31
Φθιώτιδας,EL644,28.66,ΝΔ,15.45,ΣΥΡΙΖΑ,13.21
Φλώρινας,EL533,25.37,ΝΔ,15.11,ΠΑΣΟΚ,10.27
Φωκίδας,EL645,31.58,ΝΔ,15.16,ΣΥΡΙΖΑ,16.42
Χαλκιδικής,EL527,26.37,ΝΔ,14.54,ΠΑΣΟΚ,11.83
Χανίων,EL434,27.4,ΝΔ,17.04,ΣΥΡΙΖΑ,10.36
Χίου,EL413,33.74,ΝΔ,17.78,ΠΑΣΟΚ,15.96
Εξωτερικού,,40.17,ΝΔ,11.14,ΣΥΡΙΖΑ,29.03
