election,registered,valid_votes,abstained,invalid_blank,voted_pct,abstained_pct,invalid_blank_pct
1974-11-17,6241066,4908974,1277508,54584,0.7866,0.2047,0.0087
1977-11-20,6679458,5129771,1485567,64120,0.768,0.2224,0.0096
1981-10-18,7319070,5671057,1565592,82421,0.7748,0.2139,0.0113
1985-02-06,8119410,6365039,1697058,57313,0.7839,0.209,0.0071
1989-06-18,8302412,6521211,1633184,148017,0.7855,0.1967,0.0178
1989-05-11,8425212,6696484,1627053,101675,0.7948,0.1931,0.0121
1990-08-04,8424841,6586040,1726250,112551,0.7817,0.2049,0.0134
1993-10-10,8861833,6900311,1841908,119614,0.7787,0.2078,0.0135
1996-09-22,9140742,6780049,2162086,198607,0.7417,0.2365,0.0217
2000-09-04,9372541,6868011,2346014,158516,0.7328,0.2503,0.0169
2004-07-03,9899472,7406619,2326104,166749,0.7482,0.235,0.0168
2007-09-16,9921893,7159006,2563891,196029,0.7215,0.2584,0.0198
2009-04-10,9929065,6858421,2884459,186185,0.6907,0.2905,0.0188
2012-06-05,9949401,6324104,3472650,152647,0.6356,0.349,0.0153
2012-06-17,9952570,6155086,3736149,61335,0.6184,0.3754,0.0062
2015-01-25,9949684,6180872,3619328,149484,0.6212,0.3638,0.0150
2015-09-20,9840525,5431850,4274230,134445,0.552,0.4343,0.0137
2019-07-07,9984934,5649370,4192719,120117,0.5658,0.4199,0.0120
