Party,Acronym,Color
Νέα Δημοκρατία,ΝΔ,#1763B4
Συνασπισμός Ριζοσπαστικής Αριστεράς,ΣΥΡΙΖΑ,#E14439
Κίνημα Αλλαγής,ΚΙΝΑΛ,#02793A
Πανελλήνιο Σοσιαλιστικό Κίνημα,ΠΑΣΟΚ,#02793A
Κομμουνιστικό Κόμμα Ελλάδας,ΚΚΕ,#DE2218
Ελληνική Λύση,ΕΛ,#221C94
Μέτωπο Ευρωπαϊκής Ρεαλιστικής Ανυπακοής,ΜέΡΑ25,#E84022
Ανεξάρτητοι Έλληνες,ΑΝΕΛ,#21B6E7
Ένωση Κεντρώων,ΕΚ,#81027D
Το Ποτάμι,ΠΟΤΑΜΙ,#9F4F46
Λαϊκή Ενότητα,ΛΑΕ,#E21C2F
Πλεύση Ελευθερίας,ΠΕ,#AC3388
Χρυσή Αυγή,ΧΑ,#000104
Other,ΑΛΛΟ,#939496
Συνασπισμός της Αριστεράς και της Προόδου,Συνασπισμός,#939496
Οικολόγοι Εναλλακτικοί - ΟΟΕΟ,ΟΕ,#939496
Εμπιστοσύνη,Εμπιστοσύνη,#939496
Λαϊκός Ορθόδοξος Συναγερμός,ΛΑΟΣ,#939496
Πολιτική Άνοιξη,ΠΟΛΑΝ,#939496
Ένωση Δημοκρατικού Κέντρου,ΕΔΗΚ,#939496
Συμμαχία Προοδευτικών & Αριστερών Δυνάμεων,Συμμαχία των Πέντε,#939496
Κόμμα Νεοφιλελευθέρων,ΚΝ,#939496
Ένωση Κέντρου – Νέες Δυνάμεις,ΕΚΝΔ,#939496
Δημοκρατική Ανανέωση,ΔΗΑΝΑ,#939496
Δημοκρατική Αριστερά,ΔΗΜΑΡ,#939496
Εθνική Παράταξις,Εθνική Παράταξις,#939496
Κομμουνιστικό Κόμμα  Ελλάδας Εσωτερικού,ΚΚΕ Εσωτερικού,#939496
Δημοκρατικό Κοινωνικό Κίνημα,ΔΗΚΚΙ,#939496
Ενωμένη Αριστερά  α) Ενιαία Δημοκρατική Αριστερά  β) Κομμουνιστικό Κόμμα Ελλάδας (εσωτ.)  γ) Κομμουνιστικό Κόμμα Ελλάδας,ΕΔΑ,#939496
