date,AT_EUR,AT_PPS,BE_EUR,BE_PPS,BG_EUR,BG_PPS,CY_EUR,CY_PPS,CZ_EUR,CZ_PPS,DE_EUR,DE_PPS,DK_EUR,DK_PPS,EE_EUR,EE_PPS,EL_EUR,EL_PPS,ES_EUR,ES_PPS,EU27_2020_EUR,EU27_2020_PPS,FI_EUR,FI_PPS,FR_EUR,FR_PPS,HR_EUR,HR_PPS,HU_EUR,HU_PPS,IE_EUR,IE_PPS,IT_EUR,IT_PPS,LT_EUR,LT_PPS,LU_EUR,LU_PPS,LV_EUR,LV_PPS,MT_EUR,MT_PPS,NL_EUR,NL_PPS,PL_EUR,PL_PPS,PT_EUR,PT_PPS,RO_EUR,RO_PPS,SE_EUR,SE_PPS,SI_EUR,SI_PPS,SK_EUR,SK_PPS,EU_Median_EUR,EU_Median_PPS
2007-S1,,,,,,,,,0.1769,0.2898,0.2211,0.216,,,,,,,,,0.2121,,,,,,0.1223,0.1902,,,,,,,,,0.2706,0.2375,,,,,0.2424,0.2294,,,,,,,0.1894,0.1595,,,,,0.21,0.22
2007-S2,0.1834,0.1715,0.1873,0.1714,0.0619,0.1543,0.1436,0.1645,0.1819,0.2898,0.2313,0.2259,0.1247,0.0915,0.0671,0.0988,0.1086,0.1226,0.2424,0.27,0.1938,,0.1596,0.1377,0.1849,0.168,0.1489,0.2303,0.1129,0.176,0.4031,0.3413,,,0.0813,0.1413,0.2167,0.1902,0.0695,0.1042,,,0.2429,0.2299,0.115,0.1886,0.1509,0.1856,0.0912,0.1635,0.2049,0.1736,0.1657,0.2137,0.1875,0.2767,0.16,0.17
2008-S1,0.1812,0.166,0.2153,0.1926,0.0619,0.1447,0.1651,0.1883,0.2084,0.2876,0.2349,0.2261,0.1352,0.0983,0.0659,0.0928,0.1118,0.1246,0.2455,0.2663,0.2003,,0.1673,0.1424,0.1856,0.1643,0.1596,0.2365,0.1333,0.2041,0.3919,0.3218,,,0.0781,0.1241,0.2167,0.1868,0.0813,0.1125,0.0444,0.0619,0.2441,0.2264,0.137,0.2012,0.2683,0.3229,0.0895,0.1607,0.2022,0.1688,0.1464,0.1803,0.1979,0.2985,0.17,0.18
2008-S2,0.1812,0.166,0.2809,0.2512,0.0685,0.1603,0.1713,0.1953,0.2124,0.2876,0.2408,0.2318,0.149,0.1083,0.0688,0.0969,0.0965,0.1075,0.2622,0.2844,0.2071,,0.177,0.1507,0.1832,0.1622,0.1713,0.2508,0.1311,0.1976,0.4298,0.3529,,,0.0782,0.1242,0.2188,0.1886,0.0956,0.1338,0.121,0.1687,0.2491,0.231,0.1367,0.2035,0.271,0.3261,0.0915,0.1655,0.2121,0.1861,0.1523,0.1876,0.2146,0.3046,0.17,0.19
2009-S1,0.1874,0.167,0.2024,0.1774,0.0706,0.1578,0.1192,0.1341,0.2104,0.309,0.2498,0.2322,0.1349,0.0965,0.0732,0.1045,0.0959,0.1034,0.254,0.2693,0.2034,,0.1903,0.1585,0.1723,0.1505,0.1707,0.246,0.1167,0.2027,0.3815,0.3217,,,0.085,0.1371,0.2369,0.1965,0.0957,0.1405,0.2365,0.3252,0.3473,0.3104,0.1141,0.2061,0.287,0.3409,0.0818,0.1644,0.1795,0.1645,0.1928,0.225,0.1974,0.2905,0.18,0.19
2009-S2,0.1874,0.167,0.2134,0.187,0.0685,0.1532,0.1373,0.1545,0.2217,0.309,0.2413,0.2243,0.1197,0.0855,0.0718,0.1026,0.1003,0.1082,0.2611,0.2768,0.2082,,0.1932,0.1609,0.1886,0.1648,0.1507,0.2148,0.1443,0.2344,0.3667,0.3092,,,0.0814,0.1313,0.2411,0.1999,0.0959,0.1405,0.2165,0.2977,0.3462,0.3095,0.1258,0.2124,0.2872,0.3411,0.0803,0.1618,0.1935,0.1696,0.2036,0.2376,0.1962,0.2887,0.19,0.19
2010-S1,0.1746,0.1584,0.2241,0.2021,0.0685,0.1545,0.1824,0.2056,0.2165,0.3046,0.2446,0.2344,0.1283,0.094,0.0713,0.1052,0.103,0.112,0.3174,0.3377,0.2153,,0.1965,0.1647,0.1787,0.1592,0.1543,0.2186,0.1567,0.259,0.3555,0.3219,,,0.1002,0.1695,0.2126,0.1759,0.0954,0.1459,0.4033,0.5521,0.3201,0.2876,0.1367,0.2295,0.2266,0.2736,0.0863,0.1717,0.2482,0.2062,0.176,0.2094,0.1887,0.2823,0.18,0.21
2010-S2,0.1772,0.1607,0.2176,0.1962,0.0701,0.1581,0.1864,0.2101,0.2241,0.3046,0.2472,0.2369,0.1337,0.0981,0.0733,0.1081,0.1006,0.1094,0.2926,0.3113,0.2151,,0.2013,0.1687,0.1884,0.1678,0.1485,0.2118,0.1413,0.2399,0.3703,0.3353,0.2184,0.2136,0.1043,0.1764,0.2142,0.1773,0.0953,0.1459,0.3958,0.5419,0.3256,0.2925,0.1413,0.2363,0.2104,0.2541,0.0832,0.1705,0.2366,0.1867,0.1741,0.2072,0.1997,0.2988,0.19,0.21
2011-S1,0.2055,0.1856,0.2304,0.2076,0.0699,0.1478,0.1994,0.2167,0.239,0.3277,0.2478,0.2384,0.1418,0.105,0.0733,0.1055,0.1357,0.1462,0.289,0.3098,0.2201,,0.2098,0.1744,0.1973,0.1763,0.1475,0.218,0.15,0.2443,0.3148,0.2855,0.211,0.2071,0.1057,0.175,0.2219,0.1872,0.0957,0.1433,0.4074,0.5388,0.3386,0.3077,0.1485,0.2424,0.1912,0.2329,0.0848,0.1681,0.2603,0.1983,0.1578,0.1889,0.1903,0.2769,0.2,0.21
2011-S2,0.205,0.1851,0.2285,0.2059,0.071,0.15,0.2247,0.2442,0.2344,0.3277,0.2464,0.2371,0.1447,0.1069,0.0785,0.113,0.1216,0.131,0.3044,0.3263,0.2201,,0.2155,0.1791,0.2002,0.1789,0.156,0.2331,0.1394,0.2437,0.3974,0.3604,0.1969,0.1933,0.1124,0.1862,0.2191,0.1848,0.0962,0.1437,0.4112,0.5438,0.3383,0.3074,0.1403,0.2483,0.1947,0.2371,0.0837,0.1706,0.2417,0.1878,0.164,0.1963,0.2022,0.2943,0.2,0.2
