date,AT_EUR,AT_PPS,BE_EUR,BE_PPS,BG_EUR,BG_PPS,CY_EUR,CY_PPS,CZ_EUR,CZ_PPS,DE_EUR,DE_PPS,DK_EUR,DK_PPS,EE_EUR,EE_PPS,EL_EUR,EL_PPS,ES_EUR,ES_PPS,EU27_2020_EUR,EU27_2020_PPS,FI_EUR,FI_PPS,FR_EUR,FR_PPS,HR_EUR,HR_PPS,HU_EUR,HU_PPS,IE_EUR,IE_PPS,IT_EUR,IT_PPS,LT_EUR,LT_PPS,LU_EUR,LU_PPS,LV_EUR,LV_PPS,MT_EUR,MT_PPS,NL_EUR,NL_PPS,PL_EUR,PL_PPS,PT_EUR,PT_PPS,RO_EUR,RO_PPS,SE_EUR,SE_PPS,SI_EUR,SI_PPS,SK_EUR,SK_PPS,EU_Median_EUR,EU_Median_PPS
2007-S1,,,,,,,,,0.1573,0.2578,0.2258,0.2206,,,,,,,,,0.1974,,,,,,0.1223,0.1902,,,,,,,,,0.2219,0.1947,,,,,0.1377,0.1303,,,,,,,0.1567,0.132,,,,,0.16,0.19
2007-S2,0.2008,0.1878,0.1867,0.1708,0.0721,0.1797,0.1554,0.178,0.1618,0.2578,0.234,0.2286,0.2676,0.1964,0.0799,0.1176,0.0931,0.1051,0.1622,0.1807,0.1707,,0.14,0.1208,0.1433,0.1302,0.1093,0.1691,0.1503,0.2343,0.2242,0.1898,,,0.0901,0.1567,0.184,0.1615,0.0729,0.1094,0.0459,0.0656,0.1359,0.1286,0.1408,0.2309,0.1552,0.1908,0.117,0.2096,0.1734,0.1469,0.131,0.1689,0.1615,0.2384,0.15,0.17
2008-S1,0.2005,0.1837,0.2172,0.1943,0.0731,0.171,0.1757,0.2003,0.1889,0.2607,0.2389,0.2299,0.292,0.2123,0.083,0.1169,0.0906,0.101,0.1583,0.1717,0.1714,,0.1472,0.1253,0.1411,0.1249,0.11,0.1631,0.1608,0.2462,0.2087,0.1713,0.1577,0.1562,0.0893,0.1419,0.184,0.1586,0.0849,0.1174,0.0619,0.0863,0.1343,0.1246,0.1329,0.1953,0.1695,0.204,0.1075,0.193,0.1874,0.1565,0.1296,0.1596,0.1672,0.2522,0.16,0.17
2008-S2,0.2033,0.1863,0.2467,0.2206,0.0808,0.189,0.1906,0.2173,0.1926,0.2607,0.2439,0.2348,0.307,0.2231,0.0865,0.1218,0.0935,0.1042,0.1798,0.1951,0.1797,,0.153,0.1303,0.1408,0.1247,0.1282,0.1876,0.1585,0.2389,0.2369,0.1945,0.1779,0.1762,0.0894,0.1419,0.1869,0.1611,0.1005,0.1406,0.1323,0.1845,0.1391,0.129,0.1406,0.2093,0.1742,0.2096,0.108,0.1954,0.1949,0.171,0.1314,0.1618,0.1784,0.2532,0.16,0.19
2009-S1,0.2089,0.1861,0.2156,0.189,0.0833,0.1864,0.131,0.1474,0.1934,0.2841,0.2528,0.235,0.2991,0.2139,0.0939,0.134,0.0972,0.1048,0.1779,0.1886,0.1782,,0.1632,0.1359,0.1397,0.1221,0.1233,0.1777,0.1534,0.2664,0.2331,0.1966,0.171,0.165,0.0981,0.1583,0.2052,0.1702,0.1052,0.1544,0.1906,0.2621,0.1448,0.1294,0.1213,0.2191,0.1713,0.2035,0.098,0.197,0.1795,0.1645,0.1587,0.1852,0.1743,0.2565,0.16,0.19
2009-S2,0.2101,0.1872,0.2088,0.183,0.0813,0.1818,0.1511,0.17,0.2038,0.2841,0.2534,0.2356,0.2847,0.2035,0.0938,0.1339,0.0919,0.0991,0.1916,0.2032,0.1799,,0.1646,0.1371,0.1413,0.1235,0.1137,0.1621,0.1739,0.2825,0.215,0.1813,0.1674,0.1616,0.0956,0.1542,0.2052,0.1702,0.1054,0.1544,0.1711,0.2352,0.1365,0.122,0.1303,0.22,0.1807,0.2146,0.0978,0.1971,0.1819,0.1595,0.1595,0.1862,0.1703,0.2506,0.17,0.18
2010-S1,0.2172,0.197,0.2207,0.199,0.0813,0.1834,0.185,0.2085,0.1998,0.2811,0.2622,0.2513,0.2973,0.2178,0.0989,0.1458,0.1027,0.1117,0.1978,0.2105,0.1848,,0.1681,0.1409,0.1466,0.1306,0.1134,0.1607,0.1768,0.2923,0.2107,0.1908,0.1626,0.1591,0.1182,0.1999,0.1906,0.1577,0.1049,0.1604,0.1905,0.2608,0.1202,0.108,0.1436,0.241,0.1798,0.2171,0.1035,0.206,0.1992,0.1655,0.1672,0.199,0.1714,0.2564,0.17,0.2
2010-S2,0.2115,0.1918,0.2194,0.1978,0.0832,0.1878,0.201,0.2265,0.2068,0.2811,0.2695,0.2583,0.301,0.2208,0.102,0.1504,0.1053,0.1145,0.2085,0.2218,0.1907,,0.1744,0.1461,0.1542,0.1374,0.1128,0.1609,0.1661,0.282,0.2194,0.1986,0.162,0.1585,0.1239,0.2095,0.1931,0.1598,0.1048,0.1604,0.1927,0.2638,0.1251,0.1124,0.1487,0.2487,0.1866,0.2253,0.106,0.2172,0.2119,0.1672,0.17,0.2023,0.1841,0.2754,0.17,0.2
2011-S1,0.221,0.1996,0.2369,0.2134,0.0829,0.1752,0.2047,0.2224,0.2185,0.2995,0.2774,0.2669,0.3215,0.238,0.0995,0.1432,0.1078,0.1162,0.2193,0.2351,0.1977,,0.1929,0.1604,0.1558,0.1392,0.1118,0.1652,0.1728,0.2815,0.2353,0.2134,0.1635,0.1605,0.1251,0.2073,0.1863,0.1572,0.1167,0.1747,0.1901,0.2514,0.1282,0.1165,0.1587,0.259,0.1862,0.2268,0.11,0.2181,0.2282,0.1739,0.1673,0.2003,0.189,0.275,0.19,0.21
2011-S2,0.2201,0.1988,0.2366,0.2132,0.0858,0.1813,0.2406,0.2615,0.2142,0.2995,0.2777,0.2672,0.3283,0.2427,0.106,0.1526,0.1112,0.1198,0.2319,0.2486,0.2013,,0.1975,0.1642,0.1609,0.1438,0.1239,0.1852,0.1661,0.2905,0.2503,0.227,0.1731,0.1699,0.1275,0.2113,0.1847,0.1558,0.1201,0.1793,0.1942,0.2568,0.1273,0.1157,0.1444,0.2555,0.2114,0.2575,0.1101,0.2244,0.2225,0.1729,0.1702,0.2037,0.1914,0.2785,0.18,0.21
