date,AT_EUR,AT_PPS,BE_EUR,BE_PPS,BG_EUR,BG_PPS,CY_EUR,CY_PPS,CZ_EUR,CZ_PPS,DE_EUR,DE_PPS,DK_EUR,DK_PPS,EE_EUR,EE_PPS,EL_EUR,EL_PPS,ES_EUR,ES_PPS,EU27_2020_EUR,EU27_2020_PPS,FI_EUR,FI_PPS,FR_EUR,FR_PPS,HR_EUR,HR_PPS,HU_EUR,HU_PPS,IE_EUR,IE_PPS,IT_EUR,IT_PPS,LT_EUR,LT_PPS,LU_EUR,LU_PPS,LV_EUR,LV_PPS,MT_EUR,MT_PPS,NL_EUR,NL_PPS,PL_EUR,PL_PPS,PT_EUR,PT_PPS,RO_EUR,RO_PPS,SE_EUR,SE_PPS,SI_EUR,SI_PPS,SK_EUR,SK_PPS,EU_Median_EUR,EU_Median_PPS
2007-S1,,,,,,,,,0.1144,0.1874,0.2025,0.1978,,,,,,,,,0.1826,,,,,,0.0924,0.1437,,,,,,,,,0.1684,0.1478,,,,,0.1759,0.1665,,,,,,,0.1558,0.1312,,,,,0.16,0.16
2007-S2,0.174,0.1628,0.1683,0.154,0.0721,0.1797,0.1573,0.1802,0.1176,0.1874,0.2105,0.2056,0.2401,0.1763,0.0786,0.1158,0.0984,0.1111,0.14,0.1559,0.1537,,0.1149,0.0991,0.1222,0.111,0.0984,0.1521,0.1296,0.2021,0.1918,0.1624,,,0.087,0.1512,0.1645,0.1444,0.0729,0.1094,0.0918,0.1312,0.1741,0.1648,0.138,0.2262,0.1562,0.1921,0.1141,0.2045,0.1613,0.1366,0.1116,0.1439,0.137,0.2022,0.13,0.16
2008-S1,0.1779,0.163,0.1972,0.1764,0.0711,0.1662,0.178,0.203,0.1401,0.1933,0.2148,0.2067,0.2635,0.1916,0.0814,0.1147,0.1047,0.1167,0.1366,0.1482,0.1604,,0.1223,0.1041,0.1213,0.1074,0.099,0.1468,0.1548,0.2371,0.1769,0.1452,0.2031,0.2011,0.086,0.1366,0.1645,0.1418,0.0842,0.1164,0.0993,0.1385,0.1769,0.1641,0.1259,0.1849,0.1482,0.1783,0.1061,0.1906,0.1698,0.1418,0.1147,0.1413,0.1421,0.2143,0.14,0.16
2008-S2,0.1772,0.1624,0.2152,0.1925,0.0823,0.1925,0.204,0.2326,0.1428,0.1933,0.2195,0.2113,0.2785,0.2024,0.085,0.1198,0.1099,0.1225,0.1557,0.1689,0.1676,,0.1273,0.1084,0.1203,0.1065,0.1184,0.1733,0.1553,0.2341,0.2033,0.1669,0.2227,0.2205,0.0865,0.1373,0.1609,0.1387,0.1003,0.1404,0.1536,0.2142,0.1798,0.1668,0.1295,0.1928,0.1525,0.1835,0.1103,0.1994,0.1746,0.1532,0.1156,0.1424,0.1526,0.2167,0.15,0.17
2009-S1,0.1909,0.1701,0.1916,0.1679,0.0823,0.1841,0.1558,0.1753,0.1455,0.2137,0.2282,0.2121,0.2699,0.193,0.0922,0.1317,0.1154,0.1245,0.1577,0.1672,0.167,,0.1296,0.1079,0.1206,0.1054,0.1151,0.166,0.1483,0.2576,0.203,0.1712,0.2098,0.2025,0.0951,0.1535,0.1882,0.1561,0.1052,0.1544,0.1708,0.2348,0.1979,0.1769,0.1131,0.2043,0.1508,0.1791,0.0976,0.1962,0.1602,0.1468,0.1346,0.1571,0.154,0.2266,0.15,0.17
2009-S2,0.1909,0.1701,0.1864,0.1634,0.0818,0.183,0.1642,0.1847,0.1533,0.2137,0.2294,0.2132,0.2555,0.1826,0.092,0.1314,0.1032,0.1113,0.1684,0.1786,0.1677,,0.1289,0.1074,0.1207,0.1055,0.1164,0.166,0.1662,0.2699,0.1855,0.1564,0.1997,0.1927,0.0926,0.1494,0.1882,0.1561,0.1054,0.1544,0.1513,0.208,0.1906,0.1704,0.1291,0.218,0.1594,0.1893,0.0979,0.1975,0.1646,0.1443,0.1341,0.1565,0.156,0.2296,0.16,0.17
2010-S1,0.1967,0.1784,0.1959,0.1767,0.0813,0.1834,0.1858,0.2094,0.1496,0.2106,0.2375,0.2276,0.267,0.1956,0.097,0.1431,0.1181,0.1285,0.1728,0.1839,0.1725,,0.1325,0.111,0.1283,0.1143,0.1151,0.163,0.1701,0.2812,0.1804,0.1633,0.1965,0.1922,0.1156,0.1954,0.1726,0.1428,0.1049,0.1604,0.1647,0.2255,0.1767,0.1587,0.1341,0.225,0.1584,0.1913,0.1031,0.2052,0.1839,0.1527,0.1401,0.1667,0.152,0.2274,0.16,0.18
2010-S2,0.193,0.1751,0.1974,0.178,0.083,0.1872,0.2021,0.2278,0.1549,0.2106,0.2438,0.2336,0.2708,0.1986,0.1004,0.1481,0.1211,0.1317,0.1851,0.197,0.1777,,0.137,0.1148,0.135,0.1203,0.1153,0.1644,0.1574,0.2672,0.1875,0.1698,0.192,0.1878,0.1216,0.2056,0.1747,0.1446,0.1048,0.1604,0.1653,0.2263,0.1789,0.1607,0.1382,0.2311,0.1666,0.2012,0.1052,0.2156,0.1958,0.1544,0.1426,0.1697,0.1637,0.2449,0.16,0.19
2011-S1,0.1986,0.1794,0.2136,0.1925,0.0826,0.1744,0.205,0.2228,0.1659,0.2275,0.2528,0.2433,0.2908,0.2153,0.0973,0.1401,0.125,0.1347,0.1981,0.2123,0.1858,,0.154,0.128,0.1383,0.1236,0.1137,0.168,0.1682,0.2739,0.1901,0.1724,0.1987,0.195,0.1214,0.2012,0.1678,0.1415,0.1168,0.1749,0.1651,0.2184,0.1802,0.1637,0.1471,0.24,0.1654,0.2014,0.1082,0.2145,0.2092,0.1594,0.1441,0.1725,0.1682,0.2448,0.17,0.19
2011-S2,0.1965,0.1775,0.2119,0.1909,0.0874,0.1847,0.2413,0.2622,0.1627,0.2275,0.2531,0.2435,0.2976,0.22,0.1042,0.15,0.1238,0.1334,0.2088,0.2238,0.1886,,0.1573,0.1308,0.1422,0.1271,0.1146,0.1712,0.1553,0.2716,0.2086,0.1892,0.2065,0.2027,0.1221,0.2023,0.1662,0.1402,0.1342,0.2005,0.1666,0.2203,0.1801,0.1636,0.1351,0.2391,0.1881,0.2291,0.1085,0.221,0.2044,0.1589,0.1492,0.1786,0.171,0.2489,0.17,0.2
