date,AT_EUR,AT_PPS,BE_EUR,BE_PPS,BG_EUR,BG_PPS,CY_EUR,CY_PPS,CZ_EUR,CZ_PPS,DE_EUR,DE_PPS,DK_EUR,DK_PPS,EE_EUR,EE_PPS,EL_EUR,EL_PPS,ES_EUR,ES_PPS,EU27_2020_EUR,EU27_2020_PPS,FI_EUR,FI_PPS,FR_EUR,FR_PPS,HR_EUR,HR_PPS,HU_EUR,HU_PPS,IE_EUR,IE_PPS,IT_EUR,IT_PPS,LT_EUR,LT_PPS,LU_EUR,LU_PPS,LV_EUR,LV_PPS,MT_EUR,MT_PPS,NL_EUR,NL_PPS,PL_EUR,PL_PPS,PT_EUR,PT_PPS,RO_EUR,RO_PPS,SE_EUR,SE_PPS,SI_EUR,SI_PPS,SK_EUR,SK_PPS,EU_Median_EUR,EU_Median_PPS
2007-S1,,,,,,,,,0.0714,0.117,0.18,0.1758,,,,,,,,,0.1592,,,,,,0.0666,0.1035,,,,,,,,,0.1058,0.0929,,,,,0.177,0.1675,,,,,,,0.1241,0.1046,,,,,0.11,0.11
2007-S2,0.149,0.1394,0.1562,0.1429,0.0721,0.1797,0.1586,0.1817,0.0734,0.117,0.1908,0.1864,0.2124,0.1559,0.0652,0.096,0.1401,0.1582,0.1182,0.1317,0.1334,,0.0816,0.0704,0.0997,0.0906,0.0888,0.1374,0.1067,0.1664,0.1469,0.1244,,,0.0785,0.1365,0.1049,0.0921,0.0696,0.1044,0.14,0.2002,,,0.1284,0.2105,0.1429,0.1757,0.1163,0.2084,0.1311,0.111,0.0958,0.1235,0.0845,0.1247,0.12,0.14
2008-S1,0.1514,0.1387,0.1592,0.1424,0.0706,0.165,0.1792,0.2043,0.0941,0.1298,0.1907,0.1835,0.2344,0.1704,0.0669,0.0943,0.136,0.1516,0.1188,0.1289,0.1419,,0.0889,0.0757,0.0993,0.0879,0.088,0.1305,0.1589,0.2432,0.1372,0.1126,0.217,0.2149,0.0753,0.1195,0.1049,0.0904,0.079,0.1093,0.1417,0.1976,,,0.111,0.1631,0.1241,0.1493,0.1052,0.189,0.1349,0.1126,0.1006,0.1239,0.094,0.1418,0.11,0.14
2008-S2,0.1534,0.1406,0.1746,0.1562,0.09,0.2105,0.212,0.2417,0.0959,0.1298,0.197,0.1896,0.2494,0.1813,0.0742,0.1045,0.1705,0.19,0.14,0.1519,0.152,,0.0934,0.0795,0.1055,0.0934,0.1073,0.157,0.1615,0.2434,0.1591,0.1306,0.2335,0.2312,0.0769,0.122,0.1153,0.0994,0.1,0.14,0.1972,0.275,,,0.1167,0.1737,0.1269,0.1527,0.113,0.2044,0.138,0.1211,0.1076,0.1325,0.1048,0.1488,0.12,0.15
2009-S1,0.1572,0.1401,0.1459,0.1279,0.0813,0.1818,0.1628,0.1831,0.0991,0.1456,0.2058,0.1913,0.2403,0.1719,0.078,0.1114,0.1664,0.1794,0.1418,0.1503,0.1596,,0.096,0.08,0.1004,0.0877,0.1043,0.1504,0.133,0.231,0.1612,0.1359,0.2927,0.2825,0.0808,0.1304,0.1393,0.1155,0.1048,0.1538,0.2128,0.2926,0.2577,0.2304,0.1052,0.19,0.1284,0.1525,0.0916,0.1841,0.1289,0.1181,0.1249,0.1458,0.1216,0.1789,0.13,0.15
2009-S2,0.1599,0.1425,0.1365,0.1196,0.0813,0.1818,0.1682,0.1892,0.1044,0.1456,0.2067,0.1921,0.2259,0.1615,0.081,0.1156,0.1439,0.1552,0.1406,0.1491,0.162,,0.0952,0.0793,0.1107,0.0967,0.1082,0.1543,0.1614,0.2622,0.1467,0.1237,0.3111,0.3003,0.0822,0.1327,0.1393,0.1155,0.1049,0.1538,0.2128,0.2926,0.2054,0.1836,0.1171,0.1978,0.1334,0.1585,0.0916,0.1847,0.13,0.1139,0.1176,0.1373,0.1316,0.1937,0.13,0.15
2010-S1,0.157,0.1424,0.1447,0.1305,0.0803,0.1811,0.159,0.1792,0.0987,0.1389,0.2178,0.2087,0.2308,0.1691,0.0842,0.1242,0.1677,0.1824,0.1432,0.1524,0.1638,,0.0975,0.0817,0.1118,0.0996,0.1067,0.1511,0.1614,0.2668,0.14,0.1268,0.2804,0.2743,0.1035,0.1751,0.145,0.12,0.1045,0.1598,0.3983,0.5453,0.2376,0.2135,0.1243,0.2085,0.1372,0.1657,0.0978,0.1946,0.1461,0.1213,0.1209,0.1439,0.1152,0.1724,0.14,0.17
2010-S2,0.1466,0.133,0.1509,0.1361,0.0834,0.1882,0.2028,0.2286,0.1022,0.1389,0.2211,0.2119,0.2346,0.1721,0.0906,0.1336,0.1762,0.1916,0.1543,0.1642,0.1662,,0.1001,0.0839,0.1184,0.1055,0.1068,0.1523,0.1545,0.2623,0.1426,0.1291,0.2732,0.2673,0.1128,0.1908,0.1466,0.1213,0.1043,0.1598,0.3881,0.5313,0.1891,0.1699,0.1301,0.2175,0.1392,0.1681,0.0989,0.2026,0.1538,0.1213,0.1233,0.1467,0.1239,0.1854,0.14,0.17
2011-S1,0.1631,0.1473,0.1666,0.1501,0.0829,0.1751,0.1783,0.1938,0.1113,0.1526,0.2319,0.2231,0.2541,0.1881,0.0851,0.1225,0.126,0.1358,0.1551,0.1662,0.1754,,0.1153,0.0958,0.1245,0.1113,0.1049,0.155,0.1651,0.2689,0.1318,0.1195,0.2866,0.2813,0.1113,0.1843,0.1397,0.1178,0.1209,0.181,0.383,0.5065,0.2436,0.2213,0.139,0.2268,0.1442,0.1756,0.1014,0.2009,0.1633,0.1244,0.1259,0.1507,0.132,0.1921,0.14,0.18
2011-S2,0.1611,0.1455,0.1582,0.1425,0.0866,0.183,0.2415,0.2624,0.1091,0.1526,0.2325,0.2237,0.2607,0.1928,0.0954,0.1373,0.1393,0.1501,0.1791,0.192,0.1771,,0.1181,0.0982,0.1269,0.1134,0.1048,0.1566,0.1497,0.2618,0.1553,0.1408,0.2866,0.2813,0.1106,0.1832,0.1376,0.1161,0.1447,0.2162,0.3681,0.4868,0.1948,0.177,0.129,0.2284,0.1579,0.1923,0.1064,0.2168,0.1577,0.1225,0.1249,0.1495,0.1332,0.1938,0.14,0.18
