date,pumping_gwh
2024-01-01,52.13
2024-02-01,41.62
2024-03-01,62.73
2024-04-01,69.67
2024-05-01,59.77
2024-06-01,54.39
2024-07-01,43.97
2024-08-01,58.14
2024-09-01,74.53
2024-10-01,83.6
2024-11-01,44.26
2024-12-01,49.33
2025-01-01,35.7
2025-02-01,28.32
2025-03-01,94.68
2025-04-01,101.3
2025-05-01,101.43
2025-06-01,90.6
2025-07-01,60.98
2025-08-01,89.88
2025-09-01,80.98
2025-10-01,78.04
2025-11-01,65.37
2025-12-01,25.82
2026-01-01,27.57
2026-02-01,11.14
2026-03-01,16.33
2026-04-01,60.98
2026-05-01,50.74
2026-06-01,38.33
