date,gw_Coal_Greece,gw_Gas_Greece,gw_Hydro_Greece,gw_Solar_Greece,gw_Wind_Greece,twh_Solar_Greece,twh_Wind_Greece,twh_Hydro_Greece,twh_Coal_Greece,twh_Gas_Greece,cf_Solar_Greece,cf_Wind_Greece,cf_Hydro_Greece,cf_Coal_Greece,cf_Gas_Greece
2000,4.95,0.54,3.07,0.0,0.23,0.0,0.45,3.69,34.31,5.92,,0.22334723049434185,0.13720940609522111,0.7912457912457912,1.2514797902925756
2001,4.95,0.54,3.08,0.0,0.27,0.0,0.76,2.1,35.43,6.13,,0.3213258921021478,0.07783312577833125,0.8170748581707485,1.295873499069846
2002,4.95,1.02,3.08,0.0,0.29,0.0,0.65,2.8,34.57,7.06,,0.2558652180758936,0.103777501037775,0.7972418246390849,0.7901334049601575
2003,5.28,1.02,3.08,0.0,0.37,0.0,1.02,4.77,35.17,8.02,,0.31469825990373934,0.17679238569649527,0.7603863982288639,0.8975736413286776
2004,5.28,1.17,3.1,0.0,0.47,0.0,1.12,4.67,35.38,8.99,,0.272029534635189,0.1719693622035646,0.7649266638992666,0.8771416305662882
2005,5.28,1.17,3.11,0.0,0.49,0.0,1.27,5.02,35.54,8.17,,0.29587177336688103,0.1842634600419915,0.7683859139338591,0.7971353861764822
2006,5.28,1.97,3.13,0.0,0.75,0.0,1.7,5.86,32.26,10.61,,0.258751902587519,0.213721971785782,0.6974712882247127,0.6148158449806459
2007,5.28,1.97,3.15,0.01,0.85,0.0,1.82,2.59,34.68,14.16,0.0,0.24442653773838302,0.09386098427194317,0.7497924449979244,0.820527084347403
2008,5.28,2.3,3.18,0.01,1.02,0.01,2.24,3.31,33.36,13.8,0.11415525114155252,0.25069388485988,0.11882197524482352,0.7212536322125362,0.6849315068493151
2009,5.28,2.3,3.2,0.05,1.17,0.05,2.54,5.35,34.19,11.02,0.1141552511415525,0.24782422042696017,0.1908533105022831,0.7391984917669848,0.5469525511216995
2010,5.21,3.16,3.22,0.2,1.3,0.16,2.71,7.47,30.8,9.85,0.091324200913242,0.23796979276431332,0.26482600187186245,0.6748525403377768,0.3558320328304722
2011,4.96,3.6,3.22,0.61,1.64,0.61,3.32,4.01,31.07,14.07,0.1141552511415525,0.23109477670119172,0.142162284806716,0.7150813816467815,0.4461567732115677
2012,4.96,4.04,3.24,1.54,1.75,1.69,3.85,4.39,31.11,13.48,0.12527426910988554,0.2511415525114155,0.1546733186763628,0.7160019885108262,0.3808942538089426
2013,4.92,4.45,3.24,2.58,1.81,3.65,4.14,6.35,26.4,10.88,0.1614987080103359,0.26110648603647924,0.22373019899656124,0.6125403719790623,0.27910317582473965
2014,4.92,4.45,3.39,2.6,1.98,3.79,3.69,4.48,25.75,6.79,0.16640323147172462,0.21274387712743872,0.15086003690683045,0.5974588855477596,0.17418295623621158
2015,4.92,5.26,3.39,2.6,2.09,3.9,4.62,6.1,22.11,9.09,0.17123287671232876,0.2523431867339582,0.20541210382403252,0.5130025615324647,0.19727589978644722
2016,4.38,5.26,3.39,2.6,2.37,3.93,5.15,5.54,18.88,14.97,0.172550052687039,0.24805887906286725,0.18655459921067874,0.4920664706740893,0.3248867128496276
2017,4.38,5.26,3.39,2.55,2.62,3.99,5.54,3.96,18.76,17.13,0.17861939296266455,0.2413817142458782,0.1333494969087162,0.48893892954692353,0.3717641543830408
2018,4.38,5.26,3.41,2.59,2.88,3.79,6.3,5.74,17.19,14.09,0.1670457149909205,0.24971461187214608,0.1921557599860737,0.448020266466504,0.3057884959286074
2019,3.77,5.26,3.41,2.75,3.59,4.43,7.27,4.0,12.12,14.5,0.1838937318389373,0.23117233309166763,0.13390645295196774,0.3669924784709858,0.31468652881226455
2020,3.18,5.26,3.42,3.17,4.12,4.45,9.31,3.34,6.61,19.23,0.16024948504098066,0.25795761847763443,0.1114849528692355,0.23728497171247234,0.4173394447627481
2021,2.53,5.26,3.42,4.07,4.65,5.25,10.48,5.9,5.32,22.49,0.1472518595806267,0.25727893160504733,0.19693449758338008,0.24004187196563612,0.4880896574474365
2022,2.22,5.26,3.42,5.1,4.7,7.14,10.88,3.86,5.76,19.14,0.15981735159817353,0.2642572622170407,0.12884189163929613,0.29618659755646054,0.41538621803218917
2023,2.88,6.09,3.46,6.69,5.23,8.89,10.92,3.82,4.59,15.98,0.15169509456627828,0.23835092590167367,0.1260326761158181,0.1819349315068493,0.2995403798426945
2024,1.99,6.09,3.44,9.27,5.36,11.26,12.45,3.58,3.27,21.53,0.13866107096589875,0.26515538744632994,0.11880110438568547,0.187581744338129,0.4035734904889369
