date,demand_twh_EU,demand_twh_Greece,demand_twh_World,demand_mwh_per_capita_EU,demand_mwh_per_capita_Greece,demand_mwh_per_capita_World
2000,2631.01,52.93,15278.69,6.15,4.91,2.48
2001,2695.56,55.04,15500.42,6.29,5.08,2.48
2002,2729.24,56.26,16049.61,6.35,5.17,2.53
2003,2797.83,59.37,16627.73,6.48,5.44,2.59
2004,2855.72,61.04,17414.66,6.59,5.58,2.68
2005,2891.7,62.51,18133.84,6.65,5.69,2.75
2006,2932.74,63.61,18839.01,6.73,5.77,2.82
2007,2958.32,66.76,19713.95,6.77,6.04,2.92
2008,2971.77,67.79,20102.47,6.78,6.12,2.94
2009,2825.59,64.71,19943.44,6.43,5.83,2.88
2010,2950.4,62.32,21263.61,6.7,5.6,3.03
2011,2909.56,61.68,21971.91,6.59,5.55,3.09
2012,2910.15,61.69,22515.71,6.58,5.58,3.13
2013,2881.8,58.26,23155.24,6.51,5.31,3.18
2014,2818.8,58.44,23747.12,6.36,5.37,3.22
2015,2863.61,60.66,24003.19,6.45,5.61,3.21
2016,2891.95,62.64,24695.32,6.5,5.81,3.27
2017,2918.3,61.04,25441.97,6.55,5.68,3.33
2018,2917.32,58.89,26465.29,6.53,5.49,3.42
2019,2877.27,57.89,26840.51,6.43,5.4,3.44
2020,2766.88,56.37,26729.11,6.18,5.27,3.39
2021,2882.03,57.92,28259.73,6.44,5.48,3.55
2022,2789.91,55.12,28918.24,6.21,5.29,3.61
2023,2703.99,53.74,29665.26,6.0,5.25,3.67
2024,2755.22,56.67,30937.09,6.12,5.64,3.79
2025,2769.63,55.46,,6.17,5.58,
