entity,twh,share,entity_gr
Austria,0.0,0.0,Αυστρία
Belgium,0.0,0.0,Βέλγιο
Bulgaria,11.73,29.29,Βουλγαρία
Croatia,1.33,7.64,Κροατία
Cyprus,0.0,0.0,Κύπρος
Czechia,29.94,39.49,Τσεχία
Denmark,2.53,7.53,Δανία
Estonia,0.0,0.0,Εσθονία
Finland,1.56,1.93,Φινλανδία
France,1.98,0.38,Γαλλία
Germany,124.97,25.17,Γερμανία
Greece,4.59,9.4,Ελλάδα
Hungary,2.49,7.01,Ουγγαρία
Ireland,1.21,3.87,Ιρλανδία
Italy,13.22,5.06,Ιταλια
Latvia,0.0,0.0,Λετονία
Lithuania,0.0,0.0,Λιθουανία
Luxembourg,0.0,0.0,Λουξεμβούργο
Malta,0.0,0.0,Μάλτα
Netherlands,8.71,7.29,Ολλανδία
Poland,98.85,60.13,Πολωνία
Portugal,0.0,0.0,Πορτογαλία
Romania,8.06,14.16,Ρουμανία
Slovakia,1.22,4.13,Σλοβακία
Slovenia,3.14,20.19,Σλοβενία
Spain,3.62,1.3,Ισπανία
Sweden,0.0,0.0,Σουηδία
EU_Median,1.56,3.87,ΕΕ_Διάμεσος
