entity,twh,share,entity_gr
Austria,37.93,51.76,Αυστρία
Belgium,0.49,0.73,Βέλγιο
Bulgaria,2.53,6.66,Βουλγαρία
Croatia,5.78,39.32,Κροατία
Cyprus,0.0,0.0,Κύπρος
Czechia,1.71,2.26,Τσεχία
Denmark,0.02,0.06,Δανία
Estonia,0.03,0.48,Εσθονία
Finland,12.44,15.12,Φινλανδία
France,59.41,10.42,Γαλλία
Germany,19.56,3.91,Γερμανία
Greece,3.42,5.9,Ελλάδα
Hungary,0.23,0.57,Ουγγαρία
Ireland,0.65,2.1,Ιρλανδία
Italy,41.7,15.74,Ιταλια
Latvia,2.97,46.92,Λετονία
Lithuania,0.35,3.94,Λιθουανία
Luxembourg,0.05,3.25,Λουξεμβούργο
Malta,0.0,0.0,Μάλτα
Netherlands,0.05,0.04,Ολλανδία
Poland,1.7,0.99,Πολωνία
Portugal,15.2,29.72,Πορτογαλία
Romania,12.08,24.27,Ρουμανία
Slovakia,3.16,10.86,Σλοβακία
Slovenia,4.06,27.28,Σλοβενία
Spain,32.77,11.38,Ισπανία
Sweden,68.24,40.08,Σουηδία
EU_Median,2.97,5.9,ΕΕ_Διάμεσος
