entity,twh,share,entity_gr
Austria,6.39,9.03,Αυστρία
Cyprus,0.83,15.63,Κύπρος
Poland,11.11,6.76,Πολωνία
Croatia,0.41,2.38,Κροατία
Portugal,5.16,11.17,Πορτογαλία
France,21.82,4.22,Γαλλία
Germany,61.22,12.33,Γερμανία
Greece,8.89,18.21,Ελλάδα
Netherlands,19.58,16.4,Ολλανδία
Italy,30.71,11.74,Ιταλια
Denmark,3.36,9.97,Δανία
Romania,2.23,3.92,Ρουμανία
Malta,0.31,13.19,Μάλτα
Spain,48.59,17.36,Ισπανία
Hungary,6.93,19.51,Ουγγαρία
Finland,0.72,0.88,Φινλανδία
Luxembourg,0.29,20.86,Λουξεμβούργο
Slovenia,0.98,6.3,Σλοβενία
Bulgaria,3.52,8.78,Βουλγαρία
Estonia,0.72,12.31,Εσθονία
Latvia,0.24,3.77,Λετονία
Belgium,7.82,9.51,Βέλγιο
Ireland,0.65,2.07,Ιρλανδία
Lithuania,0.69,13.24,Λιθουανία
Sweden,3.11,1.87,Σουηδία
Slovakia,0.61,2.07,Σλοβακία
Czechia,2.89,3.81,Τσεχία
EU_Median,3.11,9.51,ΕΕ_Διάμεσος
