date,twh_Bioenergy_EU,twh_Coal_EU,twh_Gas_EU,twh_Hydro_EU,twh_Net imports_EU,twh_Nuclear_EU,twh_Other fossil_EU,twh_Other renewables_EU,twh_Solar_EU,twh_Wind_EU,twh_Bioenergy_Greece,twh_Coal_Greece,twh_Gas_Greece,twh_Hydro_Greece,twh_Net imports_Greece,twh_Nuclear_Greece,twh_Other fossil_Greece,twh_Other renewables_Greece,twh_Solar_Greece,twh_Wind_Greece,twh_Bioenergy_World,twh_Coal_World,twh_Gas_World,twh_Hydro_World,twh_Nuclear_World,twh_Other fossil_World,twh_Other renewables_World,twh_Solar_World,twh_Wind_World,share_Bioenergy_EU,share_Coal_EU,share_Gas_EU,share_Hydro_EU,share_Net imports_EU,share_Nuclear_EU,share_Other fossil_EU,share_Other renewables_EU,share_Solar_EU,share_Wind_EU,share_Bioenergy_Greece,share_Coal_Greece,share_Gas_Greece,share_Hydro_Greece,share_Net imports_Greece,share_Nuclear_Greece,share_Other fossil_Greece,share_Other renewables_Greece,share_Solar_Greece,share_Wind_Greece,share_Bioenergy_World,share_Coal_World,share_Gas_World,share_Hydro_World,share_Nuclear_World,share_Other fossil_World,share_Other renewables_World,share_Solar_World,share_Wind_World
2000,30.11,800.33,328.19,350.17,8.84,859.95,226.81,5.29,0.05,21.27,0.0,34.31,5.92,3.69,-0.01,0.0,8.57,0.0,0.0,0.45,154.44,5808.81,2745.57,2629.63,2540.46,1323.96,43.65,1.03,31.14,1.15,30.52,12.52,13.35,0.34,32.8,8.65,0.2,0.0,0.81,0.0,64.81,11.18,6.97,-0.02,0.0,16.19,0.0,0.0,0.85,1.01,38.02,17.97,17.21,16.63,8.67,0.29,0.01,0.2
2001,31.9,792.92,351.41,373.43,-3.35,888.9,229.35,5.09,0.17,25.74,0.08,35.43,6.13,2.1,2.5,0.0,8.04,0.0,0.0,0.76,149.72,5890.67,2914.78,2563.66,2613.17,1284.72,44.15,1.37,38.18,1.18,29.38,13.02,13.84,-0.12,32.94,8.5,0.19,0.01,0.95,0.15,67.43,11.67,4.0,4.76,0.0,15.3,0.0,0.0,1.45,0.97,38.0,18.8,16.54,16.86,8.29,0.28,0.01,0.25
2002,36.8,814.34,374.6,312.6,7.12,902.34,240.85,5.25,0.28,35.06,0.13,34.57,7.06,2.8,2.9,0.0,8.15,0.0,0.0,0.65,162.96,6144.3,3104.81,2611.51,2654.78,1271.49,45.83,1.71,52.22,1.35,29.92,13.76,11.48,0.26,33.15,8.85,0.19,0.01,1.29,0.24,64.79,13.23,5.25,5.43,0.0,15.27,0.0,0.0,1.22,1.02,38.28,19.35,16.27,16.54,7.92,0.29,0.01,0.33
2003,43.16,849.04,418.9,304.64,-2.09,907.18,227.38,5.92,0.4,43.3,0.1,35.17,8.02,4.77,2.09,0.0,8.2,0.0,0.0,1.02,176.51,6574.95,3255.5,2611.9,2601.05,1295.92,46.61,2.1,63.19,1.54,30.32,14.96,10.88,-0.07,32.4,8.12,0.21,0.01,1.55,0.17,61.4,14.0,8.33,3.65,0.0,14.32,0.0,0.0,1.78,1.06,39.54,19.58,15.71,15.64,7.79,0.28,0.01,0.38
2004,52.76,835.42,458.48,323.19,-11.81,928.46,205.03,5.99,0.68,57.52,0.12,35.38,8.99,4.67,2.82,0.0,7.94,0.0,0.0,1.12,192.54,6797.3,3503.08,2802.55,2719.41,1263.28,48.26,2.78,85.46,1.84,29.13,15.99,11.27,-0.41,32.38,7.15,0.21,0.02,2.01,0.21,60.77,15.44,8.02,4.84,0.0,13.64,0.0,0.0,1.92,1.11,39.03,20.12,16.09,15.62,7.25,0.28,0.02,0.49
2005,61.0,808.89,512.54,307.02,7.33,916.08,203.41,5.87,1.48,68.08,0.12,35.54,8.17,5.02,3.78,0.0,8.61,0.0,0.0,1.27,212.86,7167.21,3680.54,2911.71,2726.97,1277.64,48.59,3.94,104.38,2.11,28.04,17.77,10.64,0.25,31.76,7.05,0.2,0.05,2.36,0.2,60.51,13.91,8.55,6.44,0.0,14.66,0.0,0.0,2.16,1.17,39.52,20.3,16.06,15.04,7.05,0.27,0.02,0.58
2006,69.86,816.5,540.05,309.98,0.46,914.44,194.13,6.08,2.52,78.72,0.11,32.26,10.61,5.86,4.2,0.0,8.87,0.0,0.0,1.7,226.7,7566.97,3900.59,3018.02,2761.59,1175.8,50.76,5.41,133.17,2.38,27.85,18.42,10.57,0.02,31.19,6.62,0.21,0.09,2.68,0.19,54.3,17.86,9.86,7.07,0.0,14.93,0.0,0.0,2.86,1.2,40.17,20.7,16.02,14.66,6.24,0.27,0.03,0.71
2007,78.43,828.74,571.96,307.72,10.64,872.24,178.6,6.24,3.83,99.92,0.18,34.68,14.16,2.59,4.36,0.0,8.97,0.0,0.0,1.82,249.26,8051.83,4219.27,3062.72,2703.49,1196.17,52.81,7.28,171.12,2.66,28.11,19.4,10.44,0.36,29.59,6.06,0.21,0.13,3.39,0.29,55.58,22.69,4.15,6.99,0.0,14.38,0.0,0.0,2.92,1.26,40.84,21.4,15.54,13.71,6.07,0.27,0.04,0.87
2008,88.09,757.01,611.65,325.59,12.03,884.73,165.74,6.2,7.51,113.22,0.19,33.36,13.8,3.31,5.61,0.0,9.27,0.0,0.01,2.24,266.33,8074.17,4360.99,3245.28,2694.72,1171.74,56.59,11.84,220.81,2.98,25.58,20.67,11.0,0.41,29.89,5.6,0.21,0.25,3.83,0.31,53.65,22.19,5.32,9.02,0.0,14.91,0.0,0.02,3.6,1.32,40.17,21.69,16.14,13.4,5.83,0.28,0.06,1.1
2009,97.24,703.55,564.03,329.0,17.29,824.92,144.78,5.99,14.22,124.57,0.22,34.19,11.02,5.35,4.37,0.0,6.97,0.0,0.05,2.54,286.47,7950.77,4382.35,3241.2,2656.76,1071.2,58.66,19.81,276.22,3.46,25.05,20.08,11.72,0.62,29.37,5.16,0.21,0.51,4.44,0.36,56.66,18.26,8.87,7.24,0.0,11.55,0.0,0.08,4.21,1.44,39.87,21.97,16.25,13.32,5.37,0.29,0.1,1.39
2010,111.47,701.2,587.36,371.82,4.92,854.47,149.76,6.09,23.49,139.82,0.19,30.8,9.85,7.47,5.71,0.0,5.43,0.0,0.16,2.71,327.14,8458.0,4807.86,3428.15,2725.91,1078.7,59.71,32.21,345.93,3.78,23.81,19.94,12.62,0.17,29.01,5.08,0.21,0.8,4.75,0.34,54.41,17.4,13.2,10.09,0.0,9.59,0.0,0.28,4.79,1.54,39.78,22.61,16.12,12.82,5.07,0.28,0.15,1.63
