date,Diesel Θέρμανσης Κατ ́οίκον,Diesel Κίνησης,Super,Αμόλυβδη 100 οκτ.,Αμόλυβδη 95 οκτ.,Υγραέριο κίνησης (Autogas)
2017-03-14,0.984,1.292,1.646,1.727,1.533,0.859
2017-03-15,0.981,1.29,1.646,1.726,1.53,0.858
2017-03-16,0.979,1.288,1.647,1.723,1.527,0.857
2017-03-17,0.977,1.286,1.65,1.716,1.525,0.857
2017-03-18,,,,,,
2017-03-19,0.975,1.284,1.651,1.716,1.522,0.856
2017-03-20,0.972,1.283,1.651,1.721,1.52,0.855
2017-03-21,0.972,1.281,1.654,1.72,1.519,0.853
2017-03-22,0.97,1.28,1.654,1.719,1.518,0.853
2017-03-23,0.97,1.279,1.643,1.718,1.517,0.852
2017-03-24,0.968,1.277,1.642,1.711,1.516,0.851
2017-03-25,,,,,,
2017-03-26,0.968,1.276,1.639,1.711,1.515,0.85
2017-03-27,0.966,1.275,1.649,1.717,1.514,0.849
2017-03-28,0.965,1.274,1.65,1.717,1.513,0.848
2017-03-29,0.964,1.273,1.654,1.716,1.512,0.847
2017-03-30,0.963,1.272,1.66,1.716,1.512,0.846
2017-03-31,0.962,1.272,1.658,1.71,1.512,0.844
2017-04-01,,,,,,
2017-04-02,0.962,1.271,1.664,1.711,1.512,0.843
2017-04-03,0.961,1.271,1.665,1.716,1.512,0.842
2017-04-04,0.962,1.271,1.659,1.717,1.514,0.842
2017-04-05,0.963,1.272,1.655,1.718,1.516,0.841
2017-04-06,0.963,1.273,1.657,1.718,1.519,0.841
2017-04-07,0.963,1.274,1.66,1.714,1.523,0.841
2017-04-08,,,,,,
2017-04-09,,,,,,
2017-04-10,0.965,1.277,1.667,1.721,1.528,0.841
2017-04-11,0.966,1.279,1.67,1.725,1.533,0.841
2017-04-12,0.968,1.282,1.663,1.727,1.537,0.84
2017-04-13,0.971,1.285,1.654,1.728,1.542,0.84
2017-04-14,0.971,1.286,1.653,1.724,1.544,0.84
2017-04-15,,,,,,
2017-04-16,0.972,1.287,1.654,1.725,1.546,0.84
2017-04-17,0.973,1.288,1.653,1.728,1.547,0.84
2017-04-18,0.973,1.289,1.659,1.732,1.549,0.84
2017-04-19,0.974,1.289,1.659,1.733,1.55,0.84
2017-04-20,0.975,1.29,1.66,1.733,1.551,0.839
2017-04-21,0.975,1.291,1.663,1.727,1.551,0.839
2017-04-22,,,,,,
