date,EL,EU_median
1995Q1,25698.5,17611.699999999997
1995Q2,25955.2,17870.95
1995Q3,26415.9,18126.7
1995Q4,26457.2,18271.35
1996Q1,27049.4,18781.199999999997
1996Q2,28389.0,19250.3
1996Q3,29285.0,19742.35
1996Q4,30019.2,20378.699999999997
1997Q1,30643.9,21333.65
1997Q2,30971.6,21771.75
1997Q3,31853.7,22425.85
1997Q4,32700.2,22645.699999999997
1998Q1,32407.7,22845.75
1998Q2,31052.0,23610.6
1998Q3,32361.2,24512.1
1998Q4,33099.4,24747.1
1999Q1,34444.2,25553.35
1999Q2,34858.0,25948.7
1999Q3,35104.5,26964.5
1999Q4,35612.8,27725.85
2000Q1,35440.1,25644.6
2000Q2,35708.8,26502.3
2000Q3,36058.4,27553.1
2000Q4,36166.7,28426.9
2001Q1,37255.2,30128.2
2001Q2,37630.6,30135.1
2001Q3,38558.3,30825.7
2001Q4,38963.2,30823.2
2002Q1,39645.7,32839.4
2002Q2,40697.0,33269.9
2002Q3,41123.6,34751.9
2002Q4,42282.7,34998.2
2003Q1,43292.5,35152.2
2003Q2,44168.4,35666.2
2003Q3,45387.4,36395.5
2003Q4,46295.0,37090.8
2004Q1,47715.5,37366.9
2004Q2,48261.5,37984.7
2004Q3,49377.3,38191.0
2004Q4,48587.0,38705.8
2005Q1,48858.8,38950.8
2005Q2,49551.1,39566.5
2005Q3,50262.1,39746.0
2005Q4,50822.5,40289.4
2006Q1,53642.7,40650.6
2006Q2,54117.9,41368.3
2006Q3,54701.0,41737.8
2006Q4,55614.9,42503.7
2007Q1,56799.4,43257.6
2007Q2,58230.8,43601.3
2007Q3,58596.2,43893.4
2007Q4,59326.8,44731.1
2008Q1,60579.8,44843.1
2008Q2,60395.3,44898.3
2008Q3,60731.4,44792.0
2008Q4,59891.7,44569.4
2009Q1,58643.2,43163.4
2009Q2,60078.6,43037.8
2009Q3,59149.9,42173.6
2009Q4,59942.7,41340.1
2010Q1,58314.7,41620.2
2010Q2,56800.5,41657.1
2010Q3,55404.7,41964.2
2010Q4,54407.7,42068.0
2011Q1,52703.5,42779.4
2011Q2,51680.3,43350.1
2011Q3,50569.1,42984.1
2011Q4,49143.7,42630.0
2012Q1,48268.6,42750.5
2012Q2,47343.9,41964.4
2012Q3,46708.9,41881.5
2012Q4,46176.3,41699.2
2013Q1,45747.1,42018.0
2013Q2,45314.7,42376.7
2013Q3,44673.4,42900.6
2013Q4,44255.0,43197.0
2014Q1,44351.9,43023.7
2014Q2,44150.4,43081.2
2014Q3,44592.4,43429.3
2014Q4,44341.5,43519.5
2015Q1,44311.0,44311.0
2015Q2,44091.6,44091.6
2015Q3,43650.1,43650.1
2015Q4,44075.9,44075.9
2016Q1,43612.6,43959.8
2016Q2,43759.8,44059.3
2016Q3,43577.4,44484.3
2016Q4,43625.2,44860.5
2017Q1,43907.6,45765.3
2017Q2,44188.2,48055.3
2017Q3,44455.6,49314.3
2017Q4,44313.3,49797.1
2018Q1,44669.1,50526.2
2018Q2,44607.6,51058.0
2018Q3,44778.5,52434.4
2018Q4,45151.3,53264.7
2019Q1,45615.1,53352.9
2019Q2,46184.1,55427.7
2019Q3,45580.7,56408.0
2019Q4,45401.6,57702.6
2020Q1,44727.3,56743.1
2020Q2,38567.3,49453.9
2020Q3,40802.4,54440.4
2020Q4,41819.5,55377.1
2021Q1,42858.5,56513.8
2021Q2,44620.5,59162.0
2021Q3,46151.9,60329.8
2021Q4,48151.4,61487.0
2022Q1,50390.9,65685.0
2022Q2,51550.3,66678.0
2022Q3,51887.6,67882.0
2022Q4,53167.9,68401.0
2023Q1,53963.0,69729.0
