date,EL,EU_median
1995-Q1,38624.1,30188.6
1995-Q2,39045.0,31011.6
1995-Q3,39264.8,30872.2
1995-Q4,39571.8,30895.4
1996-Q1,39513.8,29671.55
1996-Q2,39483.7,29900.35
1996-Q3,39791.6,30034.9
1996-Q4,40035.4,30373.6
1997-Q1,40312.7,30499.9
1997-Q2,40916.8,30704.6
1997-Q3,41518.9,31002.55
1997-Q4,41861.5,31499.05
1998-Q1,42397.3,31347.149999999998
1998-Q2,42509.9,31741.25
1998-Q3,42570.7,31966.6
1998-Q4,42750.8,32136.45
1999-Q1,43099.2,32452.699999999997
1999-Q2,43393.0,32668.65
1999-Q3,43681.8,33077.850000000006
1999-Q4,44394.1,33807.95
2000-Q1,44502.6,30195.5
2000-Q2,45130.8,31302.0
2000-Q3,45870.0,31478.1
2000-Q4,46473.7,32313.4
2001-Q1,47209.8,32740.6
2001-Q2,47100.0,33391.0
2001-Q3,47948.0,32506.6
2001-Q4,48274.1,33556.0
2002-Q1,48718.0,34824.0
2002-Q2,49884.0,34882.0
2002-Q3,50242.7,34833.2
2002-Q4,50675.0,35811.4
2003-Q1,51638.2,35297.7
2003-Q2,52568.3,36109.6
2003-Q3,52943.2,35400.7
2003-Q4,53943.7,38094.7
2004-Q1,55039.2,37853.1
2004-Q2,55118.3,39251.4
2004-Q3,55891.7,38016.5
2004-Q4,55962.1,39640.9
2005-Q1,55499.1,40278.0
2005-Q2,55826.9,41312.4
2005-Q3,56681.5,40040.9
2005-Q4,57024.6,42087.9
2006-Q1,58940.9,42491.5
2006-Q2,59343.5,43043.0
2006-Q3,59731.1,42744.6
2006-Q4,61365.3,43475.5
2007-Q1,61027.8,45180.9
2007-Q2,62614.6,45309.4
2007-Q3,62315.6,43555.7
2007-Q4,61604.5,45667.0
2008-Q1,62466.8,44821.9
2008-Q2,61907.9,43778.8
2008-Q3,61925.3,43206.1
2008-Q4,61496.9,41269.8
2009-Q1,58400.2,41698.4
2009-Q2,59898.6,41816.4
2009-Q3,59694.3,41018.9
2009-Q4,59601.0,40151.3
2010-Q1,58921.7,41591.6
2010-Q2,56386.9,42050.1
2010-Q3,54562.0,42051.6
2010-Q4,54321.6,41602.5
2011-Q1,52377.9,42649.8
2011-Q2,51406.9,43114.1
2011-Q3,50281.2,42315.6
2011-Q4,48023.5,41890.7
2012-Q1,47581.9,41940.3
2012-Q2,46453.1,42634.1
2012-Q3,45781.1,42029.9
2012-Q4,45305.0,41500.6
2013-Q1,44980.1,41648.7
2013-Q2,45034.4,42005.2
2013-Q3,45311.9,41886.9
2013-Q4,45535.4,42407.3
2014-Q1,45441.1,42103.1
2014-Q2,45486.3,42219.6
2014-Q3,45935.2,42264.2
2014-Q4,45586.0,42606.3
2015-Q1,45778.0,42861.7
2015-Q2,45676.4,43096.2
2015-Q3,44735.3,43536.6
2015-Q4,45811.8,43741.0
2016-Q1,45365.5,43887.0
2016-Q2,45341.3,44020.0
2016-Q3,45465.6,44453.1
2016-Q4,45736.2,44799.0
2017-Q1,45817.8,45443.6
2017-Q2,46065.8,46065.8
2017-Q3,46481.2,46481.2
2017-Q4,46131.2,46131.2
2018-Q1,46826.8,46826.8
2018-Q2,46915.8,46915.8
2018-Q3,47044.5,47044.5
2018-Q4,47332.8,47332.8
2019-Q1,47876.3,47876.3
2019-Q2,48321.0,48321.0
2019-Q3,48076.9,48076.9
2019-Q4,48024.9,48397.4
2020-Q1,47084.1,47084.1
2020-Q2,40605.6,41024.7
2020-Q3,43101.1,45008.9
2020-Q4,44199.7,45162.8
2021-Q1,46054.3,46054.3
2021-Q2,46703.3,46703.3
2021-Q3,48073.7,48073.7
2021-Q4,48702.1,48702.1
2022-Q1,49621.3,49621.3
2022-Q2,49716.3,49716.3
2022-Q3,50227.9,50227.9
2022-Q4,50688.1,50251.0
2023-Q1,50703.6,50703.6
2023-Q2,51265.4,51136.5
2023-Q3,51119.2,50467.1
2023-Q4,51464.6,50430.4
2024-Q1,51616.6,50961.2
2024-Q2,52203.1,51137.3
2024-Q3,52357.0,51501.9
2024-Q4,52601.9,51465.2
2025-Q1,52885.8,51838.6
2025-Q2,53110.5,52137.7
2025-Q3,53442.5,52500.1
2025-Q4,53829.2,52869.7
2026-Q1,53960.0,52977.3
