Period,Value
1995-Q1,4707.4
1995-Q2,4696.6
1995-Q3,4832.5
1995-Q4,4920.8
1996-Q1,5128.6
1996-Q2,5405.5
1996-Q3,6054.1
1996-Q4,5529.1
1997-Q1,5758.0
1997-Q2,5774.3
1997-Q3,5991.4
1997-Q4,6494.0
1998-Q1,7147.9
1998-Q2,7358.3
1998-Q3,7327.7
1998-Q4,7764.9
1999-Q1,7894.9
1999-Q2,7987.9
1999-Q3,8204.5
1999-Q4,8579.6
2000-Q1,8449.7
2000-Q2,8951.7
2000-Q3,8772.4
2000-Q4,9097.4
2001-Q1,9298.1
2001-Q2,9501.4
2001-Q3,9415.8
2001-Q4,9511.3
2002-Q1,9371.4
2002-Q2,9490.6
2002-Q3,9371.8
2002-Q4,9788.5
2003-Q1,10608.9
2003-Q2,10407.3
2003-Q3,11086.8
2003-Q4,11273.4
2004-Q1,11639.3
2004-Q2,12017.0
2004-Q3,12300.6
2004-Q4,11285.4
2005-Q1,10579.7
2005-Q2,10467.2
2005-Q3,10084.5
2005-Q4,10480.0
2006-Q1,12378.5
2006-Q2,12683.9
2006-Q3,13123.9
2006-Q4,13355.6
2007-Q1,12072.7
2007-Q2,14854.4
2007-Q3,16803.1
2007-Q4,15006.2
2008-Q1,13923.9
2008-Q2,13837.1
2008-Q3,13687.3
2008-Q4,14151.4
2009-Q1,12420.2
2009-Q2,12264.2
2009-Q3,11640.0
2009-Q4,11664.3
2010-Q1,11105.3
2010-Q2,9640.0
2010-Q3,8633.6
2010-Q4,8354.2
2011-Q1,7518.4
2011-Q2,7218.7
2011-Q3,7359.1
2011-Q4,6154.5
2012-Q1,5944.3
2012-Q2,5977.5
2012-Q3,5407.6
2012-Q4,5505.3
2013-Q1,5261.6
2013-Q2,5287.2
2013-Q3,5006.2
2013-Q4,5020.6
2014-Q1,4910.9
2014-Q2,4598.6
2014-Q3,4888.7
2014-Q4,5288.3
2015-Q1,5513.7
2015-Q2,4922.6
2015-Q3,4239.1
2015-Q4,4952.4
2016-Q1,4942.2
2016-Q2,4930.6
2016-Q3,4960.0
2016-Q4,4994.3
2017-Q1,4690.9
2017-Q2,4746.1
2017-Q3,6431.2
2017-Q4,5405.4
2018-Q1,4940.5
2018-Q2,5959.6
2018-Q3,4728.6
2018-Q4,4791.8
2019-Q1,4965.8
2019-Q2,5085.6
2019-Q3,5194.6
2019-Q4,5081.1
2020-Q1,5150.6
2020-Q2,4974.2
2020-Q3,5372.7
2020-Q4,5190.5
2021-Q1,5706.6
2021-Q2,6096.7
2021-Q3,6623.4
2021-Q4,6905.2
2022-Q1,7531.0
2022-Q2,7759.4
2022-Q3,8281.5
2022-Q4,8978.4
2023-Q1,8795.0
2023-Q2,8656.2
2023-Q3,9158.1
2023-Q4,9065.8
2024-Q1,9278.3
2024-Q2,9369.2
2024-Q3,9390.4
2024-Q4,9825.0
2025-Q1,9425.3
2025-Q2,10214.3
2025-Q3,10555.6
2025-Q4,11464.5
2026-Q1,10831.5
2026-Q2,11047.2
