country,2019,2014,country_gr,country_en
AT,52.2,46.9,Αυστρία,Austria
BE,50.2,47.9,Βέλγιο,Belgium
BG,54.9,52.8,Βουλγαρία,Bulgaria
CY,49.8,46.5,Κύπρος,Cyprus
CZ,60.0,55.4,Τσεχία,Czech Rep.
DE,53.5,50.7,Γερμανία,Germany
DK,50.4,46.0,Δανία,Denmark
EE,56.7,52.3,Εσθονία,Estonia
EL,57.6,55.5,Ελλάδα,Greece
ES,53.7,51.0,Ισπανία,Spain
FI,59.0,53.5,Φινλανδία,Finland
FR,47.2,45.5,Γαλλία,France
HR,64.8,55.8,Κροατία,Croatia
HU,59.9,53.9,Ουγγαρία,Hungary
IE,,54.4,Ιρλανδία,Ireland
IT,45.7,43.8,Ιταλια,Italy
LT,56.8,53.2,Λιθουανία,Lithuania
LU,48.4,46.4,Λουξεμβούργο,Luxembourg
LV,58.3,55.2,Λετονία,Latvia
MT,64.8,59.6,Μάλτα,Malta
NL,50.0,47.7,Ολλανδία,Netherlands
PL,58.1,53.3,Πολωνία,Poland
PT,55.9,52.2,Πορτογαλία,Portugal
RO,58.7,53.9,Ρουμανία,Romania
SE,51.3,47.7,Σουηδία,Sweden
SI,58.1,55.0,Σλοβενία,Slovenia
SK,58.7,53.0,Σλοβακία,Slovakia
