Date,Provisional,Athens,Thessaloniki,Other
1997Q1,FALSE,34.7,29.6,43.4
1997Q2,FALSE,35.7,29.6,44.1
1997Q3,FALSE,36.8,29.9,44.5
1997Q4,FALSE,38.6,32.4,46.7
1998Q1,FALSE,39.9,36.8,48.3
1998Q2,FALSE,42.1,36.8,49.3
1998Q3,FALSE,42.5,36.9,49.8
1998Q4,FALSE,44.1,37.5,51
1999Q1,FALSE,45.2,37.9,51.5
1999Q2,FALSE,46.8,38.7,52.4
1999Q3,FALSE,47.6,39.3,52.7
1999Q4,FALSE,49.6,40.1,53.5
2000Q1,FALSE,51.7,40.4,53.9
2000Q2,FALSE,53.5,41.2,55.1
2000Q3,FALSE,54.9,42.6,55.8
2000Q4,FALSE,57.7,44.3,57
2001Q1,FALSE,60.5,45.3,59.5
2001Q2,FALSE,63.6,46.7,60.7
2001Q3,FALSE,65.3,47.6,61.7
2001Q4,FALSE,66.8,50.4,63.2
2002Q1,FALSE,70.7,52.1,65.3
2002Q2,FALSE,76,52.6,67.1
2002Q3,FALSE,75,53.3,68.7
2002Q4,FALSE,76,54.7,71.2
2003Q1,FALSE,78.4,55.3,71.8
2003Q2,FALSE,76.9,55.8,72.4
2003Q3,FALSE,76.9,57.4,73.3
2003Q4,FALSE,77.3,58.4,74.6
2004Q1,FALSE,76.6,59.2,74.9
2004Q2,FALSE,76.4,60.2,75.7
2004Q3,FALSE,77.1,61.3,76.3
2004Q4,FALSE,80.1,62.2,76.8
2005Q1,FALSE,81.7,70.5,79.1
2005Q2,FALSE,83.6,75.7,81.2
2005Q3,FALSE,84.5,78.4,84.6
2005Q4,FALSE,87.3,82.7,86.8
2006Q1,FALSE,91.2,86.7,89.5
2006Q2,FALSE,93.7,91,91.8
2006Q3,FALSE,94.1,95.4,95.3
2006Q4,FALSE,97.6,100.7,99.5
2007Q1,FALSE,99,99.1,97.9
2007Q2,FALSE,98.9,99.7,100.2
2007Q3,FALSE,100.7,99.9,100.8
2007Q4,FALSE,101.4,101.4,101
2008Q1,FALSE,101.3,101.6,102.2
2008Q2,FALSE,101.4,100.9,100.9
2008Q3,FALSE,100.3,100.7,102.6
2008Q4,FALSE,100.6,102.7,101.5
2009Q1,FALSE,97,95.4,98.9
2009Q2,FALSE,96.7,94.5,99.1
2009Q3,FALSE,94.9,95.8,98.4
2009Q4,FALSE,96.4,95.9,99.5
2010Q1,FALSE,96,92,96.7
2010Q2,FALSE,94.8,88.9,94.5
2010Q3,FALSE,91.1,86.4,92
2010Q4,FALSE,90.8,86.2,91.8
2011Q1,FALSE,90,84.9,92.5
2011Q2,FALSE,88.3,85.2,90.9
2011Q3,FALSE,87,80.8,89
2011Q4,FALSE,83.5,78.7,87.2
2012Q1,FALSE,80.9,73.8,83.4
2012Q2,FALSE,78.2,73.4,82
2012Q3,FALSE,75.9,69,79
2012Q4,FALSE,72.7,68.6,76.6
2013Q1,FALSE,70.4,68.2,74
2013Q2,FALSE,67.9,65.4,72.5
2013Q3,FALSE,67.1,62.6,71.3
2013Q4,FALSE,64.4,62.8,69.7
2014Q1,FALSE,62.6,62.3,68
2014Q2,FALSE,60.8,61.2,67.9
2014Q3,FALSE,61.1,59.5,66.8
2014Q4,FALSE,60,58.9,65.9
2015Q1,FALSE,59.4,59.4,65.7
2015Q2,FALSE,57.9,58.1,64.1
2015Q3,FALSE,57.2,56,63
2015Q4,FALSE,57,55.5,62.6
2016Q1,FALSE,57.2,55.9,63
2016Q2,FALSE,56.9,55.2,62.5
2016Q3,FALSE,56.6,54.8,61.9
2016Q4,FALSE,56.5,55.1,62
2017Q1,FALSE,56.1,54.5,61.8
2017Q2,FALSE,56.3,54.6,61.5
2017Q3,FALSE,56.2,54.1,61.6
2017Q4,FALSE,56.3,54.7,61.7
2018Q1,FALSE,56.5,54.6,61.9
2018Q2,FALSE,57.3,54.9,62.1
2018Q3,FALSE,58.3,54.8,62.1
2018Q4,FALSE,59.1,56.1,62.6
2019Q1,FALSE,61.1,58.1,63.4
2019Q2,FALSE,63.8,59.1,64.6
2019Q3,FALSE,65,59,65.4
2019Q4,FALSE,65.9,59.4,64.4
2020Q1,FALSE,67.7,61.3,64.4
2020Q2,FALSE,68.4,62,64.5
2020Q3,FALSE,69.4,62,65.3
2020Q4,FALSE,70,62,64.2
2021Q1,FALSE,72.5,64.3,65.8
2021Q2,FALSE,74.8,65.7,67.7
2021Q3,FALSE,76.9,67.9,69.7
2021Q4,FALSE,78.2,68,70.1
2022Q1,FALSE,80.9,70.7,72
2022Q2,FALSE,84.1,73.2,74.7
2022Q3,FALSE,88.1,76.7,77.6
2022Q4,FALSE,91.3,79,79.1
2023Q1,FALSE,95,82.9,82.8
2023Q2,TRUE,96.6,86.2,86.6
2023Q3,TRUE,99.1,89,88.7
2023Q4,TRUE,101.3,90.9,90.7
2024Q1,TRUE,103.9,93,91.3
