Year,Provisional,Total,New_LT5Y,Old_O5Y
2006,FALSE,94.4,93.3,95.1
2007,FALSE,100,100,100
2008,FALSE,101.7,102.3,101.3
2009,FALSE,97.9,100.2,96.5
2010,FALSE,93.3,96,91.7
2011,FALSE,88.2,91.2,86.4
2012,FALSE,78,80.1,76.6
2013,FALSE,69.5,71.4,68.3
2014,FALSE,64.3,66.8,62.8
2015,FALSE,61.1,63,59.8
2016,FALSE,59.6,61.2,58.6
2017,FALSE,59,60.7,57.9
2018,FALSE,60.1,61.9,58.9
2019,FALSE,64.4,66.7,63
2020,FALSE,67.3,70,65.6
2021,FALSE,72.4,75.7,70.4
2022,FALSE,81.1,85.1,78.5
2023,FALSE,92.3,96.1,89.9
2024,TRUE,100.4,105.8,96.9
