Year,Provisional,Athens,Thessaloniki,Other
1993,False,24.5,25.0,32.2
1994,False,26.8,25.4,34.6
1995,False,29.2,26.8,37.5
1996,False,32.5,28.8,41.5
1997,False,36.5,30.4,44.7
1998,False,42.2,37.0,49.6
1999,False,47.3,39.0,52.5
2000,False,54.5,42.1,55.5
2001,False,64.0,47.5,61.3
2002,False,74.4,53.2,68.1
2003,False,77.4,56.7,73.0
2004,False,77.6,60.7,75.9
2005,False,84.3,76.8,82.9
2006,False,94.2,93.4,94.0
2007,False,100.0,100.0,100.0
2008,False,100.9,101.5,101.8
2009,False,96.3,95.4,99.0
2010,False,93.2,88.4,93.7
2011,False,87.2,82.4,89.9
2012,False,76.9,71.2,80.3
2013,False,67.5,64.7,71.9
2014,False,61.1,60.5,67.2
2015,False,57.9,57.2,63.8
2016,False,56.8,55.3,62.3
2017,False,56.2,54.5,61.6
2018,False,57.8,55.1,62.2
2019,False,63.9,58.9,64.5
2020,False,68.9,61.8,64.6
2021,False,75.6,66.5,68.3
2022,True,86.0,74.8,75.6
