Country,Household_NPI_Savings_Rate_2023,Country_Code
Αυστρία,14.91,AT
Βέλγιο,14.13,BE
Βουλγαρία,,BG
Κύπρος,9.85,CY
Τσεχία,19.44,CZ
Γερμανία,19.29,DE
Δανία,9.67,DK
Εσθονία,3.1,EE
Ελλάδα,-1.93,EL
Ισπανία,12.05,ES
E.E.,13.26,EU27_2020
Φινλανδία,10.69,FI
Γαλλία,16.52,FR
Κροατία,11.22,HR
Ουγγαρία,19.97,HU
Ιρλανδία,13.61,IE
Ιταλια,11.19,IT
Λιθουανία,6.82,LT
Λουξεμβούργο,8.77,LU
Λετονία,5.39,LV
Μάλτα,11.42,MT
Ολλανδία,14.55,NL
Πολωνία,2.41,PL
Πορτογαλία,8.31,PT
Ρουμανία,-6.76,RO
Σουηδία,16.21,SE
Σλοβενία,14.26,SI
Σλοβακία,7.41,SK
