Country,Household_NPI_Savings_Rate_2025,Country_Code,Country_En
Αυστρία,,AT,Austria
Βέλγιο,,BE,Belgium
Βουλγαρία,,BG,Bulgaria
Κύπρος,,CY,Cyprus
Τσεχία,,CZ,Czech Republic
Γερμανία,19.24,DE,Germany
Δανία,14.32,DK,Denmark
Εσθονία,,EE,Estonia
Ελλάδα,,EL,Greece
Ισπανία,,ES,Spain
E.E.,14.16,EU27_2020,E.U.
Φινλανδία,12.42,FI,Finland
Γαλλία,,FR,France
Κροατία,,HR,Croatia
Ουγγαρία,,HU,Hungary
Ιρλανδία,,IE,Ireland
Ιταλια,11.01,IT,Italy
Λιθουανία,,LT,Lithuania
Λουξεμβούργο,,LU,Luxembourg
Λετονία,,LV,Latvia
Μάλτα,,MT,Malta
Ολλανδία,17.32,NL,Netherlands
Πολωνία,,PL,Poland
Πορτογαλία,12.27,PT,Portugal
Ρουμανία,1.81,RO,Romania
Σουηδία,16.13,SE,Sweden
Σλοβενία,,SI,Slovenia
Σλοβακία,,SK,Slovakia
