date,Greece,EU_Total,EU_Median
1949,,,16.34
1950,,,15.48
1951,,,14.52
1952,,,14.83
1953,,,13.02
1954,,,15.26
1955,,,16.47
1956,,,13.98
1957,,,14.79
1958,,,15.27
1959,,,13.55
1960,,,15.86
1961,,,15.03
1962,,,17.22
1963,,,16.69
1964,,,16.66
1965,,,17.43
1966,,,17.67
1967,,,18.25
1968,,,18.43
1969,,,17.19
1970,,,19.15
1971,,,18.87
1972,,,19.05
1973,,,19.4
1974,,,19.84
1975,,,14.669999999999998
1976,,,12.309999999999999
1977,,,11.935
1978,,,13.389999999999999
1979,,,12.715
1980,,,13.295
1981,,,12.725000000000001
1982,,,12.23
1983,,,12.605
1984,,,11.445
1985,,,10.735
1986,,,9.87
1987,,,9.55
1988,,,8.215
1989,,,9.075
1990,,,10.94
1991,,,13.344999999999999
1992,,,14.765
1993,,,13.780000000000001
1994,,,10.705
1995,15.68,,13.87
1996,14.6,,12.7
1997,10.37,,12.78
1998,9.08,,10.76
1999,9.99,13.16,9.99
2000,9.3,12.71,10.3
2001,7.35,13.29,10.59
2002,8.73,13.21,8.73
2003,10.59,13.32,9.11
2004,10.7,13.0,9.43
2005,6.78,12.32,9.27
2006,10.42,12.18,8.55
2007,8.94,11.81,8.36
2008,9.17,12.38,8.92
2009,11.12,13.66,11.68
2010,4.99,12.66,11.07
2011,0.98,12.15,9.9
2012,-3.37,11.61,8.67
2013,-5.33,11.68,9.01
2014,-3.48,11.6,8.41
2015,-1.63,11.48,8.4
2016,-2.24,11.73,10.44
2017,-4.26,11.58,9.59
2018,-7.01,11.57,10.63
2019,-2.42,12.21,10.42
2020,0.65,18.28,16.37
2021,4.43,16.23,14.76
2022,-4.99,12.74,11.09
2023,-2.44,13.55,11.745000000000001
2024,-2.51,14.47,12.635
