Country,Household_Savings_Rate_2024,Country_Code,Country_En
Αυστρία,,AT,Austria
Βέλγιο,,BE,Belgium
Βουλγαρία,,BG,Bulgaria
Κύπρος,,CY,Cyprus
Τσεχία,20.29,CZ,Czech Republic
Γερμανία,,DE,Germany
Δανία,14.2,DK,Denmark
Εσθονία,,EE,Estonia
Ελλάδα,,EL,Greece
Ισπανία,,ES,Spain
Φινλανδία,12.0,FI,Finland
Γαλλία,,FR,France
Κροατία,,HR,Croatia
Ουγγαρία,,HU,Hungary
Ιρλανδία,,IE,Ireland
Ιταλια,11.96,IT,Italy
Λιθουανία,,LT,Lithuania
Λουξεμβούργο,,LU,Luxembourg
Λετονία,,LV,Latvia
Μάλτα,,MT,Malta
Ολλανδία,16.84,NL,Netherlands
Πολωνία,,PL,Poland
Πορτογαλία,,PT,Portugal
Ρουμανία,-1.31,RO,Romania
Σουηδία,17.93,SE,Sweden
Σλοβενία,,SI,Slovenia
Σλοβακία,6.03,SK,Slovakia
