date,Greece,EU_Median
1949,,15.27
1950,,14.52
1951,,13.85
1952,,14.49
1953,,12.75
1954,,14.79
1955,,15.93
1956,,13.54
1957,,14.57
1958,,15.24
1959,,14.01
1960,,16.18
1961,,15.41
1962,,17.73
1963,,17.23
1964,,17.14
1965,,17.9
1966,,18.13
1967,,18.62
1968,,18.79
1969,,17.54
1970,,19.68
1971,,19.52
1972,,19.88
1973,,20.25
1974,,20.54
1975,,21.48
1976,,19.28
1977,,19.31
1978,,20.83
1979,,18.55
1980,,17.87
1981,,17.33
1982,,16.23
1983,,15.58
1984,,14.15
1985,,13.26
1986,,12.53
1987,,11.25
1988,,11.24
1989,,11.38
1990,,12.56
1991,,13.1
1992,,14.14
1993,,14.54
1994,,13.57
1995,16.07,14.11
1996,14.93,12.73
1997,10.78,12.67
1998,9.48,10.79
1999,10.41,10.59
2000,9.69,10.62
2001,7.76,10.97
2002,9.15,9.15
2003,11.06,9.52
2004,11.18,9.26
2005,7.23,8.6
2006,10.92,8.55
2007,9.38,8.84
2008,9.57,8.49
2009,11.67,11.67
2010,6.9,10.535
2011,1.7,9.665
2012,-2.28,8.52
2013,-4.06,8.55
2014,0.26,8.64
2015,-0.36,8.75
2016,-0.57,10.38
2017,-1.66,9.35
2018,-5.63,10.72
2019,-1.32,10.52
2020,1.76,16.81
2021,5.58,15.31
2022,-2.27,11.45
2023,-0.89,11.86
2024,,13.1
