year,Αυστρία,Βέλγιο,Βουλγαρία,Γαλλία,Γερμανία,Δανία,Ελλάδα,Εσθονία,Ιρλανδία,Ισπανία,Ιταλια,Κροατία,Κύπρος,Λετονία,Λιθουανία,Λουξεμβούργο,Μάλτα,Ολλανδία,Ουγγαρία,Πολωνία,Πορτογαλία,Ρουμανία,Σλοβακία,Σλοβενία,Σουηδία,Τσεχία,Φινλανδία
2014,27.6,25.9,35.4,29.2,30.7,27.7,34.5,35.6,31.0,34.7,32.4,30.2,34.8,35.5,35.0,28.7,27.7,26.2,28.6,30.8,34.5,35.0,26.1,25.0,26.9,25.1,25.6
2015,27.2,26.2,37.0,29.2,30.1,27.4,34.2,34.8,29.7,34.6,32.4,30.4,33.6,35.4,37.9,28.5,28.1,26.7,28.2,30.6,34.0,37.4,23.7,24.5,26.7,25.0,25.2
2016,27.2,26.3,37.7,29.3,29.5,27.7,34.3,32.7,29.6,34.5,33.1,29.8,32.1,34.5,37.0,29.6,28.6,26.9,28.2,29.8,33.9,34.7,24.3,24.4,27.6,25.1,25.4
2017,27.9,26.1,40.2,28.8,29.1,27.6,33.4,31.6,30.6,34.1,32.7,29.9,30.8,34.5,37.6,29.2,28.2,27.1,28.1,29.2,33.5,33.1,23.2,23.7,28.0,24.5,25.3
2018,26.8,25.7,39.6,28.5,31.1,27.8,32.3,30.6,28.9,33.2,33.4,29.7,29.1,35.6,36.9,31.3,28.7,27.4,28.7,27.8,32.1,35.1,20.9,23.4,27.0,24.0,25.9
2019,27.5,25.1,40.8,29.2,29.7,27.5,31.0,30.5,28.0,33.0,32.8,29.2,31.5,35.2,35.4,32.3,28.0,26.8,26.8,28.5,31.9,34.8,22.8,23.9,27.6,24.0,26.2
2020,27.0,25.3,40.0,29.2,30.5,27.3,31.4,30.5,27.6,32.1,32.5,28.3,29.3,34.5,35.1,31.2,30.3,28.2,28.2,27.2,31.2,33.8,20.9,23.5,26.9,24.2,26.5
2021,26.7,24.1,39.7,29.3,31.2,27.0,32.4,30.6,26.6,33.0,32.9,29.2,29.3,35.7,35.4,29.6,31.2,26.4,27.4,26.8,33.0,34.3,21.8,23.0,26.8,24.8,25.7
2022,27.8,24.7,38.4,29.8,29.0,27.7,31.4,31.9,26.9,32.0,32.7,28.5,29.0,34.3,36.2,29.1,31.1,26.3,26.9,26.3,32.0,32.0,21.2,23.1,27.6,24.8,26.6
2023,28.1,24.3,37.2,29.7,29.4,28.2,31.8,31.8,27.4,31.5,31.5,29.7,29.3,34.0,35.7,30.6,33.0,26.5,28.6,27.0,33.7,31.0,21.6,23.4,29.5,24.4,26.6
2024,28.4,24.6,38.4,30.0,29.5,28.6,31.8,30.8,26.4,31.2,32.2,29.8,30.1,34.2,35.3,30.1,30.8,25.9,28.0,26.0,31.9,28.0,21.7,23.8,27.6,23.7,26.1
2025,,23.4,37.7,,30.2,,,30.9,,30.8,,,,35.6,,,,,,,,27.3,,24.6,,24.0,27.1
