year,D1,D2,D3,D4,D5,D6,D7,D8,D9,P1,P2,P3,P4,P5,P95,P96,P97,P98,P99,Q1,Q2,Q3,QU1,QU2,QU3,QU4
1995,2073.0,2986.0,3743.0,4467.0,5208.0,6080.0,7138.0,8645.0,11130.0,,,,,,,,,,,3370.0,5208.0,7851.0,2986.0,4467.0,6080.0,8645.0
1996,2230.0,3177.0,3961.0,4631.0,5466.0,6337.0,7547.0,9046.0,11439.0,,,,,,,,,,,3617.0,5466.0,8214.0,3177.0,4631.0,6337.0,9046.0
1997,2338.0,3346.0,4246.0,5018.0,5891.0,6933.0,8143.0,9839.0,12702.0,,,,,,,,,,,3823.0,5891.0,9001.0,3346.0,5018.0,6933.0,9839.0
1998,2672.0,3758.0,4655.0,5562.0,6412.0,7571.0,8982.0,10806.0,13577.0,,,,,,,,,,,4263.0,6412.0,9945.0,3758.0,5562.0,7571.0,10806.0
1999,2701.0,3749.0,4622.0,5521.0,6350.0,7408.0,8639.0,10573.0,13322.0,,,,,,,,,,,4202.0,6350.0,9403.0,3749.0,5521.0,7408.0,10573.0
2000,2920.0,4171.0,5101.0,5968.0,6923.0,7949.0,9514.0,11477.0,14411.0,,,,,,,,,,,4601.0,6923.0,10495.0,4171.0,5968.0,7949.0,11477.0
2001,3041.0,4218.0,5119.0,6029.0,7107.0,8267.0,9754.0,11619.0,14537.0,,,,,,,,,,,4646.0,7107.0,10594.0,4218.0,6029.0,8267.0,11619.0
2003,3425.0,4849.0,5899.0,6967.0,8206.0,9454.0,11042.0,13203.0,16927.0,820.0,1443.0,1931.0,2150.0,2450.0,21199.0,23144.0,25440.0,29362.0,36000.0,5412.0,8206.0,12040.0,4849.0,6967.0,9454.0,13203.0
2004,4000.0,5322.0,6438.0,7572.0,8844.0,10234.0,12095.0,14230.0,17778.0,0.0,1667.0,2333.0,2656.0,3009.0,21867.0,22928.0,24775.0,27280.0,33444.0,5908.0,8844.0,13067.0,5322.0,7572.0,10234.0,14230.0
2005,4338.0,5707.0,7067.0,8216.0,9417.0,10833.0,12833.0,15392.0,19727.0,667.0,1888.0,2552.0,2870.0,3220.0,24222.0,25900.0,28158.0,32688.0,38400.0,6413.0,9417.0,13890.0,5707.0,8216.0,10833.0,15392.0
2006,4348.0,5820.0,7146.0,8409.0,9850.0,11333.0,13192.0,15920.0,20150.0,1429.0,2125.0,2694.0,3095.0,3449.0,25580.0,27565.0,31048.0,36000.0,43108.0,6540.0,9850.0,14359.0,5820.0,8409.0,11333.0,15920.0
2007,4507.0,6071.0,7405.0,8710.0,10200.0,11665.0,13675.0,16540.0,20956.0,979.0,2067.0,2667.0,3103.0,3411.0,26088.0,27840.0,31182.0,38119.0,45855.0,6718.0,10200.0,15000.0,6071.0,8710.0,11665.0,16540.0
2008,4859.0,6452.0,8022.0,9500.0,10800.0,12619.0,14398.0,17279.0,21667.0,700.0,2174.0,2928.0,3600.0,3890.0,26926.0,28608.0,30957.0,35685.0,47778.0,7280.0,10800.0,15680.0,6452.0,9500.0,12619.0,17279.0
2009,5280.0,7007.0,8680.0,10025.0,11496.0,13157.0,15240.0,18184.0,22576.0,1200.0,2467.0,3217.0,3733.0,4000.0,27649.0,29867.0,32431.0,38571.0,52300.0,8000.0,11496.0,16625.0,7007.0,10025.0,13157.0,18184.0
2010,5500.0,7148.0,8853.0,10333.0,11963.0,13908.0,15822.0,18602.0,23333.0,1467.0,2667.0,3250.0,3587.0,4044.0,29734.0,31929.0,36576.0,41429.0,52619.0,7976.0,11963.0,17000.0,7148.0,10333.0,13908.0,18602.0
2011,4762.0,6368.0,7886.0,9240.0,10985.0,12750.0,14600.0,17203.0,21646.0,87.0,1625.0,2487.0,3000.0,3377.0,26771.0,28800.0,31467.0,35500.0,44567.0,7176.0,10985.0,15809.0,6368.0,9240.0,12750.0,17203.0
2012,3679.0,5293.0,6595.0,8000.0,9513.0,10835.0,12399.0,14647.0,18057.0,-133.0,475.0,1429.0,1981.0,2309.0,22210.0,23743.0,25443.0,29691.0,41620.0,5944.0,9513.0,13489.0,5293.0,8000.0,10835.0,14647.0
2013,3172.0,4667.0,5695.0,6870.0,8371.0,9350.0,10735.0,12693.0,15840.0,312.0,863.0,1288.0,1680.0,2079.0,19444.0,21008.0,22833.0,25600.0,32613.0,5250.0,8371.0,11692.0,4667.0,6870.0,9350.0,12693.0
2014,3000.0,4357.0,5490.0,6428.0,7680.0,8793.0,10147.0,12171.0,15512.0,800.0,1225.0,1554.0,1824.0,2065.0,18767.0,20003.0,21786.0,24167.0,32633.0,4988.0,7680.0,11000.0,4357.0,6428.0,8793.0,12171.0
