date,EL,EU,EL_index_2015,EU_index_2015
1997-01-01,3.3,,41.35,
1997-02-01,2.4,,40.99,
1997-03-01,0.9,,41.11,
1997-04-01,-0.6,,41.05,
1997-05-01,-7.4,,41.09,
1997-06-01,-6.0,,41.14,
1997-07-01,-6.4,,40.99,
1997-08-01,-5.4,,41.66,
1997-09-01,-7.1,,41.65,
1997-10-01,-5.1,,41.75,
1997-11-01,1.1,,41.47,
1997-12-01,-0.3,,40.95,
1998-01-01,-2.2,,40.44,
1998-02-01,-1.9,,40.23,
1998-03-01,-2.1,,40.25,
1998-04-01,-0.2,,40.95,
1998-05-01,-0.2,,41.01,
1998-06-01,-0.6,,40.89,
1998-07-01,0.4,,41.15,
1998-08-01,-1.4,,41.09,
1998-09-01,-1.8,,40.89,
1998-10-01,-6.2,,39.16,
1998-11-01,-8.2,,38.07,
1998-12-01,-8.8,,37.36,
1999-01-01,-9.7,,36.52,
1999-02-01,-9.5,,36.39,
1999-03-01,-7.8,,37.13,
1999-04-01,-5.4,,38.73,
1999-05-01,-4.5,,39.15,
1999-06-01,-4.4,,39.1,
1999-07-01,-3.5,,39.73,
1999-08-01,-2.5,,40.05,
1999-09-01,-1.9,,40.11,
1999-10-01,2.7,,40.21,
1999-11-01,7.6,,40.98,
1999-12-01,11.2,,41.56,
2000-01-01,13.6,,41.49,
2000-02-01,17.9,,42.89,
2000-03-01,21.4,,45.06,
2000-04-01,13.8,,44.07,
2000-05-01,15.6,,45.24,
2000-06-01,19.8,,46.85,
2000-07-01,16.9,,46.44,
2000-08-01,13.5,,45.46,
2000-09-01,16.3,,46.65,
2000-10-01,22.3,,49.19,
2000-11-01,22.8,,50.33,
2000-12-01,13.8,,47.3,59.63
2001-01-01,6.0,,43.99,58.88
2001-02-01,6.5,,45.69,59.58
2001-03-01,0.6,,45.32,59.55
2001-04-01,5.9,,46.69,60.18
2001-05-01,6.5,,48.2,61.26
2001-06-01,-0.3,,46.71,61.11
2001-07-01,-2.0,,45.49,60.33
2001-08-01,-0.6,,45.19,60.12
2001-09-01,-1.7,,45.84,60.7
2001-10-01,-10.5,,44.03,59.78
2001-11-01,-15.3,,42.65,59.32
2001-12-01,-11.8,-1.4,41.72,58.8
2002-01-01,-3.7,1.0,42.36,59.48
2002-02-01,-6.6,0.2,42.67,59.67
2002-03-01,-3.0,1.2,43.97,60.28
2002-04-01,-1.4,2.1,46.04,61.47
2002-05-01,-4.9,0.0,45.83,61.28
2002-06-01,-3.0,-0.6,45.31,60.77
2002-07-01,-0.2,1.2,45.4,61.06
2002-08-01,1.5,1.9,45.89,61.28
2002-09-01,0.5,1.9,46.07,61.84
2002-10-01,4.9,4.1,46.19,62.22
2002-11-01,4.5,3.6,44.57,61.47
2002-12-01,9.9,4.8,45.83,61.64
2003-01-01,11.1,6.7,47.08,63.49
2003-02-01,14.5,8.2,48.87,64.58
2003-03-01,12.0,8.2,49.26,65.25
2003-04-01,-0.6,3.5,45.78,63.65
2003-05-01,-2.1,2.0,44.89,62.49
2003-06-01,-0.3,2.7,45.18,62.4
2003-07-01,1.3,3.0,45.99,62.87
2003-08-01,1.7,3.5,46.67,63.45
2003-09-01,1.3,2.9,46.68,63.65
2003-10-01,1.4,2.1,46.85,63.53
2003-11-01,5.2,3.2,46.9,63.46
2003-12-01,-0.2,2.8,45.76,63.37
2004-01-01,-1.4,1.2,46.42,64.23
2004-02-01,-5.5,-0.5,46.19,64.26
2004-03-01,-2.9,-0.4,47.83,64.99
2004-04-01,7.1,3.1,49.01,65.6
2004-05-01,12.4,7.4,50.47,67.1
2004-06-01,9.8,6.8,49.59,66.67
2004-07-01,8.4,6.8,49.85,67.12
2004-08-01,7.8,7.1,50.3,67.96
2004-09-01,7.5,6.8,50.18,67.98
2004-10-01,13.3,9.7,53.07,69.71
2004-11-01,12.7,8.9,52.86,69.09
2004-12-01,8.9,7.3,49.84,68.0
2005-01-01,7.9,6.3,50.09,68.29
2005-02-01,12.1,7.5,51.78,69.08
2005-03-01,13.4,8.3,54.24,70.4
2005-04-01,14.7,9.8,56.22,72.04
2005-05-01,10.8,6.9,55.94,71.71
2005-06-01,14.9,9.0,56.97,72.7
2005-07-01,15.0,11.1,57.32,74.58
2005-08-01,15.8,11.1,58.23,75.48
2005-09-01,18.8,14.0,59.6,77.52
2005-10-01,13.6,11.6,60.28,77.77
2005-11-01,9.3,9.8,57.79,75.87
2005-12-01,16.6,10.8,58.13,75.31
2006-01-01,18.6,12.7,59.4,76.99
2006-02-01,14.4,11.8,59.23,77.22
2006-03-01,11.8,10.1,60.63,77.53
2006-04-01,12.3,10.5,63.13,79.61
2006-05-01,14.3,12.1,63.96,80.42
2006-06-01,12.0,10.6,63.82,80.38
2006-07-01,14.7,9.1,65.77,81.38
2006-08-01,12.3,8.2,65.39,81.65
2006-09-01,4.1,2.4,62.05,79.38
2006-10-01,-0.6,0.4,59.9,78.09
2006-11-01,1.2,2.6,58.48,77.83
2006-12-01,1.1,3.4,58.76,77.9
2007-01-01,-3.8,1.6,57.16,78.21
2007-02-01,-2.3,1.6,57.87,78.46
2007-03-01,-1.2,2.6,59.9,79.56
2007-04-01,-1.5,1.2,62.2,80.59
2007-05-01,-0.3,1.1,63.8,81.27
2007-06-01,0.1,1.7,63.88,81.72
2007-07-01,-3.2,0.8,63.68,82.07
2007-08-01,-3.7,-0.2,62.95,81.45
2007-09-01,1.7,3.2,63.13,81.92
2007-10-01,7.6,5.5,64.48,82.38
2007-11-01,17.6,9.1,68.75,84.89
2007-12-01,16.8,8.8,68.62,84.72
2008-01-01,21.4,10.3,69.39,86.24
2008-02-01,21.6,10.3,70.36,86.51
2008-03-01,20.7,10.8,72.31,88.18
2008-04-01,17.9,10.4,73.33,88.99
2008-05-01,18.7,13.0,75.71,91.81
2008-06-01,20.9,15.0,77.25,94.0
2008-07-01,22.2,16.2,77.82,95.4
2008-08-01,21.1,14.1,76.23,92.97
2008-09-01,19.9,13.2,75.71,92.76
2008-10-01,9.2,10.1,70.41,90.67
2008-11-01,-6.5,2.3,64.27,86.85
2008-12-01,-15.6,-1.7,57.91,83.24
2009-01-01,-16.7,-3.3,57.82,83.39
2009-02-01,-17.0,-2.7,58.37,84.16
2009-03-01,-19.5,-5.4,58.18,83.38
2009-04-01,-17.8,-6.1,60.26,83.58
2009-05-01,-18.8,-8.6,61.46,83.92
2009-06-01,-18.0,-8.6,63.34,85.88
2009-07-01,-17.2,-11.2,64.43,84.67
2009-08-01,-13.6,-7.6,65.88,85.94
2009-09-01,-14.4,-8.4,64.78,84.99
2009-10-01,-5.1,-6.5,66.84,84.78
2009-11-01,5.5,-1.1,67.82,85.88
2009-12-01,15.7,2.7,67.01,85.48
2010-01-01,20.0,4.8,69.36,87.39
2010-02-01,24.9,3.9,72.91,87.45
2010-03-01,36.0,7.1,79.12,89.32
2010-04-01,36.3,8.7,82.14,90.87
2010-05-01,38.0,8.9,84.79,91.4
2010-06-01,33.1,6.2,84.32,91.18
2010-07-01,31.8,7.9,84.9,91.35
2010-08-01,28.5,6.1,84.63,91.19
2010-09-01,30.5,7.6,84.56,91.46
2010-10-01,26.5,8.5,84.57,91.95
2010-11-01,26.2,7.9,85.58,92.63
2010-12-01,32.6,10.8,88.87,94.7
2011-01-01,31.0,11.4,90.87,97.34
2011-02-01,25.9,12.1,91.81,98.02
2011-03-01,20.4,12.2,95.25,100.19
2011-04-01,17.9,11.7,96.88,101.53
2011-05-01,14.3,10.5,96.89,101.04
2011-06-01,13.9,10.3,96.04,100.59
2011-07-01,13.8,10.9,96.65,101.34
2011-08-01,13.9,11.1,96.42,101.27
2011-09-01,14.5,11.6,96.85,102.04
2011-10-01,15.2,11.7,97.44,102.69
2011-11-01,14.1,11.6,97.63,103.42
2011-12-01,9.5,9.1,97.35,103.36
2012-01-01,13.2,8.9,102.83,105.99
2012-02-01,14.3,9.3,104.98,107.12
2012-03-01,12.7,8.4,107.3,108.62
2012-04-01,12.0,8.1,108.5,109.75
2012-05-01,9.2,7.3,105.78,108.46
2012-06-01,8.4,6.2,104.09,106.87
2012-07-01,9.0,6.1,105.37,107.55
2012-08-01,12.6,8.5,108.59,109.87
2012-09-01,11.6,8.8,108.13,111.04
2012-10-01,18.2,7.7,115.17,110.55
2012-11-01,15.2,5.4,112.48,109.04
2012-12-01,14.9,5.0,111.9,108.51
2013-01-01,11.5,3.4,114.7,109.55
2013-02-01,11.3,3.4,116.89,110.72
2013-03-01,8.1,1.4,115.95,110.14
2013-04-01,4.8,-0.6,113.66,109.09
2013-05-01,7.3,-0.6,113.46,107.78
2013-06-01,9.2,1.0,113.71,107.91
2013-07-01,8.5,1.1,114.35,108.7
2013-08-01,7.1,-0.6,116.32,109.2
2013-09-01,7.1,-1.2,115.8,109.73
2013-10-01,-0.5,-1.9,114.56,108.45
2013-11-01,1.1,-1.3,113.71,107.6
2013-12-01,2.1,-0.3,114.2,108.14
2014-01-01,-0.5,-1.4,114.07,108.03
2014-02-01,-2.3,-2.4,114.21,108.1
2014-03-01,-1.5,-2.1,114.26,107.79
2014-04-01,1.4,-1.3,115.21,107.72
2014-05-01,1.6,-0.1,115.24,107.65
2014-06-01,1.7,-0.1,115.62,107.84
2014-07-01,1.6,-0.9,116.22,107.74
2014-08-01,-0.6,-1.8,115.59,107.22
2014-09-01,-0.5,-2.2,115.26,107.29
2014-10-01,-6.4,-1.9,107.28,106.43
2014-11-01,-6.9,-2.4,105.84,105.0
2014-12-01,-11.9,-5.8,100.66,101.83
2015-01-01,-15.1,-8.6,96.81,98.74
2015-02-01,-12.9,-7.5,99.45,99.97
2015-03-01,-10.8,-5.7,101.9,101.66
2015-04-01,-10.9,-5.5,102.6,101.78
2015-05-01,-10.6,-4.6,103.07,102.69
2015-06-01,-10.7,-4.8,103.26,102.66
2015-07-01,-11.1,-5.2,103.31,102.13
2015-08-01,-12.3,-6.6,101.4,100.09
2015-09-01,-13.6,-8.3,99.6,98.37
2015-10-01,-9.7,-8.1,96.91,97.82
2015-11-01,-8.9,-6.8,96.42,97.85
2015-12-01,-5.4,-5.5,95.27,96.26
2016-01-01,-4.7,-4.9,92.24,93.86
2016-02-01,-9.0,-7.4,90.5,92.61
2016-03-01,-9.9,-8.1,91.8,93.45
2016-04-01,-9.2,-8.0,93.17,93.59
2016-05-01,-8.8,-7.5,93.99,94.97
2016-06-01,-7.9,-6.0,95.13,96.47
2016-07-01,-8.4,-6.4,94.66,95.56
2016-08-01,-7.0,-5.4,94.28,94.67
2016-09-01,-4.8,-2.8,94.81,95.6
2016-10-01,1.8,-0.8,98.61,97.03
2016-11-01,1.7,-1.0,98.09,96.9
2016-12-01,5.3,2.4,100.36,98.56
2017-01-01,13.0,7.2,104.23,100.58
2017-02-01,15.4,8.5,104.45,100.45
2017-03-01,13.0,6.7,103.73,99.71
2017-04-01,11.5,6.8,103.93,99.91
2017-05-01,9.3,4.0,102.74,98.79
2017-06-01,6.7,1.4,101.53,97.84
2017-07-01,6.7,1.8,101.01,97.3
2017-08-01,7.8,3.5,101.61,97.95
2017-09-01,7.8,3.6,102.16,99.05
2017-10-01,3.0,2.8,101.57,99.74
2017-11-01,5.4,4.4,103.35,101.2
2017-12-01,3.5,2.7,103.84,101.26
2018-01-01,0.2,2.3,104.48,102.92
2018-02-01,-0.4,2.2,104.04,102.64
2018-03-01,-0.3,2.2,103.42,101.91
2018-04-01,1.0,2.8,104.97,102.73
2018-05-01,4.1,6.2,106.94,104.91
2018-06-01,6.4,8.2,108.02,105.84
2018-07-01,7.0,9.4,108.12,106.46
2018-08-01,6.5,9.2,108.2,106.92
2018-09-01,6.0,9.1,108.29,108.08
2018-10-01,10.4,10.0,112.18,109.73
2018-11-01,5.6,8.3,109.13,109.59
2018-12-01,0.5,5.0,104.35,106.35
2019-01-01,-1.5,2.5,102.91,105.45
2019-02-01,0.0,3.4,104.07,106.08
2019-03-01,3.0,4.9,106.5,106.94
2019-04-01,3.6,5.0,108.75,107.89
2019-05-01,0.8,3.7,107.77,108.76
2019-06-01,-1.6,1.5,106.33,107.48
2019-07-01,-1.2,0.5,106.8,106.99
2019-08-01,-1.1,-0.5,107.02,106.43
2019-09-01,-0.7,-1.6,107.55,106.34
2019-10-01,-4.9,-2.7,106.72,106.73
2019-11-01,-2.3,-2.6,106.67,106.77
2019-12-01,2.8,0.6,107.25,106.94
2020-01-01,4.8,2.2,107.87,107.75
2020-02-01,1.3,0.1,105.42,106.2
2020-03-01,-5.9,-3.8,100.25,102.9
2020-04-01,-14.3,-9.1,93.23,98.02
2020-05-01,-15.9,-11.2,90.66,96.54
2020-06-01,-13.4,-8.6,92.09,98.24
2020-07-01,-12.6,-7.7,93.3,98.78
2020-08-01,-12.8,-7.0,93.31,99.0
2020-09-01,-13.3,-7.2,93.24,98.7
2020-10-01,-11.7,-7.3,94.28,98.92
2020-11-01,-11.7,-7.5,94.22,98.79
2020-12-01,-10.8,-6.2,95.62,100.36
2021-01-01,-9.7,-3.5,97.36,103.95
2021-02-01,-5.7,-1.1,99.44,105.02
2021-03-01,1.9,4.5,102.12,107.57
2021-04-01,9.8,10.5,102.34,108.32
2021-05-01,13.2,12.9,102.62,109.03
2021-06-01,12.0,12.2,103.15,110.21
2021-07-01,12.1,14.0,104.57,112.58
2021-08-01,12.7,14.9,105.13,113.72
2021-09-01,13.2,16.8,105.52,115.3
2021-10-01,25.4,22.6,118.27,121.26
