date,EL,EU,EL_index_2015,EU_index_2015
1997-01-01,6.3,,63.98,
1997-02-01,5.5,,64.23,
1997-03-01,3.1,,64.3,
1997-04-01,3.1,,65.17,
1997-05-01,3.7,,66.48,
1997-06-01,5.3,,66.85,
1997-07-01,5.6,,64.92,
1997-08-01,5.9,,64.67,
1997-09-01,3.9,,64.42,
1997-10-01,4.3,,64.36,
1997-11-01,3.5,,65.35,
1997-12-01,2.7,,65.85,
1998-01-01,4.6,,66.91,
1998-02-01,4.1,,66.85,
1998-03-01,4.8,,67.41,
1998-04-01,4.9,,68.35,
1998-05-01,4.8,,69.65,
1998-06-01,3.3,,69.03,
1998-07-01,2.7,,66.66,
1998-08-01,3.0,,66.6,
1998-09-01,4.8,,67.54,
1998-10-01,4.8,,67.47,
1998-11-01,4.1,,68.03,
1998-12-01,4.2,,68.59,
1999-01-01,4.5,,69.9,
1999-02-01,4.8,,70.03,
1999-03-01,4.2,,70.21,
1999-04-01,2.9,,70.34,
1999-05-01,1.6,,70.78,
1999-06-01,0.7,,69.53,
1999-07-01,0.9,,67.29,
1999-08-01,0.3,,66.79,
1999-09-01,2.0,,68.91,
1999-10-01,2.9,,69.4,
1999-11-01,2.4,,69.65,
1999-12-01,2.1,,70.03,67.56
2000-01-01,1.1,,70.65,68.24
2000-02-01,2.3,,71.65,68.62
2000-03-01,2.7,,72.08,68.66
2000-04-01,3.4,,72.71,69.1
2000-05-01,2.3,,72.39,69.32
2000-06-01,0.5,,69.9,69.47
2000-07-01,2.8,,69.16,69.7
2000-08-01,4.4,,69.72,69.66
2000-09-01,1.4,,69.9,69.99
2000-10-01,1.3,,70.28,70.33
2000-11-01,1.5,,70.71,70.76
2000-12-01,2.1,5.6,71.52,71.35
2001-01-01,2.1,5.7,72.15,72.15
2001-02-01,2.0,5.7,73.05,72.52
2001-03-01,2.4,6.6,73.82,73.21
2001-04-01,2.6,7.2,74.6,74.05
2001-05-01,4.9,8.3,75.92,75.04
2001-06-01,7.4,8.3,75.05,75.22
2001-07-01,6.7,7.5,73.78,74.9
2001-08-01,6.0,6.9,73.89,74.48
2001-09-01,6.5,6.7,74.45,74.67
2001-10-01,6.7,6.6,75.02,74.97
2001-11-01,7.0,5.9,75.63,74.97
2001-12-01,10.0,6.0,78.68,75.6
2002-01-01,12.5,6.7,81.16,76.99
2002-02-01,8.7,6.0,79.44,76.86
2002-03-01,8.3,5.1,79.96,76.97
2002-04-01,7.5,4.3,80.18,77.2
2002-05-01,3.6,2.9,78.68,77.25
2002-06-01,4.6,2.2,78.53,76.87
2002-07-01,4.6,1.9,77.17,76.34
2002-08-01,4.8,2.0,77.46,75.99
2002-09-01,4.5,2.0,77.81,76.16
2002-10-01,4.7,1.8,78.58,76.33
2002-11-01,4.6,1.9,79.08,76.37
2002-12-01,1.3,1.5,79.72,76.73
2003-01-01,-0.8,0.5,80.51,77.39
2003-02-01,3.7,1.0,82.38,77.65
2003-03-01,4.5,1.3,83.57,78.0
